int	string	string	int	int	int	int	int	int	int	int	int	int	int	int	DTActorSkill[]	DTActorStory[]	DTActorFeature[]	DTActorCharacter[]	int	DTItemNum	DTItemNum[]	DTItemNum	int	int	int	int	int	int	string	string
4003	Josephina Angel	安娜	2042	1304	1101	1201	1401	1502	1029	8	16	8	0	8	1001:31;1042:101;1053:201	1707:1:1603;1708:2:1603	1804:2:1603;1817:1:1602;1803:2:1601;1802:1:1603	1902:2:1601;1904:2:1601;1907:1:1603;1935:2:1603;1926:2:1601	1901	6:15000	7042:40;6102:1500	6:800	100	0	200	100	30	100	A independent woman, who hates relying on others. Even in her acting she chooses roles were she can show her individual prowess without the help of the other cast. However, in her love life, she	首屈一指的女特工，经常被派去作为卧底执行任务。然而不知为什么，每一次到最后都会变成跟卧底对象陷入爱河联手打败原雇主的结局…堪称反卧底界的活教科书。
4004	Florida Buds	布兰顿	2043	1304	1102	1202	1401	1502	1031	8	8	16	0	8	1004:31;1018:101;1033:201	1706:1:1602;1701:2:1603	1802:2:1601;1820:1:1601;1801:1:1603;1808:2:1601	1909:2:1603;1926:2:1601;1902:2:1601;1904:2:1602;1931:1:1601	1901	6:15000	7043:40;6108:1500	6:800	100	0	200	100	30	100	As a kid, he went hunting and specialized in bows. Despite his flowery name, his demeanor was far from it - he had anger and repressed emotions that he took in his hunting. However, it was never enough, it wasn't until he discovered acting where he could truly address his emotions by putting himself in another character's shoes.	这是一个走路带风，名字带花的男人，他用自己从铁匠混成王子的经历告诉我们，一个人的奋斗，当然离不开自己的努力，但是也要看历史的进程。
4005	Evan Chris	埃文	2044	1304	1102	1201	1402	1501	1001	8	16	8	0	8	1006:31;1080:101;1039:201	1701:2:1602;1707:2:1602	1801:2:1603;1817:1:1601;1807:1:1601;1805:2:1602	1901:2:1602;1907:2:1603;1910:1:1601;1902:2:1603;1926:1:1602	1901	6:15000	7044:40;6102:1500	6:800	100	0	200	100	30	100	The new American sweetheart. He's got beach-blonde hair, a big chest and almost no body fat. His standard role is the flawed, romantic and funny guy that eventually ends up with the girl. But he also won't shy away from a role that's a little more serious.	金发碧眼，胸大腰细，能唱能跳，来见一见我们的美国甜心——恭喜，是个男孩！
4006	Rick Alan	瑞克	2045	1304	1102	1202	1401	1502	1015	16	8	8	8	0	1006:31;1083:101;1024:201	1706:2:1603;1709:1:1603	1812:2:1603;1810:1:1603;1808:1:1602;1811:2:1602	1935:2:1602;1931:2:1601;1922:2:1602;1909:1:1602;1933:2:1602	1901	6:15000	7045:40;6108:1500	6:800	100	0	200	100	30	100	A man of character who often lets his actions speak just as loud as his words. He embodies his roles and is not limited in his ability to tap into different characters - whether that's a terrorist, estranged husband, strict-no-bs-professor or a judge.	平时沉默寡言，完全猜不透他在想什么。但是如果演对手戏的男演员恰好有一双绿眼睛就会突然变得暴躁易怒，十分让人摸不着头脑。
4007	Lenny Jarvis	乔克	2046	1304	1102	1201	1401	1501	1016	8	16	8	8	0	1002:31;1046:101;1051:201	1705:2:1602;1710:1:1602	1818:2:1603;1817:2:1602;1803:2:1602;1809:1:1602	1923:1:1602;1920:1:1601;1922:2:1601;1930:2:1601;1911:2:1603	1901	6:15000	7046:40;6102:1500	6:800	100	0	200	100	30	100	As a kid, he used to take everything too seriously. Even his acting. After getting put into an asylum, he switched his life around and no longer takes anything seriously. This is debatable if it's good for his career but so far so good.	曾经是个沉默寡言表情严肃的男孩，直到天天被邻里大妈问“怎么这么严肃呀”而学会了保持笑容，目前看来成效卓著，至少再也没有人问他这么个问题了...
4008	Conny Fifth	林斯	2047	1304	1102	1202	1401	1502	1020	8	8	16	8	0	1001:31;1051:101;1042:201	1707:1:1603;1708:2:1601	1817:2:1601;1801:1:1601;1804:2:1603;1805:2:1601	1932:2:1601;1926:1:1602;1909:2:1601;1941:2:1602;1922:1:1602	1901	6:15000	7047:40;6108:1500	6:800	100	0	200	100	30	100	Always the lady's man, he always has an air of put-togetherness with a mix of class. The confidence he exudes in his real life carries over into his acting. He's best known for his roles as kings, intelligence officers, businessmen and singers.	从小在裁缝店长大的他有着一手精湛的裁缝技艺，穿什么都能穿出一副满溢而出的英伦风，因此被各大奢侈品牌争相聘请出任模特，但是他似乎不为所动，而是打算走上影视业，由于自带戏服可以有效节省剧组成本，因此深受欢迎，片约不断。
4009	Hiram Timbletoon	托尼	2048	1304	1102	1202	1401	1501	1024	8	16	8	8	0	1001:31;1042:101;1023:201	1707:2:1602;1710:1:1602	1801:2:1601;1811:1:1602;1819:2:1603;1808:2:1601	1931:2:1602;1932:1:1602;1930:2:1601;1943:2:1603;1923:1:1603	1901	6:15000	7048:40;6108:1500	6:800	100	0	200	100	30	100	A clever but tricky young man that has a devilish attractiveness to him. He appeals to the sapiosexuals out there with witty banter and intelligent thought that he brings out in the characters he portrays.	熊孩子一个，没事喜欢玩变装秀，搞各种魔术恶作剧来让自己的哥哥花式背锅，虽然每次都以被哥哥胖揍一顿收场，却乐此不疲。也许…这也是手足情深的一种形式？
4010	Tina Uman	曼迪	2049	1304	1101	1201	1401	1501	1025	16	8	8	0	8	1003:31;1021:101;1051:201	1705:1:1601;1703:2:1601	1808:1:1602;1809:2:1602;1803:2:1602;1812:2:1602	1926:1:1603;1930:1:1601;1932:2:1601;1922:2:1603;1921:2:1602	1901	6:15000	7049:40;6102:1500	6:800	100	0	200	100	30	100	Always the bad girl, she always takes roles that pushes limits and buttons you might not have known you had. But no one is arguing she's not effective in what she does. She'll mesmerize you with her poisonous smiles, the slashes of her blades or her innate ability to come back from the dead.	在一次街头舞蹈大赛上因为跳了一段兔子舞被星探发现，从此她无论拍什么片，都要即兴来上一段舞蹈，据说某位印度籍导演十分喜欢她这种习惯，正打算以她为主角筹拍一部大片…
4011	Kaylie Nidman	凯莉	2050	1304	1101	1201	1402	1501	1037	8	16	8	0	8	1005:31;1047:101;1051:201	1704:2:1601;1703:2:1601	1809:1:1603;1803:1:1601;1808:2:1603;1810:1:1603	1902:2:1601;1904:2:1603;1932:2:1601;1909:1:1603;1935:2:1601	1901	6:15000	7050:40;6102:1500	6:800	100	0	200	100	30	100	A talented actress able to take on any role presented in front of her. Drama, action, comedy - you name it. She can flawlessly switch over accents and go from talking to singing in an instant. She doesn't spend her money willy-nilly and tries to do her best to make a positive impact on the world.	对于她来说，进军影视业并且获得成功是非常关键的事——如果她无法证明自己在演艺事业上的才能，可能就要被迫回去继承数以千万计的家产——广大影迷听闻，纷纷表示自己愿意代替爱豆承担这种苦恼…
4012	Ed Null	诺尔	2051	1304	1102	1201	1401	1501	1042	8	8	16	0	8	1002:31;1027:101;1035:201	1704:2:1603;1702:2:1602	1811:2:1601;1803:1:1603;1806:2:1601;1801:2:1602	1907:2:1603;1931:1:1601;1922:2:1603;1930:1:1601;1911:1:1602	1901	6:15000	7051:40;6102:1500	6:800	100	0	200	100	30	100	A man of two faces who is trying to find himself in his acting. In some situations he has to be one person and in others, another. This sometimes gets him into fights but it also helps give him deeper insights into his acting roles whether it be the meek businessman or the angry jewel thief.	你以为你知道他知道你知道了他是个什么样的人，其实他早就知道你以为你知道他知道你知道了他是个什么样的人，但你们都不知道的是你们互相都不知道对方真正知道的是什么。
4013	Benjamin Alters	本杰明	2052	1304	1102	1201	1402	1502	1044	8	16	8	0	8	1006:31;1046:101;1036:201	1708:1:1603;1707:2:1602	1801:2:1603;1808:2:1603;1807:1:1603;1809:2:1603	1926:2:1601;1931:2:1602;1909:1:1602;1934:1:1601;1910:2:1601	1901	6:15000	7052:40;6102:1500	6:800	100	0	200	100	30	100	An actor with a chin as strong as his personality. He grew up in a small mountain village and led his clan chine first into the 21st century. A great leader, he knows how to make people laugh, cry and listen - even through his films. But behind that strong outward demeanor hides a little boy inside scared to show his weaknesses.	他用自己土帅土帅的气质和独特的下巴吸引了一批本质粉，成功的被星探发掘从而摆脱了搬砖工的命运，如今活跃在荧幕上的他俨然成为了全村的希望，土帅界的一颗明星。
4014	Timothy Robbs	蒂莫西	2053	1304	1102	1201	1401	1501	1046	16	8	8	8	0	1006:31;1027:101;1023:201	1704:1:1601;1710:1:1603	1809:2:1602;1813:1:1602;1808:2:1603;1801:1:1601	1911:2:1602;1922:2:1602;1931:2:1602;1945:2:1601;1930:2:1602	1901	6:15000	7053:40;6102:1500	6:800	100	0	200	100	30	100	A New Yorker with a hard of role. His friendly face often gets him sympathetic lead roles and he has come to symbolize freedom in many of his films.	对，没错，就是他，那个象征自由的男人！
4015	Anna Jenston	詹娜	2054	1304	1101	1201	1401	1502	1053	8	16	8	8	0	1005:31;1020:101;1021:201	1705:2:1601;1706:1:1603	1810:2:1601;1804:1:1602;1803:2:1601;1820:2:1601	1902:2:1601;1940:1:1602;1917:2:1601;1904:2:1602;1932:1:1601	1901	6:15000	7054:40;6102:1500	6:800	100	0	200	100	30	100	On the surface she seems like the dumb blonde, but she's actually all brains behind the pretty face. After making her fortunes doing shallower roles, she is now much more selective in the movies she stars in - preferring to spend her time doing philanthropic work.	在当了几年群众演员之后终于某一天因为一个自己的表情包走红网络，从此片约不停，源源不断的为大家贡献最新鲜的表情包素材，人送称号“表情包女帝。”
4016	Belinda Sands	琳达	2055	1304	1101	1201	1401	1502	1058	8	8	16	8	0	1001:31;1021:101;1024:201	1703:1:1601;1707:1:1602	1803:2:1603;1806:2:1603;1818:1:1602;1804:2:1602	1904:2:1603;1910:2:1603;1932:2:1601;1943:2:1602;1935:1:1601	1901	6:15000	7055:40;6102:1500	6:800	100	0	200	100	30	100	A teenage boy heart-slayer. She does not take herself seriously and let her vulnerability show. Her happy-go-lucky attitude and ability to keep on everyone's good sides make her a popular actress with all age groups.	不管演什么角色都能演出一股邻家傻大姐风，并因此而被各种小鲜肉所信任，成为了当之无愧的小鲜肉之友。
4017	Khan Maari	马里	2056	1304	1102	1203	1402	1501	1066	8	16	8	8	0	1004:31;1018:101;1060:201	1704:2:1602;1709:1:1603	1808:2:1601;1818:2:1601;1805:2:1602;1801:2:1602	1902:1:1602;1924:2:1601;1922:1:1603;1907:2:1601;1941:1:1603	1901	6:15000	7056:40;6103:1500	6:800	100	0	200	100	30	100	An established Indian man of mystery with a long career spanning decades. Audiences like his work so much they keep returning to his movies regardless of the subject.	据说曾经因为事故导致大脑创伤只能保留7秒钟的记忆的他本来是不适合进入演艺圈的，但不知为何观看他影片的观众也会仿佛被传染一般看完就忘了自己看的是什么而反复买票观看，因此意外的成为了票房保证…
4018	Ryan Pool	普尔	2057	1304	1102	1201	1401	1502	1045	16	8	8	0	8	1004:31;1027:101;1035:201	1702:2:1602;1703:2:1601	1817:2:1601;1809:2:1601;1808:1:1601;1804:1:1602	1917:1:1602;1926:2:1603;1913:1:1601;1935:2:1602;1927:2:1601	1901	6:15000	7057:40;6102:1500	6:800	100	0	200	100	30	100	Getting his start as the crush in a teenage drama, this man loves to take risks, both with his money and his career. His fearlessness makes him perfectly suited for edgy parts with both physical and comical sides.	赌神一般的存在，是每家赌场的噩梦，却是每个赌客心中顶礼膜拜的对象——原因无他，只要是他下的注，反着买就对了。据说本人曾经试图靠这一点来进行翻身，也就是故意买自己认为自己会买的赌注的相反注，结果仍然惨败告终…也许，这一切都是石头门的选择吧。
4019	Ludmila Kuns	米妮	2058	1304	1101	1201	1402	1501	1081	8	16	8	0	8	1003:31;1018:101;1024:201	1704:2:1603;1703:2:1601	1803:1:1603;1810:1:1601;1804:2:1601;1813:2:1601	1902:1:1602;1904:1:1603;1906:2:1603;1932:2:1601;1930:2:1601	1901	6:15000	7058:40;6102:1500	6:800	100	0	200	100	30	100	Originally from Eastern Europe, her parents were typical nerds who encouraged her to follow her dreams. When she was cast in a really groovy retro sitcom, her career began taking off.	因为男友认为她眼睛太大太吓人提出分手之后愤而决定进军演艺事业，立志让自己那双闪亮的大眼睛出现在各种海报和大荧幕上，目前看来她成功的做到了这一点，至于前男友？嗯…谁在乎呢？
4020	Vincent De Robo	文森特	2059	1304	1102	1201	1401	1501	1070	8	8	16	0	8	1002:31;1030:101;1053:201	1705:2:1601;1707:1:1602	1809:2:1601;1801:2:1603;1818:2:1602;1813:2:1602	1910:2:1602;1911:1:1602;1921:1:1601;1920:2:1601;1945:1:1601	1901	6:15000	7059:40;6102:1500	6:800	100	0	200	100	30	100	Some people just look like mob men. This can definitely be an asset when you are an actor. He is always cast as the tough guy in movies about crime, boxing, and the dark side of life.	事实证明一个演员演技太过精湛也是一种烦恼——尤其当你演的几乎都是反派角色时。这让他每次过安检都需要花比别人更多的时间，因为老会因为那股浑然天成的黑帮大佬气质而被拦下来单独检查…
4021	Cooper Brad	布拉德	2060	1304	1102	1201	1402	1502	1074	8	16	8	0	8	1002:31;1065:101;1048:201	1708:1:1602;1704:1:1601	1804:2:1603;1813:2:1602;1809:2:1601;1816:2:1601	1943:1:1602;1930:2:1601;1907:2:1601;1902:1:1602;1917:2:1602	1901	6:15000	7060:40;6102:1500	6:800	100	0	200	100	30	100	They say confidence shows, and this man has plenty of it. His charming looks give him the feel of the typical next-door neighbor. He can play the tough guy or the romantic boyfriend just as well.	虽然在外都是一副潇洒不羁的模样，但是没有人知道回到自己家里的他，会在夜深人静时对着家中的镜子不断自问：谁是世界上最帅的人？嗯…我们仍未知道每天夜里被提问的镜子的回答。
4022	Carl Jarvey	贾维	2061	1304	1102	1201	1401	1501	1075	16	8	8	8	0	1004:31;1045:101;1028:201	1704:1:1603;1706:2:1602	1820:2:1602;1809:2:1601;1810:2:1602;1803:1:1603	1917:2:1603;1902:2:1602;1930:2:1602;1931:1:1603;1922:1:1603	1901	6:15000	7061:40;6102:1500	6:800	100	0	200	100	30	100	An excellent comedian, his raw energy makes it impossible to ignore him. He can make countless faces, expressions, or impersonations and is a classic goofball.	由于过去出演的真男人秀太过成功导致大家看到他都会忍不住惊呼：似李！真男人！
4023	Svetlana Milovich	爱丽	2062	1304	1101	1201	1402	1501	1002	8	16	8	8	0	1004:31;1046:101;1023:201	1710:1:1602;1702:2:1603	1807:1:1603;1817:2:1601;1811:2:1602;1801:2:1601	1926:2:1603;1932:2:1601;1904:1:1602;1938:1:1603;1902:2:1601	1901	6:15000	7062:40;6102:1500	6:800	100	0	200	100	30	100	She will not take no for an answer. If you have done something evil, get ready for your door to be kicked down or to surrender. And that's when she wants a movie role. Imagine how that will translate on screen.	“虽然我拳打人类脚踹丧尸，撬锁开枪破坏建筑，身上还携带着一不小心就能毁灭全人类的危险病毒，但我知道我是个好姑娘。”这是她的自述，至于她为什么选择来当一个演员，至今仍是一个谜题。
4024	Kevin Ash	凯文	2063	1304	1102	1201	1402	1502	1092	8	8	16	8	0	1001:31;1046:101;1037:201	1708:2:1602;1702:2:1601	1820:2:1602;1815:1:1603;1803:2:1601;1808:1:1601	1922:2:1602;1902:1:1602;1930:2:1602;1945:1:1602;1932:2:1603	1901	6:15000	7063:40;6102:1500	6:800	100	0	200	100	30	100	An actor still living in the 70s. He enjoys long hair and walks on the beach. He takes his acting jobs with a pretty open attitude and often described as pretty "chill."	在演艺事业之外，他更为出名的其实是传说中的点石成金之手，即据说买哪只股票哪只股票大涨，赌哪只球队哪只球队大胜…跟另外某位演员形成鲜明对比。
4025	Lisa Miss	奥利维亚	2064	1304	1101	1201	1402	1501	1052	8	16	8	8	0	1003:31;1028:101;1047:201	1704:2:1601;1702:2:1602	1808:1:1602;1815:1:1603;1803:2:1601;1819:1:1603	1932:1:1603;1931:2:1601;1920:2:1602;1922:2:1602;1910:2:1601	1901	6:15000	7064:40;6102:1500	6:800	100	0	200	100	30	100	A stoic lady with fierce eyes, she excels at playing the role of the silently resentful woman living in servitude.	拥有“绝对女主气场”的演员，不管在什么剧本扮演什么角色都能散发出强大的存在感，不是主角胜似主角，但也因此一直被安排饰演配角，目前的最大心愿就是当一次真正的女主角。
4026	Harry Neil Fitzpatrick	哈里	2065	1304	1102	1201	1401	1502	1094	16	8	8	0	8	1005:31;1021:101;1057:201	1703:2:1603;1705:2:1601	1808:2:1601;1804:1:1602;1803:2:1603;1810:2:1602	1902:1:1601;1917:2:1601;1927:1:1602;1922:1:1603;1931:2:1601	1901	6:15000	7065:40;6102:1500	6:800	100	0	200	100	30	100	A highly talented performer who looks great in a suit. Whether he stars in a sitcom, Broadway musical or feature film, he always knows how to make other laugh at his cute confidence.	狂热西装爱好者，人生信条就是不能没有西装，脱下西装跟穿上西装之后的人格会大变，衣柜里全是西装，甚至于看到没穿西装的人就下意识想上去给人家递一套西装…
4027	Betty Hale	贝蒂	2066	1304	1101	1201	1402	1501	1095	8	16	8	0	8	1002:31;1038:101;1023:201	1702:1:1602;1705:2:1601	1815:2:1603;1801:2:1601;1812:2:1603;1811:2:1602	1902:1:1602;1913:2:1602;1932:1:1602;1911:1:1603;1926:2:1601	1901	6:15000	7066:40;6102:1500	6:800	100	0	200	100	30	100	Some girls were made to break the glass sealing. This talented actress has broken many cultural norms and continues to impress audiences with her ability to take on tough roles.	在粉丝群中有着“巧克力美人”爱称，虽然我们并不知道这个称号是出于她的巧克力一样的肤色，还是因为她接拍了非常多的巧克力广告…
4028	Yoki Mitchells	杨梓	2067	1304	1101	1203	1401	1502	1096	8	8	16	0	8	1006:31;1032:101;1042:201	1709:1:1602;1707:2:1601	1817:2:1603;1801:2:1601;1808:2:1603;1819:1:1602	1932:1:1601;1948:2:1601;1904:2:1603;1926:1:1601;1902:2:1601	1901	6:15000	7067:40;6103:1500	6:800	100	0	200	100	30	100	A tough gal not afraid to get in fighting mode. She can throw kicks, punches, and whatever else it takes to take a bad guy down. She especially excels in Hong Kong type action flicks.	出道时间已经很长的她，现在仍然活跃在动作戏的第一线。有人曾经问她：为什么过了这么久还对动作武打戏情有独钟？她微微一笑：因为戏就在那里。说完拂衣去，深藏功与名。
4029	Elton Zachs	埃尔顿	2068	1304	1102	1201	1402	1501	1099	8	16	8	0	8	1005:31;1018:101;1024:201	1703:2:1601;1704:2:1601	1815:2:1603;1804:2:1601;1812:2:1603;1803:1:1601	1908:1:1602;1902:1:1601;1935:2:1602;1931:2:1603;1910:1:1603	1901	6:15000	7068:40;6102:1500	6:800	100	0	200	100	30	100	Young in both body and spirit, he will always be remembered for his musical portrayal of a high school student.	没有人知道他的真实年龄，十年前他在演青春校园片，七年前他在演青春校园片，五年前他仍然在演青春校园片…据某八卦小报刊载，似乎午夜无人时他会偷偷在桥边练习歌喉，唱的似乎是“我不想，我不想长大…”
4030	Bella Mons	贝拉	2069	1304	1101	1202	1402	1502	1062	16	8	8	8	0	1005:31;1023:101;1050:201	1704:2:1601;1707:1:1602	1804:2:1603;1817:2:1603;1801:2:1603;1807:1:1601	1904:1:1602;1932:2:1602;1935:2:1603;1926:1:1603;1902:2:1602	1901	6:15000	7069:40;6108:1500	6:800	100	0	200	100	30	100	She started out as a fashion model but after being labeled quite possibly the most beautiful lady in the world, she had film recruiters invading her life trying to get her to start in their films. She eventually gave in but also surprised the world with her talent.	她出生的小岛在战争中陷落了，但她却因此流落异国被星探发掘，从而走上演艺之路。也许就为了要成全她，小岛陷落了。但在这个不可理喻的世界里，谁又知道什么是因，什么是果呢？
5001	Leo DiCarp	莱奥	2070	1305	1102	1201	1402	1502	1004	10	20	10	0	10	1004:31;1069:101;1052:201	1703:3:1602;1704:2:1602;1705:3:1603	1804:2:1601;1810:2:1601;1809:2:1602;1808:2:1601	1945:3:1603;1905:3:1601;1922:2:1601;1936:2:1601;1943:2:1603;1927:2:1602;1930:2:1601	1901	6:100000	7070:50;6102:50000	6:2000	100	0	250	100	30	100	Growing up in an artistic home, he was introduced to this life early on and decided to pursue acting. Perhaps because of his good looks, his acting tends to be dismissed by others. People tend to gloat at his never having won an academy award, but he is dedicated to his craft and will keep persevering until he brings one home.	由于母亲崇拜一副世界名画，所以从小对艺术耳濡目染因而走上演艺之路。但也许是嫉妒他的如画美貌，演什么都被人看衰。但是大家也公认他最好的表演就是在每次与奖杯擦肩而过时流露出的失落表情，因此他的粉丝强烈提议评委会应该增加一个最佳落选奖颁给他。
5002	Rodney Dans	罗德尼	2071	1305	1102	1202	1402	1501	1005	20	10	10	0	10	1005:31;1071:101;1049:201	1706:3:1601;1708:2:1603;1709:2:1603	1801:2:1603;1811:2:1601;1812:2:1603;1808:2:1603	1903:3:1602;1902:2:1602;1908:2:1601;1913:2:1601;1944:3:1602;1931:3:1601;1942:2:1602	1901	6:100000	7071:50;6108:50000	6:2000	100	0	250	100	30	100	A boy of simple origins, he was given the chance of a lifetime when he was chosen to be the protagonist in the film adaptation of a hugely successful book franchise. He never let the fame get to his head and now takes only choice roles that he really wants to do.	“你看他那乱糟糟的头发，破烂兮兮的衣服，畏畏缩缩的小个子，谁能想到他就是那个天选之子，唯一指定男主角，被选中的救世主？我真是惊了”——街坊李大妈接受采访时如是说。
5003	John Dip	迪普	2072	1305	1102	1201	1401	1502	1009	10	20	10	0	10	1001:31;1078:101;1059:201	1706:2:1602;1708:3:1602;1709:3:1602	1802:2:1603;1804:2:1603;1811:2:1601;1803:2:1603	1905:3:1601;1918:2:1601;1910:2:1601;1917:2:1601;1922:2:1602;1926:3:1602;1945:2:1603	1901	6:100000	7072:50;6102:50000	6:2000	100	0	250	100	30	100	A man who started acting at an early age, knowing that this was the industry for him. He started off slow but finally made it big when he started taking character roles that no one else wanted, like the Pumpkin Man and Mr. Knivefeet, and made them his own. Now even after gathering fame, he still chooses to  take the roles other might not.	“我的孩子，当你出生的时候，整个海湾都在低语着你的名字。你要记住，唯有智慧与勇气，能让你成为这片海域的传奇。我告诉你这些，总有一天，我将走到生命旅程的尽头，而你，将加冕为船长"，——”前提是，你能保住你的船。“ 可惜，还没说完这句话，老水手就咽下了最后一口气。
5004	Danny Roberts Jr	丹尼	2073	1305	1102	1201	1402	1502	1030	10	10	20	0	10	1004:31;1015:101;1029:201	1702:2:1602;1709:3:1603;1701:2:1602	1801:2:1602;1804:3:1603;1814:2:1601;1807:3:1603	1905:2:1602;1934:2:1602;1917:2:1602;1922:2:1602;1927:2:1602;1926:3:1601;1907:2:1601	1901	6:100000	7073:50;6102:50000	6:2000	100	0	250	100	30	100	Born with some natural acting talent, he made headway in his youth and gained some fame. As an adult he admitted to a methamphetamine problem and admitted himself into a rehab center. After finally getting clean and a few decent roles, he took on the persona of a superhero and rocketed to the highest of the heights.	上帝在创造他的时候给了他99分的智商，99分的情商，99分的颜值…最后要给他99分的财富时不小心手一抖…于是从此他的口头禅就变成了“Sorry，有钱就是可以为所欲为的”。
5005	Peter Bradley	布拉德利	2074	1305	1102	1201	1402	1502	1013	10	20	10	0	10	1003:31;1008:101;1048:201	1707:2:1601;1710:2:1601;1705:2:1601	1803:2:1601;1809:3:1602;1801:3:1601;1818:2:1603	1911:2:1602;1925:2:1602;1907:3:1601;1931:2:1602;1930:2:1602;1935:3:1601;1926:2:1602	1901	6:100000	7074:50;6102:50000	6:2000	100	0	250	100	30	100	He was born with natural good looks and his superb acting often gets overlooked due to that fact. Throughout his career, he's taken on varying roles and has shown that despite it all, he can in fact act. From warrior, to detective, to general manager to gangster.	又是一个被英俊的外表耽误了演艺事业的男人…咦，我为什么要说又？总之大概是一见误终身的典范。
5006	Marla Mongrel	玛拉	2075	1305	1101	1201	1402	1501	1018	20	10	10	10	0	1006:31;1077:101;1065:201	1703:3:1602;1707:2:1601;1704:2:1602	1803:2:1603;1804:3:1601;1813:2:1603;1810:3:1601	1942:2:1603;1940:2:1602;1932:2:1601;1935:2:1603;1949:2:1603;1904:3:1603;1902:2:1601	1901	6:100000	7075:50;6102:50000	6:2000	100	0	250	100	30	100	A blonde bombshell of an actress. She has her own gravitational force - anyone who watches her act or her singing is immediately smitten. An oxymoron, she's the epitome of purity but also the seductress simultaneously.	试问有谁不喜欢金发尤物呢？有谁不喜欢天真又性感的金发尤物呢？没有。她既是床前白月光，也是心口朱砂痣。你想要她价值千金的吻，还是50美分的灵魂？
5007	Jen Law	简	2076	1305	1101	1201	1402	1501	1021	10	20	10	10	0	1006:31;1083:101;1035:201	1704:3:1601;1701:2:1601;1710:3:1601	1807:2:1602;1811:3:1602;1806:2:1601;1801:2:1601	1926:2:1601;1902:2:1602;1920:3:1602;1932:2:1603;1908:2:1601;1931:2:1602;1943:2:1603	1901	6:100000	7076:50;6102:50000	6:2000	100	0	250	100	30	100	A gem forged in the fires of social media. She will not accept anyone's over the top criticisms - if you want to say something, make it constructive. Nor will she just try to be a mirror image of the expected model actress - beautiful to an extreme, shallow to the grave and unable to hold a meaningful opinion. She's truly a role model.	原本是个偶像派，却一直想要证明自己的演技，而她选择用来磨炼演技的方法则是——假摔。一次又一次，摔出水平，摔出风格，摔出了新高度，以至于没有她的红毯简直失去了一半的光彩。
5008	Paul Cratt	克拉特	2077	1305	1102	1201	1402	1502	1026	10	10	20	10	0	1006:31;1014:101;1033:201	1708:2:1602;1710:2:1602;1702:2:1602	1806:2:1602;1811:2:1601;1801:3:1601;1808:2:1601	1903:2:1603;1904:2:1601;1913:2:1601;1917:3:1602;1934:2:1602;1930:3:1602;1922:3:1602	1901	6:100000	7077:50;6102:50000	6:2000	100	0	250	100	30	100	A big goofball of a man, he's won the hearts and minds of the world through his ability to become the men he portrays in his acting. He's not worried about acting silly and self-deprecating humor and that goes a long way. On a side note, he's also pretty handsome and can clearly put on some muscle.	知名动物饲养员，自从成功驯养了一只小恐龙之后整个人对恐龙越发痴迷，连食量都越来越像恐龙了，因此肉眼可见的发胖中…
5009	Roberta Jules	琼斯	2078	1305	1101	1201	1401	1502	1028	10	20	10	10	0	1005:31;1015:101;1037:201	1703:3:1601;1707:3:1601;1704:2:1602	1803:2:1601;1813:2:1601;1816:2:1602;1804:2:1602	1902:2:1603;1903:2:1601;1945:2:1603;1932:3:1602;1931:3:1601;1908:2:1602;1935:2:1602	1901	6:100000	7078:50;6102:50000	6:2000	100	0	250	100	30	100	Though middle-aged, she still seems to have the energy of a teenager. No matter where she goes, her leather boots and red hair gather crowds as she walks down the street to the local cafe to get a coffee.	已经中年却仍然抱有一颗粉红少女心的典范，无论走到哪都能靠招牌式的咧嘴大笑与长筒靴迷倒万千群众。
5010	Javi Hems	海克斯	2079	1305	1102	1201	1402	1502	1057	20	10	10	0	10	1001:31;1009:101;1065:201	1702:3:1602;1708:2:1601;1710:2:1602	1801:3:1603;1808:3:1602;1807:2:1603;1820:2:1603	1902:2:1602;1926:2:1603;1913:2:1601;1904:2:1601;1934:2:1601;1932:3:1601;1907:2:1602	1901	6:100000	7079:50;6102:50000	6:2000	100	0	250	100	30	100	What we these days may call the perfect man. At least physically. Muscles upon muscles, long flowing hair, blonde and gruff - women and men idolize him alike. Women want to date him, men want to be him.	从小读各种神话故事长大的他一直幻想自己有朝一日可以拔出石中剑，成为天选之王。终于有一天，他见到了那块心心念念的石头，只不过，上面插着的不是剑，而是个锤子…
5011	Hugh Jacked	杰克	2080	1305	1102	1201	1401	1502	1061	10	20	10	0	10	1002:31;1075:101;1025:201	1702:2:1602;1708:2:1601;1710:3:1603	1801:2:1603;1808:3:1602;1813:2:1603;1820:3:1601	1919:2:1601;1926:2:1603;1913:2:1602;1911:2:1603;1934:2:1603;1932:2:1603;1907:3:1603	1901	6:100000	7080:50;6102:50000	6:2000	100	0	250	100	30	100	Despite his rough and tough demeanor, he's actually a very down to earth guy. He doesn't mind taking on roles that people may not initially like nor does he mine having to bulk up to a crazy level just to fulfill a movie roe.	没错，这就是你在任何一个健身房都能看到的那种人——他们肌肉结实，身材壮硕，来健身房的唯一目的就是在镜子前炫耀自己的肱二头肌胸大肌以及八块腹肌。
