int	string	string	int	DTVector2	int	int	int	int	int	int	int	int	int	int	int	int	DTItemNum[]	int	int	int	int
11165	阿拉莫剧院	Alamo Theater	13	0.8;0.2	0	0	1401	0	0	133	0	0	0	7	128656	800	1:5;9001:6;5005:42	5	11164	11166	1127
11166	摩门圣殿	Salt Lake Temple	13	0.2;0.2	0	1201	0	0	0	138	0	0	0	13	132000	900	1:5;9001:6;5005:44	5	11165	11167	1128
11167	犹他州议会大厦	Utah State Capitol	13	0.2;0.5	0	0	0	1502	0	136	0	0	0	10	133320	900	1:5;9001:6;5005:44	5	11166	11168	1128
11168	圣殿广场	Temple Square	13	0.7;0.5	0	0	0	1502	136	0	0	0	0	10	134653	900	1:5;9001:6;5005:44	5	11167	11169	1128
11169	圣徒教会会议中心	LDS Conference Center	13	0.7;0.7	0	1202	0	0	0	139	0	0	0	9	136000	900	1:5;9001:6;5005:44	5	11168	11170	1128
11170	宾汉铜矿	Bingham Copper Mine	13	0.8;0.5	1101	0	0	0	0	0	138	0	0	9	137360	900	1:5;9001:6;5005:44	5	11169	11171	1128
11171	海鸥纪念碑	Seagull Monument	13	0.5;0.9	0	0	1402	0	0	0	135	0	0	9	138734	900	1:5;9001:6;5005:44	5	11170	11172	1128
11172	鹰门	Eagle Gate	13	0.8;0.9	1102	0	0	0	0	136	0	0	0	8	140121	900	1:5;9001:6;5005:44	5	11171	11173	1128
11173	自由公园	Liberty Park	13	0.8;0.2	0	0	0	1501	0	136	0	0	0	7	141522	900	1:5;9001:6;5005:44	5	11172	11174	1128
11174	南海滩	South Beach	13	0.2;0.2	1102	0	0	0	142	0	0	0	0	13	144000	900	1:5;9001:6;5005:45	5	11173	11175	1129
11175	维兹卡亚花园博物馆	Vizcaya Museum & Gardens	13	0.2;0.5	0	1202	0	0	0	0	143	0	0	10	145440	900	1:5;9001:6;5005:45	5	11174	11176	1129
11176	迈阿密海滩	Miami Beach	13	0.7;0.5	0	0	0	1501	140	0	0	0	0	10	146894	900	1:5;9001:6;5005:45	5	11175	11177	1129
11177	小哈瓦那	Little Havana	13	0.7;0.7	1101	0	0	0	141	0	0	0	0	10	148363	900	1:5;9001:6;5005:45	5	11176	11178	1129
11178	美国航空球馆	American Airline Arena	13	0.8;0.5	0	1201	0	0	143	0	0	0	0	9	149847	900	1:5;9001:6;5005:45	5	11177	11179	1129
11179	海湾公园	Bayfront Park	13	0.5;0.9	0	0	0	1502	0	0	144	0	0	9	151345	900	1:5;9001:6;5005:45	5	11178	11180	1129
11180	自由塔	Freedom Tower	13	0.8;0.9	1102	0	0	0	142	0	0	0	0	8	152858	900	1:5;9001:6;5005:45	5	11179	11181	1129
11181	温伍德墙	Wynwood Walls	13	0.8;0.2	1102	0	0	0	0	0	144	0	0	7	154387	900	1:5;9001:6;5005:45	5	11180	11182	1129
11182	民权纪念馆	Civil Rights Memorial	13	0.2;0.2	0	0	0	1502	0	0	146	0	0	13	150000	1000	1:5;9001:6;5005:46	5	11181	11183	1130
11183	阿拉巴马州议会大厦	Alabama State Capitol	13	0.2;0.5	0	0	1401	0	148	0	0	0	0	10	151500	1000	1:5;9001:6;5005:46	5	11182	11184	1130
11184	联邦白宫	White House of the Confederacy	13	0.7;0.5	0	1201	0	0	0	0	146	0	0	10	153015	1000	1:5;9001:6;5005:46	5	11183	11185	1130
11185	民权纪念中心	Civil Rights Memorial Center	13	0.7;0.7	0	0	0	1502	145	0	0	0	0	9	154545	1000	1:5;9001:6;5005:46	5	11184	11186	1130
11186	州长官邸	Governor's Mansion	13	0.8;0.5	1101	0	0	0	0	147	0	0	0	9	156090	1000	1:5;9001:6;5005:46	5	11185	11187	1130
11187	滨河公园	Riverfront Park	13	0.5;0.9	0	1201	0	0	0	146	0	0	0	9	157651	1000	1:5;9001:6;5005:46	5	11186	11188	1130
11188	汉克威廉姆斯博物馆	Hank Williams Museum	13	0.8;0.9	0	0	1402	0	0	147	0	0	0	8	159228	1000	1:5;9001:6;5005:46	5	11187	11189	1130
11189	蒙哥马利市天文馆	Montgomery City Planetarium	13	0.8;0.2	0	0	1402	0	146	0	0	0	0	7	160820	1000	1:5;9001:6;5005:46	5	11188	11190	1130
11190	德州首府大厦	Texas Capital Building	11	0.2;0.2	1102	0	0	0	0	151	0	0	0	10	160000	1000	1:5;9001:7;5005:48	5	11189	11191	1131
11191	邦内尔山	Mount Bonnell	11	0.2;0.5	0	0	0	1501	153	0	0	0	0	9	160800	1000	1:5;9001:7;5005:48	5	11190	11192	1131
11192	齐尔克大都会公园	Zilker Metropolitan Park	11	0.5;0.3	0	0	1401	0	0	154	0	0	0	9	161604	1000	1:5;9001:7;5005:48	5	11191	11193	1131
11193	奥斯汀会议中心	Austin Convention Center	11	0.2;0.8	0	1201	0	0	0	0	151	0	0	9	162412	1000	1:5;9001:7;5005:48	5	11192	11194	1131
11194	麦金尼瀑布州立公园	McKinney Falls State Park	11	0.7;0.5	1102	0	0	0	0	154	0	0	0	8	163224	1000	1:5;9001:7;5005:48	5	11193	11195	1131
11195	巴顿泉池	Barton Springs Pool	11	0.5;0.9	0	0	0	1502	0	153	0	0	0	8	164040	1000	1:5;9001:7;5005:48	5	11194	11196	1131
11196	德克萨斯大学塔	University of Texas Tower	11	0.7;0.7	0	0	1401	0	0	152	0	0	0	8	164860	1000	1:5;9001:7;5005:48	5	11195	11197	1131
11197	国会大道	Congress Avenue	11	0.8;0.5	0	1202	0	0	0	0	153	0	0	7	165684	1000	1:5;9001:7;5005:48	5	11196	11198	1131
11198	德克萨斯大学奥斯汀分校	University of Texas at Austin	11	0.8;0.9	0	0	1402	0	0	0	150	0	0	6	166512	1000	1:5;9001:7;5005:48	5	11197	11199	1131
11199	中央车站	Union Station	11	0.2;0.2	1102	0	0	0	0	0	158	0	0	10	166000	2000	1:5;9001:7;5005:50	5	11198	11200	1132
11200	艺术博物馆	Museum of Art	11	0.2;0.5	0	0	0	1501	0	155	0	0	0	9	166830	2000	1:5;9001:7;5005:50	5	11199	11201	1132
11201	迷失公园	Loose Park	11	0.5;0.3	0	0	1402	0	0	159	0	0	0	9	167664	2000	1:5;9001:7;5005:50	5	11200	11202	1132
11202	自由纪念碑	World War I Liberty Memorial	11	0.2;0.8	0	1202	0	0	0	0	158	0	0	9	168502	2000	1:5;9001:7;5005:50	5	11201	11203	1132
11203	微型博物馆	Toy and Miniature Museum	11	0.7;0.5	1102	0	0	0	0	0	157	0	0	8	169345	2000	1:5;9001:7;5005:50	5	11202	11204	1132
11204	乐趣世界	Worlds Of Fun	11	0.5;0.9	0	0	0	1502	0	0	157	0	0	8	170192	2000	1:5;9001:7;5005:50	5	11203	11205	1132
11205	堪萨斯城动物园	Kansas City Zoo	11	0.7;0.7	0	1201	0	0	0	0	156	0	0	8	171043	2000	1:5;9001:7;5005:50	5	11204	11206	1132
11206	布鲁克赛德	Brookside	11	0.8;0.5	0	0	1402	0	157	0	0	0	0	7	171898	2000	1:5;9001:7;5005:50	5	11205	11207	1132
11207	霍尔马克游客中心	Hallmark Visitors Center	11	0.8;0.9	1102	0	0	0	0	0	155	0	0	6	172757	2000	1:5;9001:7;5005:50	5	11206	11208	1132
11208	法国区	French Quarter	11	0.2;0.2	0	0	0	1502	161	0	0	0	0	10	172000	2000	1:5;9001:7;5005:51	5	11207	11209	1133
11209	波本街	Bourbon Street	11	0.2;0.5	0	0	1401	0	0	163	0	0	0	9	172860	2000	1:5;9001:7;5005:51	5	11208	11210	1133
11210	杰克逊广场	Jackson Square	11	0.5;0.3	0	1201	0	0	0	160	0	0	0	9	173724	2000	1:5;9001:7;5005:51	5	11209	11211	1133
11211	花园区	Garden District	11	0.2;0.8	1101	0	0	0	161	0	0	0	0	9	174593	2000	1:5;9001:7;5005:51	5	11210	11212	1133
11212	皇家街	Royal Street	11	0.7;0.5	0	0	0	1502	163	0	0	0	0	8	175466	2000	1:5;9001:7;5005:51	5	11211	11213	1133
11213	奥杜邦公园	Audubon Park	11	0.5;0.9	0	1202	0	0	0	164	0	0	0	8	176343	2000	1:5;9001:7;5005:51	5	11212	11214	1133
11214	运河街	Canal Street	11	0.7;0.7	0	0	0	1501	0	162	0	0	0	8	177225	2000	1:5;9001:7;5005:51	5	11213	11215	1133
11215	杜兰大学	Tulane University	11	0.8;0.5	0	0	1402	0	0	160	0	0	0	7	178111	2000	1:5;9001:7;5005:51	5	11214	11216	1133
11216	城市公园	New Orleans City Park	11	0.8;0.9	0	1201	0	0	161	0	0	0	0	6	179002	2000	1:5;9001:7;5005:51	5	11215	11217	1133
11217	密苏里河	Missouri River	11	0.2;0.2	0	0	0	1501	0	169	0	0	0	10	179000	2000	1:5;9001:7;5005:53	5	11216	11218	1134
11218	蒙大拿州议会大厦	Montana State Capitol	11	0.2;0.5	0	0	1402	0	0	169	0	0	0	9	179895	2000	1:5;9001:7;5005:53	5	11217	11219	1134
11219	霍尔特艺术博物馆	Holter Museum of Art	11	0.5;0.3	0	1202	0	0	0	0	168	0	0	9	180794	2000	1:5;9001:7;5005:53	5	11218	11220	1134
11220	原总督府	Original Governor's Mansion	11	0.2;0.8	0	0	1401	0	0	168	0	0	0	9	181698	2000	1:5;9001:7;5005:53	5	11219	11221	1134
11221	北方旋转木马	Great Northern Carousel	11	0.7;0.5	0	0	0	1501	0	168	0	0	0	8	182606	2000	1:5;9001:7;5005:53	5	11220	11222	1134
11222	圣赫勒拿大教堂	St. Helena Cathedral	11	0.5;0.9	0	1201	0	0	0	0	168	0	0	8	183519	2000	1:5;9001:7;5005:53	5	11221	11223	1134
11223	海伦娜山	Mount Helena	11	0.7;0.7	0	0	1401	0	0	167	0	0	0	8	184437	2000	1:5;9001:7;5005:53	5	11222	11224	1134
11224	末日峡谷	Last Chance Gulch	11	0.8;0.5	0	0	0	1502	0	169	0	0	0	7	185359	2000	1:5;9001:7;5005:53	5	11223	11225	1134
11225	蓝宝石矿坑	Blue Jewel Mine	11	0.8;0.9	1102	0	0	0	0	0	167	0	0	6	186286	2000	1:5;9001:7;5005:53	5	11224	11226	1134
11226	巧克力工厂	Ethel M Chocolate Factory	11	0.2;0.2	0	0	0	1502	0	0	174	0	0	10	186000	2000	1:5;9001:7;5005:54	5	11225	11227	1135
11227	中国城	Chinatown	11	0.2;0.5	0	0	1401	0	0	170	0	0	0	9	186930	2000	1:5;9001:7;5005:54	5	11226	11228	1135
11228	黑帮博物馆	The Mob Museum	11	0.5;0.3	0	1201	0	0	0	0	174	0	0	9	187865	2000	1:5;9001:7;5005:54	5	11227	11229	1135
11229	花儿小教堂	Chapel of the Flowers	11	0.2;0.8	0	1202	0	0	0	170	0	0	0	9	188804	2000	1:5;9001:7;5005:54	5	11228	11230	1135
11230	凯撒皇宫婚礼教堂	Caesars Palace Wedding Services	11	0.7;0.5	0	0	0	1502	173	0	0	0	0	8	189748	2000	1:5;9001:7;5005:54	5	11229	11231	1135
11231	云霄塔	Stratosphere Tower	11	0.5;0.9	1101	0	0	0	171	0	0	0	0	8	190697	2000	1:5;9001:7;5005:54	5	11230	11232	1135
11232	弗里蒙特街	Fremont Street	11	0.7;0.7	0	1202	0	0	0	0	170	0	0	8	191650	2000	1:5;9001:7;5005:54	5	11231	11233	1135
11233	红岩峡谷国家保护区	Red Rock Canyon	11	0.8;0.5	0	0	1402	0	0	172	0	0	0	7	192608	2000	1:5;9001:7;5005:54	5	11232	11234	1135
11234	拉斯维加斯大道	The Strip	11	0.8;0.9	0	1201	0	0	0	0	170	0	0	6	193571	2000	1:5;9001:7;5005:54	5	11233	11235	1135
11235	巴尔的摩内港	Inner Harbor	11	0.2;0.2	0	0	0	1501	0	179	0	0	0	10	193000	2000	1:5;9001:8;5005:56	5	11234	11236	1136
11236	国家水族馆	National Aquarium	11	0.2;0.5	0	0	1402	0	179	0	0	0	0	9	193965	2000	1:5;9001:8;5005:56	5	11235	11237	1136
11237	约翰·霍普金斯大学	Johns Hopkins University	11	0.5;0.3	0	1202	0	0	179	0	0	0	0	9	194935	2000	1:5;9001:8;5005:56	5	11236	11238	1136
11238	华盛顿纪念碑	Washington Monument	11	0.2;0.8	0	0	0	1501	0	179	0	0	0	9	195910	2000	1:5;9001:8;5005:56	5	11237	11239	1136
11239	麦克亨利堡	Fort McHenry National Monument	11	0.7;0.5	1102	0	0	0	178	0	0	0	0	8	196890	2000	1:5;9001:8;5005:56	5	11238	11240	1136
11240	视觉艺术博物馆	Visionary Art Museum	11	0.5;0.9	0	1201	0	0	175	0	0	0	0	8	197874	2000	1:5;9001:8;5005:56	5	11239	11241	1136
11241	华特艺术博物馆	The Walters Art Museum	11	0.7;0.7	0	0	1402	0	176	0	0	0	0	8	198863	2000	1:5;9001:8;5005:56	5	11240	11242	1136
11242	幻想艺术博物馆	Visionary Art Museum	11	0.8;0.5	0	0	0	1502	0	0	178	0	0	7	199857	2000	1:5;9001:8;5005:56	5	11241	11243	1136
11243	铁路博物馆	Railroad Museum	11	0.8;0.9	1102	0	0	0	0	0	176	0	0	6	200856	2000	1:5;9001:8;5005:56	5	11242	11244	1136
11244	艺术博物馆	Art Museum	11	0.2;0.2	0	1201	0	0	0	180	0	0	0	10	201000	2000	1:5;9001:8;5005:58	5	11243	11245	1137
11245	科罗拉多州议会大厦	Colorado State Capitol	11	0.2;0.5	0	0	1401	0	0	0	181	0	0	9	202005	2000	1:5;9001:8;5005:58	5	11244	11246	1137
11246	科罗拉多会议中心	The Colorado Convention Center	11	0.5;0.3	0	1201	0	0	0	0	184	0	0	9	203015	2000	1:5;9001:8;5005:58	5	11245	11247	1137
11247	市民中心公园	Civic Center Park	11	0.2;0.8	0	0	1402	0	0	0	182	0	0	9	204030	2000	1:5;9001:8;5005:58	5	11246	11248	1137
11248	自然科学博物馆	Museum of Nature & Science	11	0.7;0.5	0	0	0	1502	0	181	0	0	0	8	205050	2000	1:5;9001:8;5005:58	5	11247	11249	1137
11249	城市公园	City Park	11	0.5;0.9	1101	0	0	0	184	0	0	0	0	8	206075	2000	1:5;9001:8;5005:58	5	11248	11250	1137
11250	植物园	Botanic Gardens	11	0.7;0.7	0	1202	0	0	0	183	0	0	0	8	207105	2000	1:5;9001:8;5005:58	5	11249	11251	1137
11251	丹佛大学	University of Denver	11	0.8;0.5	0	0	1402	0	0	181	0	0	0	7	208141	2000	1:5;9001:8;5005:58	5	11250	11252	1137
11252	埃文斯山	Mount Evans	11	0.8;0.9	1102	0	0	0	0	184	0	0	0	6	209182	2000	1:5;9001:8;5005:58	5	11251	11253	1137
11253	佛罗里达环球影城	Universal Studios Florida	11	0.2;0.2	0	0	0	1501	0	0	188	0	0	10	209000	2000	1:5;9001:8;5005:60	5	11252	11254	1138
11254	环球冒险岛	Universal's Islands of Adventure	11	0.2;0.5	0	0	1401	0	185	0	0	0	0	9	210045	2000	1:5;9001:8;5005:60	5	11253	11255	1138
11255	肯尼迪航天中心	Kennedy Space Center	11	0.5;0.3	0	1202	0	0	0	0	189	0	0	9	211095	2000	1:5;9001:8;5005:60	5	11254	11256	1138
11256	奥兰多海洋世界	SeaWorld Orlando	11	0.2;0.8	1101	0	0	0	0	0	186	0	0	9	212150	2000	1:5;9001:8;5005:60	5	11255	11257	1138
11257	伊奥拉湖公园	Lake Eola Park	11	0.7;0.5	0	0	1401	0	0	0	187	0	0	8	213211	2000	1:5;9001:8;5005:60	5	11256	11258	1138
11258	奥兰多艺术博物馆	Orlando Museum of Art	11	0.5;0.9	0	1201	0	0	0	0	189	0	0	8	214277	2000	1:5;9001:8;5005:60	5	11257	11259	1138
11259	奥兰治县历史中心	Orange County Regional History Center	11	0.7;0.7	0	0	0	1501	0	185	0	0	0	8	215348	2000	1:5;9001:8;5005:60	5	11258	11260	1138
11260	奥兰多枪俱乐部	The Orlando Gun Club	11	0.8;0.5	0	0	0	1502	0	0	187	0	0	7	216425	2000	1:5;9001:8;5005:60	5	11259	11261	1138
11261	外星人大冒险	E.T. Adventure	11	0.8;0.9	1102	0	0	0	187	0	0	0	0	6	217507	2000	1:5;9001:8;5005:60	5	11260	11262	1138
11262	军舰岛	Managaha Island	11	0.2;0.2	0	1201	0	0	0	0	191	0	0	10	217000	2000	1:5;9001:8;5005:62	5	11261	11263	1139
11263	蓝洞	The Grotto	11	0.2;0.5	0	0	1401	0	0	193	0	0	0	9	218085	2000	1:5;9001:8;5005:62	5	11262	11264	1139
11264	鸟岛	Bird Island	11	0.5;0.3	0	1201	0	0	192	0	0	0	0	9	219175	2000	1:5;9001:8;5005:62	5	11263	11265	1139
11265	塔帕丘山	Mount Tapochau	11	0.2;0.8	0	0	1402	0	0	0	194	0	0	9	220271	2000	1:5;9001:8;5005:62	5	11264	11266	1139
11266	鳄鱼头海滩	San Juan Beach	11	0.7;0.5	0	0	0	1502	0	0	190	0	0	8	221372	2000	1:5;9001:8;5005:62	5	11265	11267	1139
11267	美国纪念公园	American Memorial Park	11	0.5;0.9	0	1201	0	0	193	0	0	0	0	8	222479	2000	1:5;9001:8;5005:62	5	11266	11268	1139
11268	万岁崖	Banzai Cliff	11	0.7;0.7	1101	0	0	0	0	0	193	0	0	8	223591	2000	1:5;9001:8;5005:62	5	11267	11269	1139
11269	麦可海滩	Micro Beach	11	0.8;0.5	0	0	1402	0	192	0	0	0	0	7	224709	2000	1:5;9001:8;5005:62	5	11268	11270	1139
11270	拉德海滩	Ladder Beach	11	0.8;0.9	0	1202	0	0	0	191	0	0	0	6	225833	2000	1:5;9001:8;5005:62	5	11269	11271	1139
11271	大都会博物馆	The Metropolitan Museum of Art	11	0.2;0.2	0	0	0	1501	196	0	0	0	0	10	225000	2000	1:5;9001:8;5005:63	5	11270	11272	1140
11272	中央公园	Central Park	11	0.2;0.5	0	0	1401	0	0	197	0	0	0	9	226125	2000	1:5;9001:8;5005:63	5	11271	11273	1140
11273	帝国大厦	Empire State Building	11	0.5;0.3	0	1202	0	0	0	0	198	0	0	9	227256	2000	1:5;9001:8;5005:63	5	11272	11274	1140
11274	百老汇	Broadway	11	0.2;0.8	0	0	0	1501	195	0	0	0	0	9	228392	2000	1:5;9001:8;5005:63	5	11273	11275	1140
11275	第五大道	Fifth Avenue	11	0.7;0.5	1101	0	0	0	196	0	0	0	0	8	229534	2000	1:5;9001:8;5005:63	5	11274	11276	1140
11276	洛克菲勒中心	Rockefeller Center	11	0.5;0.9	0	1201	0	0	0	198	0	0	0	8	230682	2000	1:5;9001:8;5005:63	5	11275	11277	1140
11277	布鲁克林大桥	Brooklyn Bridge	11	0.7;0.7	0	0	0	1501	0	0	196	0	0	8	231835	2000	1:5;9001:8;5005:63	5	11276	11278	1140
11278	华尔街	Wall Street	11	0.8;0.5	0	0	0	1502	0	0	199	0	0	7	232994	2000	1:5;9001:8;5005:63	5	11277	11279	1140
11279	时代广场	Times Square	11	0.8;0.9	1102	0	0	0	0	0	198	0	0	6	234159	2000	1:5;9001:8;5005:63	5	11278	11280	1140
11280	史丹利公园	Stanley Park	13	0.2;0.2	0	0	1401	0	0	0	203	0	0	17	234159	2000	1:5;9001:9;5005:64	5	11279	11281	1141
11281	加拿大广场	Canada Place	13	0.2;0.5	0	0	1401	0	0	200	0	0	0	13	235330	2000	1:5;9001:9;5005:64	5	11280	11282	1141
11282	煤气镇	Gastown	13	0.7;0.5	0	1201	0	0	0	0	201	0	0	13	236507	2000	1:5;9001:9;5005:64	5	11281	11283	1141
11283	白石镇	White Rock	13	0.7;0.7	0	0	1402	0	0	0	203	0	0	10	237690	2000	1:5;9001:9;5005:64	5	11282	11284	1141
11284	狮门大桥	Lions Gate Bridge	13	0.8;0.5	0	0	0	1502	0	0	204	0	0	10	238878	2000	1:5;9001:9;5005:64	5	11283	11285	1141
11285	林恩峡谷公园	Lynn Canyon Park	13	0.5;0.9	1101	0	0	0	0	203	0	0	0	9	240072	2000	1:5;9001:9;5005:64	5	11284	11286	1141
11286	人类学博物馆	Museum of Anthropology	13	0.8;0.9	0	1202	0	0	200	0	0	0	0	9	241272	2000	1:5;9001:9;5005:64	5	11285	11287	1141
11287	沉船海滩	Wreck Beach	13	0.8;0.2	0	0	1402	0	0	0	204	0	0	8	242478	2000	1:5;9001:9;5005:64	5	11286	11288	1141
11288	多伦多大学	University of Toronto	13	0.2;0.2	1101	0	0	0	0	0	208	0	0	17	242478	2000	1:5;9001:9;5005:65	5	11287	11289	1142
11289	卡萨罗玛城堡	Casa Loma	13	0.2;0.5	0	0	0	1501	208	0	0	0	0	13	243690	2000	1:5;9001:9;5005:65	5	11288	11290	1142
11290	加拿大国家电视塔	CN Tower	13	0.7;0.5	0	0	1401	0	0	0	206	0	0	13	244908	2000	1:5;9001:9;5005:65	5	11289	11291	1142
11291	湖心岛	Toronto Islands	13	0.7;0.7	0	1202	0	0	0	207	0	0	0	10	246133	2000	1:5;9001:9;5005:65	5	11290	11292	1142
11292	高地公园	High Park	13	0.8;0.5	1101	0	0	0	209	0	0	0	0	10	247364	2000	1:5;9001:9;5005:65	5	11291	11293	1142
11293	安大略美术馆	Art Gallery of Ontario	13	0.5;0.9	0	0	0	1501	0	207	0	0	0	9	248601	2000	1:5;9001:9;5005:65	5	11292	11294	1142
11294	新市政厅	The New City Hall	13	0.8;0.9	0	1201	0	0	0	209	0	0	0	9	249844	2000	1:5;9001:9;5005:65	5	11293	11295	1142
11295	央街	Yonge Street	13	0.8;0.2	1101	0	0	0	0	206	0	0	0	8	251093	2000	1:5;9001:9;5005:65	5	11294	11296	1142
11296	皇家山公园	Mount Royal Park	13	0.2;0.2	0	0	1402	0	211	0	0	0	0	17	251093	2000	1:5;9001:9;5005:66	5	11295	11297	1143
11297	老港口	Old Port	13	0.2;0.5	1102	0	0	0	0	212	0	0	0	13	252348	2000	1:5;9001:9;5005:66	5	11296	11298	1143
11298	皇家山高地	Le Plateau-Mont-Royal	13	0.7;0.5	0	0	0	1502	210	0	0	0	0	13	253610	2000	1:5;9001:9;5005:66	5	11297	11299	1143
11299	麦吉尔大学	McGill University	13	0.7;0.7	0	0	1401	0	0	0	214	0	0	10	254878	2000	1:5;9001:9;5005:66	5	11298	11300	1143
11300	67号住所	Habitat 67	13	0.8;0.5	0	1201	0	0	0	210	0	0	0	10	256152	2000	1:5;9001:9;5005:66	5	11299	11301	1143
11301	蒙特利尔植物园	Botanical Garden of Montreal	13	0.5;0.9	1101	0	0	0	214	0	0	0	0	9	257433	2000	1:5;9001:9;5005:66	5	11300	11302	1143
11302	蒙特利尔奥林匹克公园	Olympic Park	13	0.8;0.9	0	0	0	1502	0	0	214	0	0	9	258720	2000	1:5;9001:9;5005:66	5	11301	11303	1143
11303	蒙特利尔市政厅	Montreal City Hall	13	0.8;0.2	1101	0	0	0	210	0	0	0	0	8	260014	2000	1:5;9001:9;5005:66	5	11302	11304	1143
11304	老魁北克	Old Quebec	13	0.2;0.2	0	1202	0	0	0	217	0	0	0	17	260014	2000	1:5;9001:9;5005:67	5	11303	11305	1144
11305	魁北克要塞	La Citadelle de Quebec	13	0.2;0.5	0	0	1402	0	0	217	0	0	0	13	261314	2000	1:5;9001:9;5005:67	5	11304	11306	1144
11306	魁北克城堡	Citadelle	13	0.7;0.5	0	0	0	1501	216	0	0	0	0	13	262621	2000	1:5;9001:9;5005:67	5	11305	11307	1144
11307	蒙特伦西瀑布	Montmorency Falls Park	13	0.7;0.7	0	0	0	1501	0	217	0	0	0	10	263934	2000	1:5;9001:9;5005:67	5	11306	11308	1144
11308	下城区	Basse-Ville	13	0.8;0.5	0	0	1402	0	0	0	215	0	0	10	265254	2000	1:5;9001:9;5005:67	5	11307	11309	1144
11309	圣亚纳圣殿	Sainte Anne de Beaupre Basilica	13	0.5;0.9	0	1202	0	0	216	0	0	0	0	9	266580	2000	1:5;9001:9;5005:67	5	11308	11310	1144
11310	老码头	Vieux-Port	13	0.8;0.9	1101	0	0	0	215	0	0	0	0	9	267913	2000	1:5;9001:9;5005:67	5	11309	11311	1144
11311	议会大厦	Hotel du Parlement	13	0.8;0.2	0	0	0	1502	0	0	219	0	0	8	269253	2000	1:5;9001:9;5005:67	5	11310	11312	1144
11312	渔人码头	Fisherman's Wharf	13	0.2;0.2	0	1201	0	0	223	0	0	0	0	17	269253	2000	1:5;9001:9;5005:68	5	11311	11313	1145
11313	议会大厦	Parliament Buildings	13	0.2;0.5	1101	0	0	0	0	0	222	0	0	13	270599	2000	1:5;9001:9;5005:68	5	11312	11314	1145
11314	魁达洛古堡	Craigdarroch Castle	13	0.7;0.5	0	0	1401	0	0	0	221	0	0	13	271952	2000	1:5;9001:9;5005:68	5	11313	11315	1145
11315	内港	Inner Harbour	13	0.7;0.7	0	0	0	1502	220	0	0	0	0	10	273312	2000	1:5;9001:9;5005:68	5	11314	11316	1145
11316	帝后饭店	Empress Hotel	13	0.8;0.5	1102	0	0	0	222	0	0	0	0	10	274679	2000	1:5;9001:9;5005:68	5	11315	11317	1145
11317	皇家 博物馆	Royal BC Museum	13	0.5;0.9	1101	0	0	0	222	0	0	0	0	9	276052	2000	1:5;9001:9;5005:68	5	11316	11318	1145
11318	微缩博物馆	Miniature World	13	0.8;0.9	0	0	1401	0	0	0	222	0	0	9	277432	2000	1:5;9001:9;5005:68	5	11317	11319	1145
11319	雷鸟公园	Thunderbird Park	13	0.8;0.2	0	1201	0	0	0	222	0	0	0	8	278819	2000	1:5;9001:9;5005:68	5	11318	11320	1145
11320	渥太华国会大厦	Parliament Building	13	0.2;0.2	1102	0	0	0	228	0	0	0	0	17	278819	2000	1:5;9001:10;5005:70	5	11319	11321	1146
11321	国会山	Parliament Hill	13	0.2;0.5	0	0	0	1502	0	229	0	0	0	13	280213	2000	1:5;9001:10;5005:70	5	11320	11322	1146
11322	丽都运河	Rideau Canal	13	0.7;0.5	0	1202	0	0	228	0	0	0	0	13	281614	2000	1:5;9001:10;5005:70	5	11321	11323	1146
11323	加拿大国家美术馆	National Gallery of Canada	13	0.7;0.7	0	0	0	1501	229	0	0	0	0	10	283022	2000	1:5;9001:10;5005:70	5	11322	11324	1146
11324	总督府	Rideau Hall	13	0.8;0.5	0	0	1402	0	0	227	0	0	0	10	284437	2000	1:5;9001:10;5005:70	5	11323	11325	1146
11325	和平塔	Peace Tower	13	0.5;0.9	1101	0	0	0	228	0	0	0	0	9	285859	2000	1:5;9001:10;5005:70	5	11324	11326	1146
11326	联邦广场	Confederation Square	13	0.8;0.9	0	0	0	1501	0	0	227	0	0	9	287288	2000	1:5;9001:10;5005:70	5	11325	11327	1146
11327	不熄之火	Centenial Flame	13	0.8;0.2	0	0	1401	0	229	0	0	0	0	8	288724	2000	1:5;9001:10;5005:70	5	11326	11328	1146
11328	卡尔加里塔	Calgary Tower	13	0.2;0.2	0	1202	0	0	0	233	0	0	0	17	288724	2000	1:5;9001:10;5005:71	5	11327	11329	1147
11329	王子岛公园	Prince's Island Park	13	0.2;0.5	1101	0	0	0	234	0	0	0	0	13	290168	2000	1:5;9001:10;5005:71	5	11328	11330	1147
11330	卡尔加里遗迹公园	Heritage Park Historical Village	13	0.7;0.5	0	0	0	1501	0	0	233	0	0	13	291619	2000	1:5;9001:10;5005:71	5	11329	11331	1147
11331	卡尔加里动物园	The Calgary Zoo	13	0.7;0.7	0	1201	0	0	233	0	0	0	0	10	293077	2000	1:5;9001:10;5005:71	5	11330	11332	1147
11332	和平桥	Peace Bridge	13	0.8;0.5	1102	0	0	0	0	0	233	0	0	10	294542	2000	1:5;9001:10;5005:71	5	11331	11333	1147
11333	皇家山	Mount royal	13	0.5;0.9	0	0	1401	0	0	0	232	0	0	9	296015	2000	1:5;9001:10;5005:71	5	11332	11334	1147
11334	仙境雕塑	Wonderland Sculpture	13	0.8;0.9	1102	0	0	0	0	232	0	0	0	9	297495	2000	1:5;9001:10;5005:71	5	11333	11335	1147
