int	int	int	int	int	int	int	string	int	string	string	string	string	string	string	int	DTItemNum
102008					1020	8	{name}				是的。如果只是一般的宴会，我又怎么敢如此冒昧前来邀请日理万机的总裁先生呢？	是的。如果只是一般的宴会，我又怎么敢如此冒昧前来邀请日理万机的总裁先生呢？	{name}	{name}	1	
102009					1020	9	{name}				当然，不需要马上决定。我会把邀请函留在这里，如果到时候你有空，随时欢迎前来。那么，我就先告辞啦。	当然，不需要马上决定。我会把邀请函留在这里，如果到时候你有空，随时欢迎前来。那么，我就先告辞啦。	{name}	{name}	1	
102101	6	1108			1021	1	1001				公司现在看上去规模比一开始真的大了很多呢。	公司现在看上去规模比一开始真的大了很多呢。	柏妮塔	Bonita	1	
102102					1021	2	{name}				是啊…事情也越来越多了，以前当演员只要按照导演要求来就好了，现在自己需要去掌控整个局面，才发现真是挺复杂的…有时候都会忙的想不起来接下来该干什么。	是啊…事情也越来越多了，以前当演员只要按照导演要求来就好了，现在自己需要去掌控整个局面，才发现真是挺复杂的…有时候都会忙的想不起来接下来该干什么。	{name}	{name}	2	
102103					1021	3	1001				这样可不行哦~毕竟我们一整个公司可都指望着你带领我们成为票房传奇呢！	这样可不行哦~毕竟我们一整个公司可都指望着你带领我们成为票房传奇呢！	柏妮塔	Bonita	1	
102104					1021	4	{name}				肯定会的，不过，这可少不了你的帮助啊~愿不愿意对未来的传奇伸出援手，帮我整理一下每天的工作日程呢？	肯定会的，不过，这可少不了你的帮助啊~愿不愿意对未来的传奇伸出援手，帮我整理一下每天的工作日程呢？	{name}	{name}	2	
102105					1021	5	1001				行啦，少贫两句。要是不愿意我现在还会站在这嘛？不过我可预先提醒你，我的日程安排可是会很严格的哦？	行啦，少贫两句。要是不愿意我现在还会站在这嘛？不过我可预先提醒你，我的日程安排可是会很严格的哦？	柏妮塔	Bonita	1	
102201	6	1109			1022	1	1004				你觉得{name}那家伙邀请我去宴会的目的是什么？	你觉得{name}那家伙邀请我去宴会的目的是什么？	凯文	Kevin Huth	1	
102202					1022	2	1005				不好说呢。如果不去的话，我们是没有办法弄清楚的吧~	不好说呢。如果不去的话，我们是没有办法弄清楚的吧~	简妮	Janine Opare	2	
102203					1022	3	1004				哼…如意算盘倒是打的挺好。我去了无疑是给他们增加曝光度，但是{name}也知道我不可能放过能调查面具情报的机会。	哼…如意算盘倒是打的挺好。我去了无疑是给他们增加曝光度，但是{name}也知道我不可能放过能调查面具情报的机会。	凯文	Kevin Huth	1	
102204					1022	4	1005				他们这次的主动出击倒真有点让人意外，这也是对于我们的一次试探。看来还真不是省油的灯呢~	他们这次的主动出击倒真有点让人意外，这也是对于我们的一次试探。看来还真不是省油的灯呢~	简妮	Janine Opare	2	
102205					1022	5	1004				算了，对我们来说也确实是个机会。我需要你去安排人手，这次宴会上务必弄清楚面具的下落，并且想方设法把它弄到手！	算了，对我们来说也确实是个机会。我需要你去安排人手，这次宴会上务必弄清楚面具的下落，并且想方设法把它弄到手！	凯文	Kevin Huth	1	
102301	6	1110			1023	1	{name}				我已经去见过凯文并且把邀请函给他了。	我已经去见过凯文并且把邀请函给他了。	{name}	{name}	1	
102302					1023	2	1001				所以，你觉得他真的会来吗？	所以，你觉得他真的会来吗？	柏妮塔	Bonita	2	
102303					1023	3	{name}				他会的，我可是给他抛了一个他无法拒绝的诱饵哦~	他会的，我可是给他抛了一个他无法拒绝的诱饵哦~	{name}	{name}	1	
102304					1023	4	1001				你是指面具？但是，你怎么让凯文相信面具确实在你手上的呢？	你是指面具？但是，你怎么让凯文相信面具确实在你手上的呢？	柏妮塔	Bonita	2	
102305					1023	5	{name}				我不需要去让他相信，他自己会说服自己相信的。越是无法确定，他才越没法平心静气的按兵不动。	我不需要去让他相信，他自己会说服自己相信的。越是无法确定，他才越没法平心静气的按兵不动。	{name}	{name}	1	
102306					1023	6	1001				所谓敌动我不动？嗯~难道你私下没事还喜欢琢磨孙子兵法？	所谓敌动我不动？嗯~难道你私下没事还喜欢琢磨孙子兵法？	柏妮塔	Bonita	2	
102307					1023	7	{name}				哈哈~ 我懂的可还不止这些喔！	哈哈~ 我懂的可还不止这些喔！	{name}	{name}	1	
102401	6	1111			1024	1	1001				不过说起来，我还是有点没太理解你为什么要大费周章的举办这么个宴会。就算他真的来了，对我们而言又有什么用处呢？	不过说起来，我还是有点没太理解你为什么要大费周章的举办这么个宴会。就算他真的来了，对我们而言又有什么用处呢？	柏妮塔	Bonita	1	
102402					1024	2	{name}				你还记得前段时间我们在做宣传活动时感到的奇怪视线么？这段时间，除了工作，我也顺便调查了一下~他们确实是巨星影业的人，但是他们的目的似乎并不是简单的打探我们的生意进展，而是在收集情报。	你还记得前段时间我们在做宣传活动时感到的奇怪视线么？这段时间，除了工作，我也顺便调查了一下~他们确实是巨星影业的人，但是他们的目的似乎并不是简单的打探我们的生意进展，而是在收集情报。	{name}	{name}	2	
102403					1024	3	1001				你啊…难怪前段时间气色那么差。你完全可以跟我说啊，我也可以帮你一起调查的。	你啊…难怪前段时间气色那么差。你完全可以跟我说啊，我也可以帮你一起调查的。	柏妮塔	Bonita	1	
102404					1024	4	{name}				不，如果我们一起行动就太容易引人注目了，你就保持专注在我们的生意上作为掩护，这样也能分散他们的注意力。	不，如果我们一起行动就太容易引人注目了，你就保持专注在我们的生意上作为掩护，这样也能分散他们的注意力。	{name}	{name}	2	
102405					1024	5	1001				好吧…所以你是说，他们早就怀疑面具在我们手上了？	好吧…所以你是说，他们早就怀疑面具在我们手上了？	柏妮塔	Bonita	1	
102406					1024	6	{name}				没错，但是我们不清楚他们的情报究竟掌握到了什么程度。所以…我们需要布个局。这样至少我们知道他们一定会在宴会上有所行动，总比一直毫无针对性的提防对方要好。	没错，但是我们不清楚他们的情报究竟掌握到了什么程度。所以…我们需要布个局。这样至少我们知道他们一定会在宴会上有所行动，总比一直毫无针对性的提防对方要好。	{name}	{name}	2	
102407					1024	7	1001				明白了，那我会继续这边的工作，同时如果有什么需要帮忙的一定要跟我说哦？	明白了，那我会继续这边的工作，同时如果有什么需要帮忙的一定要跟我说哦？	柏妮塔	Bonita	1	
102408					1024	8	{name}				当然，放心吧~	当然，放心吧~	{name}	{name}	2	
102501	6	1112			1025	1	1001				我们竟然已经在这座城市成功举办10次路演啦，感觉时间过得真快...	我们竟然已经在这座城市成功举办10次路演啦，感觉时间过得真快...	柏妮塔	Bonita	1	
102502					1025	2	{name}				哈哈哈，这不是很好吗？说明我们每一天都过得很充实嘛~	哈哈哈，这不是很好吗？说明我们每一天都过得很充实嘛~	{name}	{name}	2	
102503					1025	3	1001				嗯，不过还要继续加油喔！我们的宴会也要着手准备啦。	嗯，不过还要继续加油喔！我们的宴会也要着手准备啦。	柏妮塔	Bonita	1	
102504					1025	4	{name}				我知道，这么重要的事我可没忘呢。	我知道，这么重要的事我可没忘呢。	{name}	{name}	2	
102601	6	1113			1026	1	1005				（凯文办公室内）…所以，你觉得这个计划如何？	（凯文办公室内）…所以，你觉得这个计划如何？	简妮	Janine Opare	1	
102602					1026	2	1004				哼，很老套，但也确实很经典。可以试试。	哼，很老套，但也确实很经典。可以试试。	凯文	Kevin Huth	2	
102603					1026	3	1005				呵呵~新的可不一定总是更好的哦。那么，我就去准备了。	呵呵~新的可不一定总是更好的哦。那么，我就去准备了。	简妮	Janine Opare	1	
102701	6	1114			1027	1	{name}				…就是这样，你明白了吗？	…就是这样，你明白了吗？	{name}	{name}	1	
102702					1027	2	{actor}				了解，Boss。不过，你确定要这么做吗？	了解，Boss。不过，你确定要这么做吗？	{actor}	{actor}	2	
102703					1027	3	{name}				如果一切顺利的话，这对我们会是很大的帮助。	如果一切顺利的话，这对我们会是很大的帮助。	{name}	{name}	1	
102704					1027	4	{actor}				好的，不过，我们需要先跟伯尼塔小姐说一声吗？	好的，不过，我们需要先跟伯尼塔小姐说一声吗？	{actor}	{actor}	2	
102705					1027	5	{name}				我会告诉她的，不过现在还不是时候…	我会告诉她的，不过现在还不是时候…	{name}	{name}	1	
102801	6	1115			1028	1	{actor}				少自以为是了！	少自以为是了！	{actor}	{actor}	1	
102802					1028	2	1001				咦？诶，怎么了？发生了什么？！	咦？诶，怎么了？发生了什么？！	柏妮塔	Bonita	2	
102803					1028	3	{actor}				得过一次奥斯卡就觉得自己很了不起，是吗？别用那副高高在上的语气告诉我该怎么做！	得过一次奥斯卡就觉得自己很了不起，是吗？别用那副高高在上的语气告诉我该怎么做！	{actor}	{actor}	1	
102804					1028	4	1001				你冷静一下…发生了什么？	你冷静一下…发生了什么？	柏妮塔	Bonita	2	
102805					1028	5	{name}				不，别拦他，让他说。来啊，看得出来你已经忍很久了对吧？那就索性一次性把话说明白！	不，别拦他，让他说。来啊，看得出来你已经忍很久了对吧？那就索性一次性把话说明白！	{name}	{name}	1	
102806					1028	6	{actor}				呵，我劝你注意你的态度，你可不想我把那件事抖出去吧？	呵，我劝你注意你的态度，你可不想我把那件事抖出去吧？	{actor}	{actor}	2	
102807					1028	7	{name}				你…！	你…！	{name}	{name}	1	
102808					1028	8	{actor}				你爱怎样怎样吧，我不奉陪了！	你爱怎样怎样吧，我不奉陪了！	{actor}	{actor}	2	
102809					1028	9	1001				等等，等一下！	等等，等一下！	柏妮塔	Bonita	1	
102901	6	1116			1029	1	1004				{name}被旗下演员当面呛声？呵…	{name}被旗下演员当面呛声？呵…	凯文	Kevin Huth	1	
102902					1029	2	1005				听起来，倒像是我们的好机会，不是吗~	听起来，倒像是我们的好机会，不是吗~	简妮	Janine Opare	2	
102903					1029	3	1004				听起来，倒像是你话里有话，简妮。	听起来，倒像是你话里有话，简妮。	凯文	Kevin Huth	1	
102904					1029	4	1005				您还是一如既往的敏锐呢，凯文先生。没错，正是因为这个机会来的太是·时·候·了。	您还是一如既往的敏锐呢，凯文先生。没错，正是因为这个机会来的太是·时·候·了。	简妮	Janine Opare	2	
102905					1029	5	1004				你的意思是，他们故意演这一出戏？	你的意思是，他们故意演这一出戏？	凯文	Kevin Huth	1	
102906					1029	6	1005				我可没有说一定是这么回事哦~不过，这种可能性真是大到无法忽视呢~	我可没有说一定是这么回事哦~不过，这种可能性真是大到无法忽视呢~	简妮	Janine Opare	2	
102907					1029	7	1004				还真是无聊的把戏啊。不过，我们不妨将计就计。	还真是无聊的把戏啊。不过，我们不妨将计就计。	凯文	Kevin Huth	1	
102908					1029	8	1005				明白了。呵呵，感觉事情会变得有趣起来呢~	明白了。呵呵，感觉事情会变得有趣起来呢~	简妮	Janine Opare	2	
103001	6	1117			1030	1	1001				我说你啊，到底是怎么一回事？	我说你啊，到底是怎么一回事？	柏妮塔	Bonita	1	
103002					1030	2	{name}				我也很无奈…如果他没有办法接受，也许他走了也是一件好事。	我也很无奈…如果他没有办法接受，也许他走了也是一件好事。	{name}	{name}	2	
103003					1030	3	1001				我不是说那个。虽然我也不希望事情走到这一步，但我在意的是他说的“把那件事抖出去”。	我不是说那个。虽然我也不希望事情走到这一步，但我在意的是他说的“把那件事抖出去”。	柏妮塔	Bonita	1	
103004					1030	4	{name}				那个...是…	那个...是…	{name}	{name}	2	
103005					1030	5	1001				如果只是私人问题的话，我是不会追问你的。但是目前来看，没那么简单吧？	如果只是私人问题的话，我是不会追问你的。但是目前来看，没那么简单吧？	柏妮塔	Bonita	1	
103006					1030	6	{name}				你说的没错。事实上，如果他真的那么做了，我们公司就要被大麻烦缠上了…	你说的没错。事实上，如果他真的那么做了，我们公司就要被大麻烦缠上了…	{name}	{name}	2	
103007					1030	7	1001				那么，现在的情况很棘手呢…哎，要尽快想出对策和做好最坏情况下的应对方式啊。	那么，现在的情况很棘手呢…哎，要尽快想出对策和做好最坏情况下的应对方式啊。	柏妮塔	Bonita	1	
103008					1030	8	{name}				抱歉…（还不能告诉你实情啊，对不起…）	抱歉…（还不能告诉你实情啊，对不起…）	{name}	{name}	2	
103101	6	1118			1031	1	1005				Hi，能否采访一下，失业的感觉如何？	Hi，能否采访一下，失业的感觉如何？	简妮	Janine Opare	1	
103102					1031	2	{actor}				你是什么人？别挡路。	你是什么人？别挡路。	{actor}	{actor}	2	
103103					1031	3	1005				别这么冷淡嘛~你之前的那一次跟{name}当面争执可是让你实实在在的出名了哦？	别这么冷淡嘛~你之前的那一次跟{name}当面争执可是让你实实在在的出名了哦？	简妮	Janine Opare	1	
103104					1031	4	{actor}				我不需要那种出名方式，别来烦我。	我不需要那种出名方式，别来烦我。	{actor}	{actor}	2	
103105					1031	5	1005				如果我说，我能让你的才能得到真正的，没有限制的发挥呢？跟{name}共事想必很辛苦吧？那是个很苛刻的人呢~	如果我说，我能让你的才能得到真正的，没有限制的发挥呢？跟{name}共事想必很辛苦吧？那是个很苛刻的人呢~	简妮	Janine Opare	1	
103106					1031	6	{actor}				…你究竟是谁？	…你究竟是谁？	{actor}	{actor}	2	
103107					1031	7	1005				呵呵...这里可不太适合聊天哦。让我们换个地方坐下来好好谈谈吧？	呵呵...这里可不太适合聊天哦。让我们换个地方坐下来好好谈谈吧？	简妮	Janine Opare	1	
103201	6	1119			1032	1	1001				不过，说起来，你确定让他们直接进到别墅里真的是个好主意吗？	不过，说起来，你确定让他们直接进到别墅里真的是个好主意吗？	柏妮塔	Bonita	1	
103202					1032	2	{name}				你的担忧是？	你的担忧是？	{name}	{name}	2	
103203					1032	3	1001				即使我们知道他们会有所动作，也不可能知道他们的具体计划。万一他们真的得手了呢？	即使我们知道他们会有所动作，也不可能知道他们的具体计划。万一他们真的得手了呢？	柏妮塔	Bonita	1	
103204					1032	4	{name}				嗯，我当然有考虑过这种可能。不过，看起来这是个我们不得不冒的险，不是吗？	嗯，我当然有考虑过这种可能。不过，看起来这是个我们不得不冒的险，不是吗？	{name}	{name}	2	
103301	6	1120			1033	1	1005				所以，你怎么考虑呢？	所以，你怎么考虑呢？	简妮	Janine Opare	1	
103302					1033	2	{actor}				你想要我回去{name}那儿当商业间谍？那只是个小公司而已。为什么你们这么在意？	你想要我回去{name}那儿当商业间谍？那只是个小公司而已。为什么你们这么在意？	{actor}	{actor}	2	
103303					1033	3	1005				这些事情，不是你需要担心的范围哦~ 你只要决定做，还是不做呢。	这些事情，不是你需要担心的范围哦~ 你只要决定做，还是不做呢。	简妮	Janine Opare	1	
103304					1033	4	{actor}				帮你们对我来说又有什么好处？	帮你们对我来说又有什么好处？	{actor}	{actor}	2	
103305					1033	5	1005				你应该知道我的雇主是谁，对吗？如果你不答应，恐怕你之后的职业生涯，会过的比其他人要更艰辛一点哦，你明白我的意思吧？	你应该知道我的雇主是谁，对吗？如果你不答应，恐怕你之后的职业生涯，会过的比其他人要更艰辛一点哦，你明白我的意思吧？	简妮	Janine Opare	1	
103306					1033	6	{actor}				…啧。但是我们上次那么不欢而散，你现在让我怎么回去那里？	…啧。但是我们上次那么不欢而散，你现在让我怎么回去那里？	{actor}	{actor}	2	
103307					1033	7	1005				那，就是你的问题了~ 就这样吧，期待你的好消息哦！	那，就是你的问题了~ 就这样吧，期待你的好消息哦！	简妮	Janine Opare	1	
103401	6	1121			1034	1	{name}				有件比较麻烦的事情，想拜托你一下呢…	有件比较麻烦的事情，想拜托你一下呢…	{name}	{name}	1	
103402					1034	2	1001				跟我你还客气什么，说吧，怎么了？	跟我你还客气什么，说吧，怎么了？	柏妮塔	Bonita	2	
103403					1034	3	{name}				关于雷诺。如果放着他不管，总觉得会造成麻烦。可以的话，你能不能去找他谈谈？	关于雷诺。如果放着他不管，总觉得会造成麻烦。可以的话，你能不能去找他谈谈？	{name}	{name}	1	
103404					1034	4	1001				哎…真是的，就算你不说，我也打算这么做啊。我知道了，交给我吧。	哎…真是的，就算你不说，我也打算这么做啊。我知道了，交给我吧。	柏妮塔	Bonita	2	
103501	6	1122			1035	1	1001				关于上次的事情，{name}也为自己的冲动感到后悔，不管你们之间有什么问题，我相信一定能好好谈一谈解决的。不是吗？	关于上次的事情，{name}也为自己的冲动感到后悔，不管你们之间有什么问题，我相信一定能好好谈一谈解决的。不是吗？	柏妮塔	Bonita	1	
103502					1035	2	{actor}				你之所以会来找我，是因为我之前扬言要抖出去的那件事吧。怎么，{name}害怕了吗？	你之所以会来找我，是因为我之前扬言要抖出去的那件事吧。怎么，{name}害怕了吗？	{actor}	{actor}	2	
103503					1035	3	{name}				对，是我让她来的。坦诚的说，有这方面原因。但是我们公司目前还处于起步阶段，我确实不希望失去任何一位成员。没有从不争吵的合作伙伴，关键在于我们怎么解决争吵。不是吗？	对，是我让她来的。坦诚的说，有这方面原因。但是我们公司目前还处于起步阶段，我确实不希望失去任何一位成员。没有从不争吵的合作伙伴，关键在于我们怎么解决争吵。不是吗？	{name}	{name}	1	
103504					1035	4	{actor}				…好吧。我知道了，我也为我之前的态度道歉。	…好吧。我知道了，我也为我之前的态度道歉。	{actor}	{actor}	2	
103601	6	1123			1036	1	1004				一切都在按计划进行，对吗？	一切都在按计划进行，对吗？	凯文	Kevin Huth	1	
103602					1036	2	1005				是的，很顺利呢。对方大概以为我们彻底上钩了吧~	是的，很顺利呢。对方大概以为我们彻底上钩了吧~	简妮	Janine Opare	2	
103603					1036	3	1004				很好，保持下去，有新情况及时汇报。	很好，保持下去，有新情况及时汇报。	凯文	Kevin Huth	1	
103701	6	1124			1037	1	1001				什么？！你说他是间…	什么？！你说他是间…	柏妮塔	Bonita	1	
103702					1037	2	{name}				嘘~别这么大声啦。他是我安排进来的间谍喔。	嘘~别这么大声啦。他是我安排进来的间谍喔。	{name}	{name}	2	
103703					1037	3	1001				到底是怎么一回事啊…	到底是怎么一回事啊…	柏妮塔	Bonita	1	
103704					1037	4	{name}				抱歉之前一直瞒着你…跟他吵那一架是演戏，我们是为了做给巨星影业看的~	抱歉之前一直瞒着你…跟他吵那一架是演戏，我们是为了做给巨星影业看的~	{name}	{name}	2	
103705					1037	5	1001				好吧…不过你竟然连我也蒙在鼓里？	好吧…不过你竟然连我也蒙在鼓里？	柏妮塔	Bonita	1	
103706					1037	6	{name}				要想骗过敌人，首先得骗过自己人呀。对不起啦~	要想骗过敌人，首先得骗过自己人呀。对不起啦~	{name}	{name}	2	
103801	6	1125			1038	1	{name}				那么，巨星影业那边没有怀疑你吧？	那么，巨星影业那边没有怀疑你吧？	{name}	{name}	1	
103802					1038	2	{actor}				我想没有。按照您的指示，我等到他们主动来找我才勉强答应，他们应该看不出什么破绽。	我想没有。按照您的指示，我等到他们主动来找我才勉强答应，他们应该看不出什么破绽。	{actor}	{actor}	2	
103803					1038	3	{name}				那就好。他们有给你什么具体的任务吗？	那就好。他们有给你什么具体的任务吗？	{name}	{name}	1	
103804					1038	4	{actor}				并没有，他们只是让我密切关注您的动向，及时向他们汇报。	并没有，他们只是让我密切关注您的动向，及时向他们汇报。	{actor}	{actor}	2	
103805					1038	5	{name}				这样…我知道了。那么，目前你还是多跟他们接触，尽量取得他们的信任来想办法搞清楚他们的计划吧。	这样…我知道了。那么，目前你还是多跟他们接触，尽量取得他们的信任来想办法搞清楚他们的计划吧。	{name}	{name}	1	
103806					1038	6	{actor}				嗯，我明白，Boss	嗯，我明白，Boss	{actor}	{actor}	2	
103901	6	1126			1039	1	1004				最近我们在本市的影院票房利润有所下降啊，看来有必要挫一挫{name}的威风了。	最近我们在本市的影院票房利润有所下降啊，看来有必要挫一挫{name}的威风了。	凯文	Kevin Huth	1	
103902					1039	2	1006				总裁想怎么做？	总裁想怎么做？	下属	下属	2	
103903					1039	3	1004				他们的下一次宣传活动是在夏威夷吧？我们不妨去帮他们壮大一下声势。	他们的下一次宣传活动是在夏威夷吧？我们不妨去帮他们壮大一下声势。	凯文	Kevin Huth	1	
103904					1039	4	1006				总裁的意思是…哦，我明白了！这可真是妙计！	总裁的意思是…哦，我明白了！这可真是妙计！	下属	下属	2	
103905					1039	5	1004				好了，这件事就交给你安排了，别搞砸。	好了，这件事就交给你安排了，别搞砸。	凯文	Kevin Huth	1	
103906					1039	6	1006				明白！	明白！	下属	下属	2	
104001	6	1127			1040	1	{name}				这次的路演比以往来的观众人数多的多呢。	这次的路演比以往来的观众人数多的多呢。	{name}	{name}	1	
104002					1040	2	1001				是呀，是不是证明我们在这座城市的粉丝越来越多啦？真让人开心呢~	是呀，是不是证明我们在这座城市的粉丝越来越多啦？真让人开心呢~	柏妮塔	Bonita	2	
104003					1040	3	{name}				是呀…咦，等等，为什么粉丝们仍然聚在一起没散？而且…声势还越来越大？	是呀…咦，等等，为什么粉丝们仍然聚在一起没散？而且…声势还越来越大？	{name}	{name}	1	
104004					1040	4	1001				等一下，警笛声？怎么回事？	等一下，警笛声？怎么回事？	柏妮塔	Bonita	2	
104005					1040	5	1007				都散开！你们在这里弄这么大规模的宣传活动有没有报备？没报备就是非法集会，造成混乱是要负法律责任的！负责人在哪？跟我们回警局做记录！	都散开！你们在这里弄这么大规模的宣传活动有没有报备？没报备就是非法集会，造成混乱是要负法律责任的！负责人在哪？跟我们回警局做记录！	警察	警察	1	
104006					1040	6	1001				怎么…喂，等、等一下！	怎么…喂，等、等一下！	柏妮塔	Bonita	2	
104101	6	1128			1041	1	1001				{name}，你还好吗？	{name}，你还好吗？	柏妮塔	Bonita	1	
104102					1041	2	{name}				没什么大问题…	没什么大问题…	{name}	{name}	2	
104103					1041	3	1001				别逞强了，你的黑眼圈都快比得上中华国宝大熊猫啦。你都熬多少个通宵了？赶紧好好休息一下吧！	别逞强了，你的黑眼圈都快比得上中华国宝大熊猫啦。你都熬多少个通宵了？赶紧好好休息一下吧！	柏妮塔	Bonita	1	
104104					1041	4	{name}				诶。这次真是大意了，没想到他们会采用这种手段…这次风波让我们公司的名声受到了不小的损害。	诶。这次真是大意了，没想到他们会采用这种手段…这次风波让我们公司的名声受到了不小的损害。	{name}	{name}	2	
104105					1041	5	1001				玩阴招还真是像巨星影业能做出来的事。还好也不是完全无法挽回，我们的危机处理目前来看还是起到了一定成效的。	玩阴招还真是像巨星影业能做出来的事。还好也不是完全无法挽回，我们的危机处理目前来看还是起到了一定成效的。	柏妮塔	Bonita	1	
104106					1041	6	{name}				是啊，这次真是个教训。等着吧，总有一天我会堂堂正正靠实力把他们踩在脚下！	是啊，这次真是个教训。等着吧，总有一天我会堂堂正正靠实力把他们踩在脚下！	{name}	{name}	2	
104201	6	1129			1042	1	1005				很漂亮的一招呢，总裁先生。	很漂亮的一招呢，总裁先生。	简妮	Janine Opare	1	
104202					1042	2	1004				呵…算是一点小提醒，让他们别取得点小成就就自以为可以超越我。	呵…算是一点小提醒，让他们别取得点小成就就自以为可以超越我。	凯文	Kevin Huth	2	
104203					1042	3	1004				所以，你那边的准备如何？	所以，你那边的准备如何？	凯文	Kevin Huth	2	
104204					1042	4	1005				我想，是时候让我们的“间谍”发挥一下作用了~	我想，是时候让我们的“间谍”发挥一下作用了~	简妮	Janine Opare	1	
104301	6	1130			1043	1	1005				所以，目前{name}没有什么大动作，是吗？	所以，目前{name}没有什么大动作，是吗？	简妮	Janine Opare	1	
104302					1043	2	{actor}				对，之前那次公共危机事件让整个公司都焦头烂额了一段时间，原定的各项计划都有所延误。	对，之前那次公共危机事件让整个公司都焦头烂额了一段时间，原定的各项计划都有所延误。	{actor}	{actor}	2	
104303					1043	3	1005				意料之中呢。那么，关于宴会准备呢？	意料之中呢。那么，关于宴会准备呢？	简妮	Janine Opare	1	
104304					1043	4	{actor}				还在筹备中。不过我有注意到{name}最近好像经常外出去一家安保公司...	还在筹备中。不过我有注意到{name}最近好像经常外出去一家安保公司...	{actor}	{actor}	2	
104305					1043	5	1005				是吗？我知道了…辛苦了，我很快会再联系你的哦~	是吗？我知道了…辛苦了，我很快会再联系你的哦~	简妮	Janine Opare	1	
104401	6	1131			1044	1	{name}				你把情报给出去了吗？	你把情报给出去了吗？	{name}	{name}	1	
104402					1044	2	{actor}				是的，按照您说的那样。	是的，按照您说的那样。	{actor}	{actor}	2	
104403					1044	3	1001				我们给出这个情报的目的是？	我们给出这个情报的目的是？	柏妮塔	Bonita	1	
104404					1044	4	{name}				让他们知道我们确实为了这个宴会大费周章，这样他们更不可能不来，而且还要做好最充分的准备再来。	让他们知道我们确实为了这个宴会大费周章，这样他们更不可能不来，而且还要做好最充分的准备再来。	{name}	{name}	2	
104405					1044	5	1001				那么...我们的准备呢？足够充分吗？	那么...我们的准备呢？足够充分吗？	柏妮塔	Bonita	1	
104406					1044	6	{name}				你会看到的~	你会看到的~	{name}	{name}	2	
104501	6	1132			1045	1	1001				眼看着我们在本市的粉丝基础越来越加深了呢。	眼看着我们在本市的粉丝基础越来越加深了呢。	柏妮塔	Bonita	1	
104502					1045	2	{name}				是啊，这也意味着巨星影业会越来越把我们当作眼中钉了。我们一定要更加小心，别让之前那种事情再发生了。	是啊，这也意味着巨星影业会越来越把我们当作眼中钉了。我们一定要更加小心，别让之前那种事情再发生了。	{name}	{name}	2	
104503					1045	3	1001				是啊。眼下我们也确实没有什么办法能够彻底扳倒他们，毕竟他们跟我们真不是一个等级呢。	是啊。眼下我们也确实没有什么办法能够彻底扳倒他们，毕竟他们跟我们真不是一个等级呢。	柏妮塔	Bonita	1	
104504					1045	4	{name}				只是目前而已。我们一定会彻底打败他们的！	只是目前而已。我们一定会彻底打败他们的！	{name}	{name}	2	
104505					1045	5	1001				当然啦，让我们继续一起加油吧！	当然啦，让我们继续一起加油吧！	柏妮塔	Bonita	1	
104601	6	1133			1046	1	1005				简单来说，我们需要你去拿到几张额外的邀请函。	简单来说，我们需要你去拿到几张额外的邀请函。	简妮	Janine Opare	1	
104602					1046	2	{actor}				邀请函…你们想要做什么？	邀请函…你们想要做什么？	{actor}	{actor}	2	
104603					1046	3	1005				既然是在{name}的私宅举办的宴会，保全自然也会很严密吧？与其想办法偷偷进去，不如正大光明的受邀前往，不是吗~	既然是在{name}的私宅举办的宴会，保全自然也会很严密吧？与其想办法偷偷进去，不如正大光明的受邀前往，不是吗~	简妮	Janine Opare	1	
104604					1046	4	{actor}				好吧，我明白了…我会尽力看看的。	好吧，我明白了…我会尽力看看的。	{actor}	{actor}	2	
104701	6	1134			1047	1	{actor}				…就是这样，所以我们真的要把邀请函给出去吗？	…就是这样，所以我们真的要把邀请函给出去吗？	{actor}	{actor}	1	
104702					1047	2	{name}				当然。看来他们是打算趁着宴会人多眼杂对别墅进行彻底的搜查呢。	当然。看来他们是打算趁着宴会人多眼杂对别墅进行彻底的搜查呢。	{name}	{name}	2	
104703					1047	3	1001				这样不要紧吗？可想而知他们一定会派出最专业的人员吧。	这样不要紧吗？可想而知他们一定会派出最专业的人员吧。	柏妮塔	Bonita	1	
104704					1047	4	{name}				邀请函可以给他们，但是我们稍微动一点点手脚…做一个只有我们能看出来的标记。这样只要拿着这个邀请函的人出现，我们就可以锁定目标了。	邀请函可以给他们，但是我们稍微动一点点手脚…做一个只有我们能看出来的标记。这样只要拿着这个邀请函的人出现，我们就可以锁定目标了。	{name}	{name}	2	
104705					1047	5	1001				厉害！确实是个好主意呢，就这么办吧！	厉害！确实是个好主意呢，就这么办吧！	柏妮塔	Bonita	1	
104801	6	1135			1048	1	{name}				新奥尔良…提到这个名字，就想到烤翅呢。	新奥尔良…提到这个名字，就想到烤翅呢。	{name}	{name}	1	
104802					1048	2	1001				- - 我说你啊，好歹也是拿过小金人的影帝，能不能有点儿出息…	- - 我说你啊，好歹也是拿过小金人的影帝，能不能有点儿出息…	柏妮塔	Bonita	2	
104803					1048	3	{name}				我都很久没有好好吃一次KFC啦，要不今天我请客，我们去回味一下？	我都很久没有好好吃一次KFC啦，要不今天我请客，我们去回味一下？	{name}	{name}	1	
104804					1048	4	1001				服了你了，你还真有闲情逸致…	服了你了，你还真有闲情逸致…	柏妮塔	Bonita	2	
104805					1048	5	{name}				哈哈哈，现在这个阶段，我们能做的也只有静观其变了嘛~	哈哈哈，现在这个阶段，我们能做的也只有静观其变了嘛~	{name}	{name}	1	
