int	int	int	string	int	int	int	int	int	int	int[]	int[]	string
1144	1039	3	吉尔	2101	2	0	1201	0	0	1943;1907;1905;1909;1920	1602;1601	吉尔（主角），蕾切尔的丈夫，在得知了妻子的同性恋情后，请私家侦探取证，意图剥夺蕾切尔对女儿的抚养权。
1145	1039	4	瑞克	2104	2	0	0	0	0	1943;1907;1905;1902;1920	1603;1601	瑞克（配角），爱丽丝的男友，对爱丽丝的同性恋情并不太在意，认为只是爱丽丝一时迷惑的结果。
1146	1039	5	杰姆	2104	2	0	0	1402	0	1937;1930;1943;1907;1922	1603;1602	杰姆（配角），受雇调查取证爱丽丝与蕾切尔的恋情。
1147	1040	1	查尔斯	2101	2	0	1201	0	0	1915;1921;1928;1909;1935	1603;1602	查尔斯（主角），潇洒迷人、身价百万的企业巨头，但是麻烦的是总是搞不好和女人的关系。
1148	1040	2	莉莉	2101	2	0	0	1401	1501	1902;1903;1904;1932;1935	1601;1603	莉莉（主角），行为举止粗枝大叶的站街女，在和查尔斯相处的一星期内，以自己内心的单纯善良打动了查尔斯。
1149	1040	3	保罗	2104	2	0	0	0	0	1945;1920;1931;1943;1940	1603;1604	保罗（配角），查尔斯的助理，为查尔斯的生意出谋划策，是个贪婪狡诈的人。
1150	1041	1	卡尔	2101	2	0	1202	0	0	1945;1921;1902;1909;1931	1603;1602	卡尔（主角），因为意外而下肢瘫痪的高富帅，因为爱丽的出现而从阴郁变回了开朗善良。
1151	1041	2	爱丽	2101	2	0	0	0	0	1902;1904;1935;1903;1942	1603;1601	爱丽（主角），一个普通的小镇女孩，在照顾下肢瘫痪的富家子弟卡尔的过程中，与卡尔产生了爱情。
1152	1041	3	威廉	2104	2	0	0	0	0	1907;1928;1902;1903;1934	1603;1605	威廉（配角），长期照顾卡尔的另一位护工，开朗乐观。
1153	1042	1	艾许	2102	2	1102	0	1402	1502	1905;1922;1927;1915;1940	1601;1602	艾许（主角），传奇股票经纪人，有着无情的销售信条：卖出或者去死。后因欺诈被捕。
1154	1042	2	海莉	2103	1	1101	0	0	1501	1902;1903;1904;1932;1935	1603;1601	海莉（主角），艾许的第二任妻子，出生在英国的性感尤物，有着良好的品味追求。
1155	1042	3	乔	2104	2	0	1201	1401	0	1940;1903;1927;1930;1943	1601;1605	乔（配角），艾许的创业伙伴，认定艾许的赚钱手段后死心塌地地追随他。
1156	1042	4	麦克	2104	2	0	0	0	0	1910;1915;1940;1922;1945	1602;1601	麦克（配角），艾许任职的第一家公司老板，被艾许当成自己的精神导师。
1157	1043	1	娜莎	2103	1	1101	1201	1401	0	1902;1906;1904;1931;1930	1602;1604	娜莎（主角），只有舞蹈和职业目标的芭蕾舞演员，在海选中面临巨大的压力而崩溃。
1158	1043	2	米娅	2103	1	1101	0	0	1501	1902;1906;1904;1932;1903	1604;1602	米娅（主角），娜莎争夺第一候选人的强有力竞争者，舞技略逊但张力十足
1159	1043	3	文斯	2101	2	0	0	0	0	1910;1922;1927;1907;1921	1601;1604	文斯（主角），舞台剧导演，希望舞者即能表现白天鹅的无辜也要有黑天鹅的诡诈
1160	1043	4	海伦	2106	1	1101	1201	0	1502	1941;1906;1921;1931;1904	1602;1603	海伦（配角），自小就对娜莎进行严苛训练，因此也让娜莎无法突破心中的压抑。
1161	1043	5	妮娜	2106	1	1101	0	1401	1501	1902;1906;1932;1931;1904	1601;1602	妮娜（配角），舞团前任领舞者，在重排舞台剧时离开舞团。
1162	1044	1	简	2103	1	1101	0	0	1502	1902;1903;1932;1931;1930	1603;1604	简（主角），在宗教国家中被作为“信女”——生育机器而存在着，为了反抗和逃离，不停与她身边的人周旋。
1163	1044	2	弗兰克	2101	2	0	1202	1402	0	1912;1910;1922;1909;1941	1603;1602	弗兰克（主角），大主教、简的拥有者，在这个国度中是绝对权力与地位的代表。
1164	1044	3	艾琳	2106	1	1101	0	0	0	1902;1904;1932;1931;1930	1601;1603	艾琳（配角），弗兰克的法定妻子，但与弗兰克之间已经没有了感情，因此在对待简的态度上，变得神经质和暴躁。
1165	1044	4	马克	2101	2	0	0	0	0	1914;1920;1922;1920;1931	1602;1601	马克（配角），弗兰克的司机，与简产生了感情，也深度参与了简的反抗过程。
1166	1045	1	保罗	2101	2	0	0	0	0	1931;1945;1930;1921;1920	1602;1601	保罗（主角），被困在孤岛上的男人，因为一具漂流而来的尸体而放弃了自杀行为。
1167	1045	2	丹	2101	2	0	0	0	0	1913;1907;1917;1942;1930	1605;1603	丹（主角），作为一具死尸，可以放屁、喷口水、做鬼脸，几乎无所不能。
1168	1046	1	伊恩	2102	2	1102	0	1401	1501	1902;1903;1942;1928;1944	1601;1602	伊恩（主角），从叔叔手中继承了魔戒，不曾想却将自己卷入了一场事关世界的巨大动荡中。
1169	1046	2	甘度	2101	2	0	1202	1401	1502	1941;1922;1910;1921;1913	1603;1601	甘度（主角），这个世界最伟大的巫师之一，了解到魔戒的邪恶而与伊恩一起踏上了销毁魔戒的旅途。
1170	1046	3	奥尼尔	2101	2	1102	0	0	1501	1902;1904;1932;1926;1909	1601;1605	奥尼尔（主角），精灵族王子，拥有华美的面容和精准的射术，魔戒护送小队的成员之一。
1171	1046	4	卡莱布	2102	2	1102	0	0	1502	1926;1910;1919;1921;1931	1602;1603	卡莱布（主角），人类游侠，甘度的莫逆之交，因此决定舍命保护伊恩。
1172	1046	5	凯恩	2107	2	0	0	0	0	1923;1930;1920;1943;1926	1601;1602	凯恩（反派），魔戒的主人，为了重新获取能毁灭世界的力量而不断派出爪牙夺取魔戒。
1173	1047	1	詹姆	2101	2	0	0	0	0	1902;1944;1913;1909;1934	1603;1602	詹姆（主角），身世显赫的魔法少年，唯一在索命咒下生还的人，在进入魔法学院后学习如何对抗宿命中的敌人。
1174	1047	2	内森	2101	2	0	0	0	1501	1902;1944;1913;1917;1928	1602;1605	内森（主角），纯魔法师血统家族的孩子，家境一般，但依然开朗乐观，有时候还有些迷糊。
1175	1047	3	爱玛	2101	2	0	0	0	0	1902;1944;1913;1903;1922	1605;1603	爱玛（主角），出生于麻瓜家庭的孩子，但喜好钻研学术，有时显得独断专行
1176	1047	4	德克	2107	2	0	0	0	0	1923;1920;1913;1910;1911	1603;1601	德克（反派）， 史上最危险的黑魔法师，是杀害詹姆双亲的凶手
1177	1048	1	埃里克	2102	2	1102	1201	0	1501	1908;1945;1930;1938;1930	1603;1602	埃里克（主角），拥有通过笔记本就能回到过去的能力，为了改变和弥补自己的遗憾，而一次次地修改着过去。
1178	1048	2	珍妮	2103	1	1101	0	1402	1501	1902;1903;1932;1930;1935	1601;1603	珍妮（主角），埃里克的青梅竹马，最终却自杀身亡，这也导致了埃里克执着于修改过去。
1179	1048	3	汤姆	2104	2	0	1201	0	1501	1902;1930;1920;1911;1908	1602;1601	汤姆（配角），珍妮的弟弟，也是埃里克的死党，虐待狂，对姐姐有强烈的占有欲。
1180	1048	4	查理	2105	2	1102	0	0	1502	1941;1945;1911;1920;1930	1603;1605	查理（配角），珍妮和汤姆的继父，经常对继子继女施暴。
1181	1048	5	卡尔	2104	2	0	0	0	0	1939;1941;1922;1946;1931	1605;1603	卡尔（配角），建议埃里克养成写日记习惯的心理医生，也因此让埃里克发现了自己的能力。
1182	1049	1	迈克	2101	2	0	0	0	0	1913;1902;1907;1908;1921	1603;1605	迈克（主角），人到中年生活事业两失意，在一次冲击下，突然重返17岁。
1183	1049	2	内特	2104	2	0	0	0	0	1904;1932;1902;1940;1945	1602;1601	内特（配角），迈克的铁哥们，在迈克重返17岁后与迈克假扮父子。
1184	1050	1	亚瑟	2102	2	1102	1202	0	1501	1909;1910;1926;1945;1907	1601;1602	亚瑟（主角），父母被迫害而流落到民间的王国继承人，在了解到自己的身世后做出艰难的选择，开始反抗暴政。
1185	1050	2	摩根	2103	1	1101	0	1402	0	1902;1932;1904;1913;1946	1601;1603	摩根（主角），有着清冷寡言气质的魔法师，总是在亚瑟需要的时候给予帮助，是给非常好的引导者。
1186	1050	3	乌瑟	2104	2	0	0	0	0	1909;1910;1941;1921;1945	1602;1604	乌瑟（配角），亚瑟的生父，被自己的亲弟弟所杀害而王权旁落。
1187	1050	4	伏提庚	2107	2	0	1202	1402	0	1923;1943;1920;1930;1910	1603;1601	伏提庚（反派），权力熏心的暴君，为了权力而泯灭人性，与魔鬼交易来获得力量。
1188	1051	1	艾伦	2102	2	1102	1201	1401	1502	1906;1942;1929;1935;1930	1601;1602	艾伦（主角），拥有完整人类情感和残留的剪刀手的半成品机器人，经历了受欢迎到被驱逐的过程。
1189	1051	2	薇薇安	2103	1	1101	0	1402	1501	1902;1903;1904;1932;1931	1603;1601	薇薇安（主角），有着甜美笑容的美丽少女，从刚开始厌恶艾伦到被他的善良打动而喜欢上他。
1190	1051	3	弗兰克	2104	2	0	0	0	0	1922;1941;1921;1930;1946	1605;1601	弗兰吉（配角），独自生活在古堡中，将艾伦制造出的怪异博士。
1191	1051	4	佩吉	2106	1	1101	0	1402	1502	1903;1941;1932;1927;1921	1601;1605	佩吉（配角），薇薇安的母亲，将艾伦从古堡带到了人类世界中。
1192	1051	5	斯坦	2105	2	1102	0	1401	1501	1902;1907;1929;1931;1930	1603;1602	斯坦（配角），薇薇安的前男友，一直厌恶甚至嫉恨艾伦，最终被艾伦所杀。
1193	1052	1	本	2102	2	1102	1201	0	1502	1921;1931;1928;1935;1913	1603;1602	本（主角），一出生就有80岁老人的外表、他的成长线与常人相反，在他的一生中，目睹了悲剧也见证了人性的光辉。
1194	1052	2	凯瑟琳	2103	1	1101	0	1402	0	1902;1932;1904;1931;1935	1601;1604	凯瑟琳（主角），彻底改变本一生的第二个女人，两人初次相遇时只有6岁，而在成人后终于喜结连理。
1195	1052	3	莉娜	2104	2	0	0	0	0	1902;1932;1904;1922;1942	1602;1603	莉娜（配角），本和凯瑟琳的女儿，为了让她拥有正常的人生，在莉娜出生后不久，本决定离开。
1196	1052	4	巴克	2104	2	0	0	0	0	1930;1921;1920;1941;1945	1603;1605	巴克（配角），本的生父，因为无法忍受本一出生时的样貌，而选择遗弃了他。
1197	1052	5	玛莎	2104	2	0	1201	0	0	1928;1941;1921;1931;1907	1601;1602	玛莎（配角），疗养院的好心女佣，收养了本，并在随后的岁月里，对本不离不弃，是本生存下去的理由。
1198	1053	1	拉尔夫	2102	2	1102	0	0	0	1913;1907;1926;1934;1920	1601;1605	拉尔夫（主角），半吸血鬼，接受过最严苛的训练以对付最强大的吸血鬼王。
1199	1053	2	阿尔文	2104	2	0	0	0	0	1928;1922;1946;1927;1933	1603;1601	阿尔文（配角），训练拉尔夫并为他提供武器、注射免于变为吸血鬼的药物。
1200	1053	3	斯蒂芬	2107	2	0	0	0	0	1923;1913;1926;1930;1920	1601;1602	斯蒂芬（反派），试图用拉尔夫的血进行血祭，从而唤出那最恐怖的存在。
1201	1054	1	若叶	2102	2	1102	0	0	0	1902;1908;1913;1935;1903	1603;1602	若叶（主角），深山乡间小镇的女高中生，憧憬着都市生活，在梦中与莲互换身体。
1202	1054	2	莲	2103	1	1101	1203	0	0	1902;1908;1913;1935;1903	1601;1603	莲（主角），住在东京中心的男高中生，每天和朋友们愉快地度日。
1203	1054	3	四叶	2104	2	0	0	0	0	1902;1908;1942;1917;1903	1601;1602	四叶（配角），若叶的妹妹，可靠的小学四年级生，和祖母与姐姐一起帮忙神社的家业。
1204	1054	4	本田	2104	2	0	0	0	0	1902;1908;1922;1942;1903	1603;1605	本田（配角），莲的好友，外表冷淡却意外地爱照顾人。
1205	1054	5	结衣	2104	2	0	0	0	0	1902;1908;1932;1904;1931	1604;1603	结衣（配角），打扮漂亮的女大学生，是莲打工地方的前辈，十分体贴。
1206	1055	1	伊森	2102	2	1102	0	1402	0	1902;1946;1922;1928;1934	1601;1603	伊森（主角），大型企业中的首席血液学家，一直在寻找人血的替代品，当他遇见克劳迪娅后，取得了突破性的进展。
1207	1055	2	克劳迪娅	2101	2	0	0	0	0	1904;1902;1903;1932;1931	1605;1601	克劳迪娅（主角），地球上仅存的人类之一，找到了让吸血鬼变回人类的方法，并在伊森身上取得成功。
1208	1055	3	杰克	2105	2	1102	0	0	0	1907;1928;1926;1930;1934	1601;1602	杰克（配角），伊森的弟弟，在一次突袭行动中发现了伊森有些不对劲。
1209	1055	4	林肯	2107	2	0	1202	0	1502	1923;1915;1940;1943;1920	1602;1601	林肯（反派），伊森任职公司的老板，富可敌国，希望垄断血液替代品。
1210	1056	1	艾丽娅	2103	1	1101	0	0	0	1903;1902;1944;1938;1942	1602;1603	艾丽娅（主角），12岁的小女孩，实际上是奇幻王国失踪的公主，一个经历无数痛苦的天使。
1211	1056	2	潘	2101	2	0	0	0	0	1913;1907;1922;1921;1930	1601;1604	潘（主角），半人半羊的山林和畜牧之神，告诉艾丽娅如果要重回王国就必须在迷宫接受三个挑战。
1212	1056	3	汉斯	2107	2	1102	1202	0	0	1923;1949;1920;1930;1909	1601;1602	汉斯（反派），艾丽娅的继父，以折磨被抓来的异见人士为乐趣的法西斯军官。
1213	1057	1	凯恩	2102	2	1102	1201	1401	0	1909;1907;1926;1928;1931	1601;1603	凯恩（主角），决定卸甲归田的骑士，在路过被瘟疫摧残的小镇时，接下了护送女巫前往修道院接受审判的任务。
1214	1057	2	费尔	2102	2	1102	0	1401	1502	1909;1926;1934;1928;1921	1605;1601	费尔（主角），凯恩的搭档，更稳重老成，一同接下了护送女巫的任务。
1215	1057	3	女巫	2107	2	0	0	0	0	1923;1943;1902;1904;1930	1603;1602	女巫（反派），看起来清纯可人，实则可以蛊惑人心并使用强大的巫术。
1216	1058	1	丹妮	2101	2	0	0	1401	0	1902;1904;1913;1932;1910	1601;1602	丹妮（主角），银发紫眼，美貌异于常人，拥有传说中的龙的女人。
1217	1058	2	诺恩	2101	2	0	1202	0	0	1926;1910;1929;1931;1928	1601;1603	诺恩（主角），虽然是私生子，但得到了父亲的善待，集成了父亲家族的特征，一头褐发，黑色双眼。
1218	1058	3	杰姆	2101	2	0	0	0	0	1935;1926;1945;1909;1904	1602;1601	杰姆（主角），在篡夺者战争中背叛国王，将其杀死在铁王座下，世人送他“弑君者”的称号。
1219	1058	4	兰斯	2104	2	0	0	0	0	1904;1909;1910;1942;1935	1605;1601	兰斯（配角），经常佩戴一顶有金色鹿角的头盔，年轻英俊，有着超越性别的吸引力。
1220	1059	1	希瑟	2101	2	0	0	0	1501	1902;1903;1908;1922;1910	1603;1602	希瑟（主角），维京最勇猛族长的儿子，聪明过人，偶然间与一条受伤的黑龙成为了朋友。
1221	1059	2	莉丝	2104	2	0	0	0	0	1902;1903;1944;1918;1907	1604;1603	莉丝（配角），热情强悍又充满活力，是希瑟喜欢的人。
1222	1059	3	库洛	2101	2	0	0	0	0	1902;1917;1929;1934;1918	1603;1602	库洛（主角），只存在于传说中的龙，在受伤后与希瑟成为朋友，并且一起对抗了天大的危机。
1223	1059	4	瑞达斯	2107	2	0	0	0	0	1923;1930;1943;1907;1920	1603;1601	瑞达斯（反派），体型巨大，凶残恐怖，针对希瑟的部族发动了最致命的攻击。
1224	1060	1	伍德	2102	2	1102	1201	1401	0	1902;1903;1910;1928;1931	1602;1603	伍德（主角），老式提线玩偶，一位牛仔警长，所有玩具的领袖，
1225	1060	2	巴克	2102	2	1102	0	1402	1501	1902;1907;1928;1926;1931	1601;1602	巴克（主角），最新式的宇宙英雄玩具，但在了解到自己的真实定位后变得消沉。
1226	1060	3	小主人	2105	2	1102	1201	0	0	1902;1903;1908;1928;1942	1603;1604	小主人（配角），有着很多玩具的小男孩，同时有非常爱护自己的玩具。
1227	1060	4	汤姆	2104	2	0	0	0	0	1926;1930;1920;1929;1917	1601;1603	汤姆（配角），杰森的宠物狗，与杰森一起试图虐待伍德和巴克。
1228	1060	5	杰森	2107	2	1102	0	0	1501	1923;1902;1930;1920;1943	1602;1605	杰森（反派），住在隔壁的玩具虐待狂，在意外捡到伍德和巴克后，对他们伸出了魔掌。
1229	1061	1	亚当	2102	2	1102	1201	1401	1502	1941;1931;1921;1934;1930	1603;1602	亚当（主角），生性胆小懦弱的小丑鱼，非常深爱自己的儿子莫尼。
1230	1061	2	莫尼	2102	2	1102	0	1402	1501	1902;1903;1942;1931;1944	1601;1603	莫尼（主角），亚当最后的儿子，深爱冒险，调皮又顽强。
1231	1061	3	卡莉	2103	1	1101	0	1402	1501	1902;1942;1903;1938;1928	1602;1605	卡莉（主角），有着短期记忆丧失症的蓝唐王鱼，在亚当寻找儿子的旅途中遇到的朋友和帮手。
1232	1061	4	比利	2104	2	0	0	0	0	1902;1944;1942;1903;1908	1603;1601	比利（配角），有着热心肠的人类小孩，试图帮助莫尼回到属于自己的家园。
1233	1062	1	麦克	2101	2	0	1201	1402	1501	1902;1903;1907;1924;1904	1601;1602	麦克（主角），天赋异禀的新人赛车，在他脑中只有夺冠以及随之而来的一切，当迷路在一个小镇后，他结识了一帮新朋友，也开始重新考虑自己的理想。
1234	1062	2	哈维	2101	2	0	1201	1401	0	1941;1922;1921;1924;1910	1603;1601	哈维（主角），表面是小镇的医生，但实际上有着令人咋舌的身份，深受小镇人们的尊敬和爱戴。
1235	1062	3	牙刷	2104	2	0	0	0	0	1902;1903;1928;1917;1942	1601;1605	牙刷（配角），心胸宽广的拖车，虽有一点迟钝但总乐于助人，是麦克的第一个朋友，也是最好的朋友。
1236	1063	1	伊芙琳	2103	1	1101	1201	0	0	1902;1903;1907;1904;1926	1601;1602	伊芙琳（主角），迫于生活而练就了一手好箭术，自愿代替妹妹成为“贡品”。
1237	1063	2	乔伊	2101	2	0	0	0	0	1902;1935;1928;1926;1907	1601;1603	乔伊（主角），在游戏中对伊芙琳表白，从而令游戏走向完全无法预知的方向
1238	1063	3	爱丽	2104	2	0	0	0	0	1902;1903;1942;1944;1931	1605;1601	爱丽（配角）， 伊芙琳的妹妹，不幸在抽签时被选中作为“贡品”，在被姐姐自愿代替后，留在家中。
1239	1063	4	尼克	2104	2	0	0	0	0	1902;1904;1935;1910;1911	1602;1601	尼克（配角），外形俊朗，在伊芙琳参加游戏后主动承担起照顾她家人的任务。
1240	1064	1	卡森	2102	2	1102	0	0	1502	1921;1935;1931;1941;1930	1603;1601	卡森（主角），一位退休的气球推销员，为了履行多年前对已故妻子作出的承诺，用气球绑住自己的屋子向着南美飞去。
1241	1064	2	比利	2101	2	0	0	0	0	1902;1903;1942;1944;1908	1603;1602	比利（主角），过度热情、不停说话的8岁少年，为了帮助卡森而偷渡进他的小屋，与卡森一同开始冒险。
1242	1065	1	斯派罗	2102	2	1102	0	1402	0	1918;1917;1905;1930;1926	1602;1604	斯派罗（主角），放浪不羁亦正亦邪的流浪海盗，在历经千难万险后，夺回被抢走的“黑曜石”号海盗船。
1243	1065	2	凯拉	2103	1	1101	0	0	1501	1918;1904;1903;1932;1903	1603;1602	凯拉（主角），生长在军官之家，但一心向往着海盗生活，深爱着青梅竹马的布兰。
1244	1065	3	布兰	2104	2	0	0	0	1501	1918;1935;1926;1934;1907	1605;1601	布兰（配角），虽然痛恨海盗，但还是与斯派罗一起抢劫了最快的军舰去拯救自己深爱的凯拉。
1245	1065	4	克劳斯	2104	2	0	0	0	0	1949;1909;1941;1940;1921	1601;1603	克劳斯（配角），英国总督，凯拉的父亲，将凯拉许配给英国皇家军官。
1246	1065	5	杰弗瑞	2107	2	0	0	0	1502	1918;1943;1923;1920;1930	1602;1601	杰弗瑞（反派），作恶多端的海盗头目，由于想解开魔咒金币的秘密而受到诅咒，后来绑架了凯拉。
1247	1066	1	利尔曼	2102	2	1102	0	1401	0	1928;1935;1931;1934;1917	1602;1603	利尔曼（主角），从出生起就被安排在一场大型真人秀中生活，除了自己以外，全世界所有人都在配合或观看着他的生活。
1248	1066	2	丽莎	2103	1	1101	0	0	1501	1935;1902;1932;1931;1904	1601;1602	丽莎（主角），利尔曼生活的世界中的一名群众演员，因为违背了导演的意愿而被强制消失，也成为了利尔曼追寻真相的导火索。
1249	1066	3	杰克	2104	2	0	0	0	0	1927;1907;1928;1943;1902	1603;1605	杰克（配角），真人秀中利尔曼的“父亲”，本在利尔曼小时候就“死亡”了，却不慎又与利尔曼相遇。
1250	1066	4	瑞克	2104	2	0	1201	0	0	1941;1921;1920;1931;1945	1602;1601	瑞克（配角），利尔曼的邻居，总说些奇怪的、不着边际的话，使得利尔曼更怀疑自己生活的世界。
1251	1067	1	米娅	2103	1	1101	1201	1402	1501	1926;1938;1902;1904;1932	1601;1602	米娅（主角），伴随着失忆与特遣队一起进入蜂巢关闭黑色女王，在过程中渐渐找回记忆。
1252	1067	2	克里斯	2102	2	1102	1201	1401	1502	1943;1926;1930;1938;1907	1603;1601	克里斯（主角），晴雨伞公司的工作人员，掌握着这次危机的秘密。
1253	1067	3	克莱尔	2104	2	0	0	0	0	1907;1926;1934;1919;1910	1601;1602	克莱尔（配角），特种小队队长，作风强硬，带领小队和米娅一行向着蜂巢深处进发。
1254	1067	4	汉克	2105	2	1102	0	1401	0	1907;1934;1928;1903;1931	1601;1605	汉克（配角），伪装成警察的神秘男子，其实是某工作人员的哥哥，为了拯救自己的妹妹而潜入蜂巢。
1255	1068	1	沃尔特	2101	2	0	0	0	0	1926;1917;1930;1913;1919	1601;1605	沃尔特（主角），因为希望摆脱癌症从而加入改造计划，获得了快速自愈能力的前特种兵。
1256	1068	2	莎拉	2104	2	0	0	0	0	1902;1932;1935;1904;1928	1602;1603	莎拉（配角），沃尔特的女友，在沃尔特离开后被斯坦绑架以要挟沃尔特。
1257	1068	3	格兰特	2104	2	0	0	0	0	1913;1902;1903;1908;1926	1602;1601	格兰特（配角），沃尔特的死党兼军火经销商，同时还是佣兵酒吧的老板以及情报掮客。
1258	1068	4	斯坦	2107	2	0	0	0	0	1919;1934;1907;1923;1926	1605;1601	斯坦（反派），在沃尔特参与改造计划时疯狂折磨过沃尔特，并且最终绑架了莎拉。
1259	1069	1	尼克	2102	2	1102	1201	1401	1502	1907;1926;1901;1934;1928	1602;1601	尼克（主角），海豹突击队队员，在伊拉克执行任务时误入古埃及公主的坟墓，为了逃出生天而历经磨难。
1260	1069	2	泰森	2103	1	1101	1202	0	0	1902;1903;1935;1946;1932	1605;1602	泰森（主角），通过智慧探寻木乃伊公主秘密的考古学家，与尼克一起展开了正义与邪恶的生死较量。
1261	1069	3	汤姆森	2104	2	0	0	0	0	1943;1910;1915;1940;1946	1601;1603	汤姆森（配角），一个专门研究神话与怪物的组织的领导人，妄图获取木乃伊公主的力量。
1262	1069	4	阿丽莎	2107	1	1101	0	1402	1501	1923;1909;1920;1930;1943	1602;1603	阿丽莎（反派），曾怀着满腔愤恨死去的古埃及公主，被复活后决定利用自己的黑暗力量重新打造世界。
1263	1070	1	艾薇	2101	2	0	0	0	1501	1904;1932;1902;1942;1935	1602;1603	艾薇（主角），父母被迫害致死的异见人士，在遇到A以前是个普通人，遇见A以后改变了一切。
1264	1070	2	A	2101	2	0	0	0	1502	1920;1934;1926;1916;1922	1601;1602	A（主角），神秘怪人，策划周密身手敏捷，力图推翻专制政府同时推动激烈私人复仇的自由斗士。
1265	1070	3	卢卡斯	2104	2	0	0	0	0	1914;1920;1930;1922;1926	1602;1604	卢卡斯（配角），秘密警察，政府的走狗，在盘问并意图逮捕艾薇时被A阻止。
1266	1070	4	哈特勒	2107	2	0	0	0	0	1949;1910;1943;1923;1920	1603;1602	哈特勒（反派），通过一系列阴谋成为实际上的独裁者，残暴地统治人民。
1267	1071	1	卡尔	2101	2	0	1202	0	0	1926;1907;1934;1911;1913	1603;1601	卡尔（主角），生活在宗教法庭时期一位刺客的后裔，因为这重身份而被选中参与一场奇特的冒险。
1268	1071	2	露西	2101	2	0	0	0	0	1902;1932;1935;1922;1946	1602;1603	露西（主角），圣殿骑士的科研人员，希望通过破解人类DNA图谱而修正人类的暴力行为。
1269	1071	3	阿里	2104	2	0	0	0	0	1907;1934;1926;1937;1911	1603;1602	阿里（配角），卡尔的父亲，在一次失手中杀了自己的妻子，从此在年幼的卡尔心中埋下了暴力的阴影。
1270	1071	4	卢克	2107	2	0	0	0	0	1923;1943;1930;1910;1915	1603;1605	卢克（反派），意图通过操纵卡尔获取能够控制人类意志的伊甸苹果，从而走上人生巅峰。
1271	1072	1	贾格尔	2102	2	1102	0	0	1501	1902;1903;1942;1928;1931	1603;1602	贾格尔（主角），出生于整个家族都讨厌音乐的鞋匠家庭，却自小有着音乐梦。
1272	1072	2	贝克	2102	2	0	1201	1401	1502	1921;1941;1945;1917;1906	1603;1604	贝克（主角），亡灵之地的流浪汉，试图回到活人的世界，以期让自己的家人依然能祭奠自己。
1273	1072	3	娜娜	2104	2	0	0	0	0	1941;1921;1928;1945;1931	1604;1603	娜娜（配角），贾格尔的太奶奶，神志不清的老奶奶，却从未忘记自己失踪的父亲。
1274	1072	4	德拉科	2107	2	1102	0	1402	1502	1923;1911;1943;1930;1920	1601;1603	德拉科（反派），生前是传奇音乐家，被贾格尔认为是他的高祖父，而实际上，正是他设计害死了贾格尔的高祖父。
1275	1073	1	兔子简	2101	2	0	0	0	1501	1902;1914;1926;1903;1928	1601;1602	兔子简（主角），乐观外向偶尔急性子，凭借过人胆识发现一起失踪案背后的阴谋。
1276	1073	2	狐狸麦克	2101	2	0	0	0	1501	1922;1911;1917;1931;1903	1603;1605	狐狸麦克（主角），以坑蒙拐骗为生的狐狸，实际上充满正义感与胆识。
1277	1073	3	海狸先生	2104	2	0	0	0	0	1938;1941;1930;1907;1945	1602;1601	海狸先生（配角），在失忆后变得非常具有攻击性，也是揭开一切罪恶的关键线索。
1278	1073	4	梅花鹿副市长	2107	2	0	0	0	0	1922;1949;1923;1943;1911	1601;1603	梅花鹿副市长（反派），看上去人畜无害，甜美胆小，实际上非常腹黑，是一切阴谋背后的主使。
1279	1074	1	雷奥	2101	2	0	0	1402	0	1902;1903;1935;1944;1942	1602;1603	雷奥（主角），13岁的小男孩，如影随形地跟随、窥视着玛丽娜的生活，幻想着美好的、与玛丽娜在一起的生活。
1280	1074	2	玛丽娜	2101	2	0	1202	0	0	1904;1932;1902;1931;1930	1604;1602	玛丽娜（主角），时髦，性感，一举一动都叫男人心醉、女人羡妒，然而最终却掉进了黑暗的处境中。
1281	1074	3	汉考克	2107	2	0	0	0	0	1923;1943;1930;1911;1920	1602;1601	汉考克（反派），卑鄙下流，在玛丽娜失去所有的时候，更进一步的将她推向了深渊。
1282	1075	1	安妮	2103	1	1101	1201	0	1502	1910;1941;1930;1904;1932	1602;1601	安妮（主角），初入职场的菜鸟，在苛刻无比的环境中历练成长，却最终发现自己不喜欢这样的工作节奏。
1283	1075	2	温特尔	2103	1	1101	1201	1402	0	1902;1903;1904;1932;1931	1602;1603	温特尔（主角），顶级杂志社主编，追求完美、尖酸刻薄，是让人望而却步的工作狂、女王。
1284	1075	3	奈特	2104	2	0	0	0	0	1902;1943;1945;1904;1932	1603;1605	奈特（配角），温特尔的第一秘书，自以为是，处处刁难安妮。
1285	1076	1	查理	2102	2	1102	1201	1401	1501	1902;1922;1931;1908;1945	1602;1601	查理（主角），有着惊人数学天分的清洁工，但是个问题少年，最终在教授、心理医生和死党的帮助下把心灵打开。
1286	1076	2	罗伯特	2102	2	1102	0	1401	1502	1941;1922;1921;1933;1946	1603;1602	罗伯特（主角），心理医生，由于他的努力，查理才能解开心结，而他自己也在工作中找到了人生的意义。
1287	1076	3	斯黛拉	2103	1	1101	0	1402	1501	1902;1908;1904;1935;1932	1601;1602	斯黛拉（主角），年轻漂亮的大学高材生，最终与敞开心扉的查理在一起。
1288	1076	4	肯纳	2105	2	1102	1201	0	1502	1941;1922;1933;1946;1931	1602;1605	肯纳（配角），发现了查理天分的数学教授，也帮助他寻找心理医生治疗。
