int	int	string	int	string	int	int[]	int	DTItemNum[]	int	int[]	int[]	int
30033	3	大卖	6025	州省3档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	138;144	2640000
30034	4	超级大卖	6026	州省3档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	161;168	2880000
30035	5	传奇	6027	州省3档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	184;192	3120000
30036	6	神话	6028	州省3档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	207;216	3360000
30041	1	一般	6023	州省4档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	48;50	84000
30042	2	良好	6024	州省4档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	72;75	336000
30043	3	大卖	6025	州省4档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	144;150	2772000
30044	4	超级大卖	6026	州省4档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	168;175	3024000
30045	5	传奇	6027	州省4档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	192;200	3276000
30046	6	神话	6028	州省4档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	216;225	3528000
30051	1	一般	6023	州省5档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	50;52	88000
30052	2	良好	6024	州省5档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	75;78	352000
30053	3	大卖	6025	州省5档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	150;156	2904000
30054	4	超级大卖	6026	州省5档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	175;182	3168000
30055	5	传奇	6027	州省5档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	200;208	3432000
30056	6	神话	6028	州省5档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	225;234	3696000
30061	1	一般	6023	州省6档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	52;54	92000
30062	2	良好	6024	州省6档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	78;81	368000
30063	3	大卖	6025	州省6档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	156;162	3312000
30064	4	超级大卖	6026	州省6档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	182;189	3588000
30065	5	传奇	6027	州省6档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	208;216	3864000
30066	6	神话	6028	州省6档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	234;243	4140000
30071	1	一般	6023	州省7档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	54;56	96000
30072	2	良好	6024	州省7档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	81;84	384000
30073	3	大卖	6025	州省7档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	162;168	3456000
30074	4	超级大卖	6026	州省7档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	189;196	3744000
30075	5	传奇	6027	州省7档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	216;224	4032000
30076	6	神话	6028	州省7档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	243;252	4320000
30081	1	一般	6023	州省8档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	56;58	100000
30082	2	良好	6024	州省8档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	84;87	400000
30083	3	大卖	6025	州省8档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	168;174	3600000
30084	4	超级大卖	6026	州省8档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	196;203	3900000
30085	5	传奇	6027	州省8档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	224;232	4200000
30086	6	神话	6028	州省8档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	252;261	4500000
30091	1	一般	6023	州省9档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	58;60	104000
30092	2	良好	6024	州省9档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	87;90	416000
30093	3	大卖	6025	州省9档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	174;180	3744000
30094	4	超级大卖	6026	州省9档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	203;210	4056000
30095	5	传奇	6027	州省9档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	232;240	4368000
30096	6	神话	6028	州省9档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	261;270	4680000
30101	1	一般	6023	州省10档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	60;62	108000
30102	2	良好	6024	州省10档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	90;93	432000
30103	3	大卖	6025	州省10档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	180;186	3888000
30104	4	超级大卖	6026	州省10档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	210;217	4212000
30105	5	传奇	6027	州省10档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	240;248	4536000
30106	6	神话	6028	州省10档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	270;279	4860000
40011	1	一般	6023	国家1档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	62;64	112000
40012	2	良好	6024	国家1档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	93;96	560000
40013	3	大卖	6025	国家1档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	186;192	4368000
40014	4	超级大卖	6026	国家1档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	217;224	4704000
40015	5	传奇	6027	国家1档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	248;256	5040000
40016	6	神话	6028	国家1档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	279;288	5376000
40021	1	一般	6023	国家2档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	64;66	116000
40022	2	良好	6024	国家2档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	96;99	580000
40023	3	大卖	6025	国家2档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	192;198	4524000
40024	4	超级大卖	6026	国家2档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	224;231	4872000
40025	5	传奇	6027	国家2档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	256;264	5220000
40026	6	神话	6028	国家2档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	288;297	5568000
40031	1	一般	6023	国家3档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	66;68	120000
40032	2	良好	6024	国家3档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	99;102	600000
40033	3	大卖	6025	国家3档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	198;204	4680000
40034	4	超级大卖	6026	国家3档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	231;238	5040000
40035	5	传奇	6027	国家3档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	264;272	5400000
40036	6	神话	6028	国家3档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	297;306	5760000
40041	1	一般	6023	国家4档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	68;70	124000
40042	2	良好	6024	国家4档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	102;105	620000
40043	3	大卖	6025	国家4档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	204;210	4836000
40044	4	超级大卖	6026	国家4档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	238;245	5208000
40045	5	传奇	6027	国家4档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	272;280	5580000
40046	6	神话	6028	国家4档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	306;315	5952000
40051	1	一般	6023	国家5档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	70;72	128000
40052	2	良好	6024	国家5档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	105;108	640000
40053	3	大卖	6025	国家5档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	210;216	4992000
40054	4	超级大卖	6026	国家5档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	245;252	5376000
40055	5	传奇	6027	国家5档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	280;288	5760000
40056	6	神话	6028	国家5档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	315;324	6144000
40061	1	一般	6023	国家6档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	72;74	132000
40062	2	良好	6024	国家6档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	108;111	660000
40063	3	大卖	6025	国家6档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	216;222	5148000
40064	4	超级大卖	6026	国家6档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	252;259	5544000
40065	5	传奇	6027	国家6档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	288;296	5940000
40066	6	神话	6028	国家6档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	324;333	6336000
40071	1	一般	6023	国家7档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	74;76	136000
40072	2	良好	6024	国家7档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	111;114	680000
40073	3	大卖	6025	国家7档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	222;228	5304000
40074	4	超级大卖	6026	国家7档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	259;266	5712000
40075	5	传奇	6027	国家7档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	296;304	6120000
40076	6	神话	6028	国家7档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	333;342	6528000
40081	1	一般	6023	国家8档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	76;78	140000
40082	2	良好	6024	国家8档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	114;117	700000
40083	3	大卖	6025	国家8档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	228;234	5460000
40084	4	超级大卖	6026	国家8档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	266;273	5880000
40085	5	传奇	6027	国家8档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	304;312	6300000
40086	6	神话	6028	国家8档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	342;351	6720000
40091	1	一般	6023	国家9档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	78;80	144000
40092	2	良好	6024	国家9档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	117;120	720000
40093	3	大卖	6025	国家9档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	234;240	5616000
40094	4	超级大卖	6026	国家9档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	273;280	6048000
40095	5	传奇	6027	国家9档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	312;320	6480000
40096	6	神话	6028	国家9档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	351;360	6912000
40101	1	一般	6023	国家10档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	80;82	148000
40102	2	良好	6024	国家10档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	120;123	740000
40103	3	大卖	6025	国家10档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	240;246	5772000
40104	4	超级大卖	6026	国家10档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	280;287	6216000
40105	5	传奇	6027	国家10档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	320;328	6660000
40106	6	神话	6028	国家10档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	360;369	7104000
50011	1	一般	6023	世界1档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	82;84	152000
50012	2	良好	6024	世界1档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	123;126	912000
50013	3	大卖	6025	世界1档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	246;252	6384000
50014	4	超级大卖	6026	世界1档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	287;294	6840000
50015	5	传奇	6027	世界1档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	328;336	7296000
50016	6	神话	6028	世界1档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	369;378	7904000
50021	1	一般	6023	世界2档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	84;86	156000
50022	2	良好	6024	世界2档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	126;129	936000
50023	3	大卖	6025	世界2档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	252;258	6552000
50024	4	超级大卖	6026	世界2档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	294;301	7020000
50025	5	传奇	6027	世界2档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	336;344	7488000
50026	6	神话	6028	世界2档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	378;387	8112000
50031	1	一般	6023	世界3档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	86;88	160000
50032	2	良好	6024	世界3档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	129;132	960000
50033	3	大卖	6025	世界3档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	258;264	6720000
50034	4	超级大卖	6026	世界3档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	301;308	7200000
50035	5	传奇	6027	世界3档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	344;352	7680000
50036	6	神话	6028	世界3档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	387;396	8320000
50041	1	一般	6023	世界4档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	88;90	164000
50042	2	良好	6024	世界4档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	132;135	984000
50043	3	大卖	6025	世界4档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	264;270	6888000
50044	4	超级大卖	6026	世界4档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	308;315	7380000
50045	5	传奇	6027	世界4档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	352;360	7872000
50046	6	神话	6028	世界4档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	396;405	8528000
50051	1	一般	6023	世界5档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	90;92	168000
50052	2	良好	6024	世界5档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	135;138	1008000
50053	3	大卖	6025	世界5档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	270;276	7056000
