int	int	int	int	string
301042	42	480	380	
301043	43	535	380	
301044	44	535	400	
301100	0	10	30	
301101	1	10	30	
301102	2	10	30	
301103	3	25	30	
301104	4	25	30	
301105	5	25	30	
301106	6	40	60	
301107	7	40	60	
301108	8	40	60	
301109	9	60	80	
301110	10	60	80	
301111	11	60	80	
301112	12	80	100	
301113	13	80	100	
301114	14	80	100	
301115	15	105	120	
301116	16	105	120	
301117	17	105	120	
301118	18	130	140	
301119	19	130	140	
301120	20	130	160	
301121	21	160	160	
301122	22	160	180	
301123	23	160	180	
301124	24	195	200	
301125	25	195	200	
301126	26	195	220	
301127	27	235	220	
301128	28	235	240	
301129	29	235	240	
301130	30	280	260	
301131	31	280	260	
301132	32	280	280	
301133	33	310	280	
301134	34	310	300	
301135	35	345	300	
301136	36	345	320	
301137	37	385	320	
301138	38	385	340	
301139	39	430	340	
301140	40	430	360	
301141	41	480	360	
301142	42	480	380	
301143	43	535	380	
301144	44	535	400	
301200	0	10	30	
301201	1	10	30	
301202	2	10	30	
301203	3	25	30	
301204	4	25	30	
301205	5	25	30	
301206	6	40	60	
301207	7	40	60	
301208	8	40	60	
301209	9	60	80	
301210	10	60	80	
301211	11	60	80	
301212	12	80	100	
301213	13	80	100	
301214	14	80	100	
301215	15	105	120	
301216	16	105	120	
301217	17	105	120	
301218	18	130	140	
301219	19	130	140	
301220	20	130	160	
301221	21	160	160	
301222	22	160	180	
301223	23	160	180	
301224	24	195	200	
301225	25	195	200	
301226	26	195	220	
301227	27	235	220	
301228	28	235	240	
301229	29	235	240	
301230	30	280	260	
301231	31	280	260	
301232	32	280	280	
301233	33	310	280	
301234	34	310	300	
301235	35	345	300	
301236	36	345	320	
301237	37	385	320	
301238	38	385	340	
301239	39	430	340	
301240	40	430	360	
301241	41	480	360	
301242	42	480	380	
301243	43	535	380	
301244	44	535	400	
301300	0	10	30	
301301	1	10	30	
301302	2	10	30	
301303	3	25	30	
301304	4	25	30	
301305	5	25	30	
301306	6	40	60	
301307	7	40	60	
301308	8	40	60	
301309	9	60	80	
301310	10	60	80	
301311	11	60	80	
301312	12	80	100	
301313	13	80	100	
301314	14	80	100	
301315	15	105	120	
301316	16	105	120	
301317	17	105	120	
301318	18	130	140	
301319	19	130	140	
301320	20	130	160	
301321	21	160	160	
301322	22	160	180	
301323	23	160	180	
301324	24	195	200	
301325	25	195	200	
301326	26	195	220	
301327	27	235	220	
301328	28	235	240	
301329	29	235	240	
301330	30	280	260	
301331	31	280	260	
301332	32	280	280	
301333	33	310	280	
301334	34	310	300	
301335	35	345	300	
301336	36	345	320	
301337	37	385	320	
301338	38	385	340	
301339	39	430	340	
301340	40	430	360	
301341	41	480	360	
301342	42	480	380	
301343	43	535	380	
301344	44	535	400	
301400	0	10	30	
301401	1	10	30	
301402	2	10	30	
301403	3	25	30	
301404	4	25	30	
301405	5	25	30	
301406	6	40	60	
301407	7	40	60	
301408	8	40	60	
301409	9	60	80	
301410	10	60	80	
301411	11	60	80	
301412	12	80	100	
301413	13	80	100	
301414	14	80	100	
301415	15	105	120	
301416	16	105	120	
301417	17	105	120	
301418	18	130	140	
301419	19	130	140	
301420	20	130	160	
301421	21	160	160	
301422	22	160	180	
301423	23	160	180	
301424	24	195	200	
301425	25	195	200	
301426	26	195	220	
301427	27	235	220	
301428	28	235	240	
301429	29	235	240	
301430	30	280	260	
301431	31	280	260	
301432	32	280	280	
301433	33	310	280	
301434	34	310	300	
301435	35	345	300	
301436	36	345	320	
301437	37	385	320	
301438	38	385	340	
301439	39	430	340	
301440	40	430	360	
301441	41	480	360	
301442	42	480	380	
301443	43	535	380	
301444	44	535	400	
301500	0	10	30	
301501	1	10	30	
301502	2	10	30	
301503	3	25	30	
301504	4	25	30	
301505	5	25	30	
301506	6	40	60	
301507	7	40	60	
301508	8	40	60	
301509	9	60	80	
301510	10	60	80	
301511	11	60	80	
301512	12	80	100	
301513	13	80	100	
301514	14	80	100	
301515	15	105	120	
301516	16	105	120	
301517	17	105	120	
301518	18	130	140	
301519	19	130	140	
301520	20	130	160	
301521	21	160	160	
301522	22	160	180	
301523	23	160	180	
301524	24	195	200	
301525	25	195	200	
301526	26	195	220	
301527	27	235	220	
301528	28	235	240	
301529	29	235	240	
301530	30	280	260	
301531	31	280	260	
301532	32	280	280	
301533	33	310	280	
301534	34	310	300	
301535	35	345	300	
301536	36	345	320	
301537	37	385	320	
301538	38	385	340	
301539	39	430	340	
301540	40	430	360	
301541	41	480	360	
301542	42	480	380	
301543	43	535	380	
301544	44	535	400	
301600	0	10	30	
301601	1	10	30	
301602	2	10	30	
301603	3	25	30	
301604	4	25	30	
301605	5	25	30	
301606	6	40	60	
301607	7	40	60	
301608	8	40	60	
301609	9	60	80	
301610	10	60	80	
301611	11	60	80	
301612	12	80	100	
301613	13	80	100	
301614	14	80	100	
301615	15	105	120	
301616	16	105	120	
301617	17	105	120	
301618	18	130	140	
301619	19	130	140	
301620	20	130	160	
301621	21	160	160	
301622	22	160	180	
301623	23	160	180	
301624	24	195	200	
301625	25	195	200	
301626	26	195	220	
301627	27	235	220	
301628	28	235	240	
301629	29	235	240	
301630	30	280	260	
301631	31	280	260	
301632	32	280	280	
301633	33	310	280	
301634	34	310	300	
301635	35	345	300	
301636	36	345	320	
301637	37	385	320	
301638	38	385	340	
301639	39	430	340	
301640	40	430	360	
301641	41	480	360	
301642	42	480	380	
301643	43	535	380	
301644	44	535	400	
301700	0	10	30	
301701	1	10	30	
301702	2	10	30	
301703	3	25	30	
301704	4	25	30	
301705	5	25	30	
301706	6	40	60	
301707	7	40	60	
301708	8	40	60	
301709	9	60	80	
301710	10	60	80	
301711	11	60	80	
301712	12	80	100	
301713	13	80	100	
301714	14	80	100	
301715	15	105	120	
301716	16	105	120	
301717	17	105	120	
301718	18	130	140	
301719	19	130	140	
301720	20	130	160	
301721	21	160	160	
301722	22	160	180	
301723	23	160	180	
301724	24	195	200	
301725	25	195	200	
301726	26	195	220	
301727	27	235	220	
301728	28	235	240	
301729	29	235	240	
301730	30	280	260	
301731	31	280	260	
301732	32	280	280	
301733	33	310	280	
301734	34	310	300	
301735	35	345	300	
301736	36	345	320	
301737	37	385	320	
301738	38	385	340	
301739	39	430	340	
301740	40	430	360	
301741	41	480	360	
301742	42	480	380	
301743	43	535	380	
301744	44	535	400	
301800	0	10	30	
301801	1	10	30	
301802	2	10	30	
301803	3	25	30	
301804	4	25	30	
301805	5	25	30	
301806	6	40	60	
301807	7	40	60	
301808	8	40	60	
301809	9	60	80	
301810	10	60	80	
301811	11	60	80	
301812	12	80	100	
301813	13	80	100	
301814	14	80	100	
301815	15	105	120	
301816	16	105	120	
301817	17	105	120	
301818	18	130	140	
301819	19	130	140	
301820	20	130	160	
301821	21	160	160	
301822	22	160	180	
301823	23	160	180	
301824	24	195	200	
301825	25	195	200	
301826	26	195	220	
301827	27	235	220	
301828	28	235	240	
301829	29	235	240	
301830	30	280	260	
301831	31	280	260	
301832	32	280	280	
301833	33	310	280	
301834	34	310	300	
301835	35	345	300	
301836	36	345	320	
301837	37	385	320	
301838	38	385	340	
301839	39	430	340	
301840	40	430	360	
301841	41	480	360	
301842	42	480	380	
301843	43	535	380	
301844	44	535	400	
400100	0	10	30	
400101	1	10	30	
400102	2	10	30	
400103	3	25	30	
400104	4	25	30	
400105	5	25	30	
400106	6	40	60	
400107	7	40	60	
400108	8	40	60	
400109	9	60	80	
400110	10	60	80	
400111	11	60	80	
400112	12	80	100	
400113	13	80	100	
400114	14	80	100	
400115	15	105	120	
400116	16	105	120	
400117	17	105	120	
400118	18	130	140	
400119	19	130	140	
400120	20	130	160	
400121	21	160	160	
400122	22	160	180	
400123	23	160	180	
400124	24	195	200	
400125	25	195	200	
400126	26	195	220	
400127	27	235	220	
400128	28	235	240	
400129	29	235	240	
400130	30	280	260	
400131	31	280	260	
400132	32	280	280	
400133	33	310	280	
400134	34	310	300	
400135	35	345	300	
400136	36	345	320	
400137	37	385	320	
400138	38	385	340	
400139	39	430	340	
400140	40	430	360	
400141	41	480	360	
400142	42	480	380	
400143	43	535	380	
400144	44	535	400	
400200	0	10	30	
400201	1	10	30	
400202	2	10	30	
400203	3	25	30	
400204	4	25	30	
400205	5	25	30	
400206	6	40	60	
400207	7	40	60	
400208	8	40	60	
400209	9	60	80	
400210	10	60	80	
400211	11	60	80	
400212	12	80	100	
400213	13	80	100	
400214	14	80	100	
400215	15	105	120	
400216	16	105	120	
400217	17	105	120	
400218	18	130	140	
400219	19	130	140	
400220	20	130	160	
400221	21	160	160	
400222	22	160	180	
400223	23	160	180	
400224	24	195	200	
400225	25	195	200	
400226	26	195	220	
400227	27	235	220	
400228	28	235	240	
400229	29	235	240	
400230	30	280	260	
400231	31	280	260	
400232	32	280	280	
400233	33	310	280	
400234	34	310	300	
400235	35	345	300	
400236	36	345	320	
400237	37	385	320	
400238	38	385	340	
400239	39	430	340	
400240	40	430	360	
400241	41	480	360	
400242	42	480	380	
400243	43	535	380	
400244	44	535	400	
400300	0	10	30	
400301	1	10	30	
400302	2	10	30	
400303	3	25	30	
400304	4	25	30	
400305	5	25	30	
400306	6	40	60	
400307	7	40	60	
400308	8	40	60	
400309	9	60	80	
400310	10	60	80	
400311	11	60	80	
400312	12	80	100	
400313	13	80	100	
400314	14	80	100	
400315	15	105	120	
400316	16	105	120	
400317	17	105	120	
400318	18	130	140	
400319	19	130	140	
400320	20	130	160	
400321	21	160	160	
400322	22	160	180	
400323	23	160	180	
400324	24	195	200	
400325	25	195	200	
400326	26	195	220	
400327	27	235	220	
400328	28	235	240	
400329	29	235	240	
400330	30	280	260	
400331	31	280	260	
400332	32	280	280	
400333	33	310	280	
400334	34	310	300	
400335	35	345	300	
400336	36	345	320	
400337	37	385	320	
400338	38	385	340	
400339	39	430	340	
400340	40	430	360	
400341	41	480	360	
400342	42	480	380	
400343	43	535	380	
400344	44	535	400	
400400	0	10	30	
400401	1	10	30	
400402	2	10	30	
400403	3	25	30	
400404	4	25	30	
400405	5	25	30	
400406	6	40	60	
400407	7	40	60	
400408	8	40	60	
400409	9	60	80	
400410	10	60	80	
400411	11	60	80	
400412	12	80	100	
400413	13	80	100	
400414	14	80	100	
400415	15	105	120	
400416	16	105	120	
400417	17	105	120	
400418	18	130	140	
400419	19	130	140	
400420	20	130	160	
400421	21	160	160	
400422	22	160	180	
400423	23	160	180	
400424	24	195	200	
400425	25	195	200	
400426	26	195	220	
400427	27	235	220	
400428	28	235	240	
400429	29	235	240	
400430	30	280	260	
400431	31	280	260	
400432	32	280	280	
400433	33	310	280	
400434	34	310	300	
400435	35	345	300	
400436	36	345	320	
400437	37	385	320	
400438	38	385	340	
400439	39	430	340	
400440	40	430	360	
400441	41	480	360	
400442	42	480	380	
400443	43	535	380	
400444	44	535	400	
400500	0	10	30	
400501	1	10	30	
400502	2	10	30	
400503	3	25	30	
400504	4	25	30	
400505	5	25	30	
400506	6	40	60	
400507	7	40	60	
400508	8	40	60	
400509	9	60	80	
400510	10	60	80	
400511	11	60	80	
400512	12	80	100	
400513	13	80	100	
400514	14	80	100	
400515	15	105	120	
400516	16	105	120	
400517	17	105	120	
400518	18	130	140	
400519	19	130	140	
400520	20	130	160	
400521	21	160	160	
400522	22	160	180	
400523	23	160	180	
400524	24	195	200	
400525	25	195	200	
400526	26	195	220	
400527	27	235	220	
400528	28	235	240	
400529	29	235	240	
400530	30	280	260	
400531	31	280	260	
400532	32	280	280	
400533	33	310	280	
400534	34	310	300	
400535	35	345	300	
400536	36	345	320	
400537	37	385	320	
400538	38	385	340	
400539	39	430	340	
400540	40	430	360	
400541	41	480	360	
400542	42	480	380	
400543	43	535	380	
400544	44	535	400	
400600	0	10	30	
400601	1	10	30	
400602	2	10	30	
400603	3	25	30	
400604	4	25	30	
400605	5	25	30	
400606	6	40	60	
400607	7	40	60	
400608	8	40	60	
400609	9	60	80	
400610	10	60	80	
400611	11	60	80	
400612	12	80	100	
400613	13	80	100	
400614	14	80	100	
400615	15	105	120	
400616	16	105	120	
400617	17	105	120	
400618	18	130	140	
400619	19	130	140	
400620	20	130	160	
400621	21	160	160	
400622	22	160	180	
400623	23	160	180	
400624	24	195	200	
400625	25	195	200	
400626	26	195	220	
400627	27	235	220	
400628	28	235	240	
400629	29	235	240	
400630	30	280	260	
400631	31	280	260	
400632	32	280	280	
400633	33	310	280	
400634	34	310	300	
400635	35	345	300	
400636	36	345	320	
400637	37	385	320	
400638	38	385	340	
400639	39	430	340	
400640	40	430	360	
400641	41	480	360	
400642	42	480	380	
400643	43	535	380	
400644	44	535	400	
400700	0	10	30	
400701	1	10	30	
400702	2	10	30	
400703	3	25	30	
400704	4	25	30	
400705	5	25	30	
400706	6	40	60	
400707	7	40	60	
400708	8	40	60	
400709	9	60	80	
400710	10	60	80	
400711	11	60	80	
400712	12	80	100	
400713	13	80	100	
400714	14	80	100	
400715	15	105	120	
400716	16	105	120	
400717	17	105	120	
400718	18	130	140	
400719	19	130	140	
400720	20	130	160	
400721	21	160	160	
400722	22	160	180	
400723	23	160	180	
400724	24	195	200	
400725	25	195	200	
400726	26	195	220	
400727	27	235	220	
400728	28	235	240	
400729	29	235	240	
400730	30	280	260	
400731	31	280	260	
400732	32	280	280	
400733	33	310	280	
400734	34	310	300	
400735	35	345	300	
400736	36	345	320	
400737	37	385	320	
400738	38	385	340	
400739	39	430	340	
400740	40	430	360	
400741	41	480	360	
400742	42	480	380	
400743	43	535	380	
400744	44	535	400	
400800	0	10	30	
400801	1	10	30	
400802	2	10	30	
400803	3	25	30	
400804	4	25	30	
400805	5	25	30	
400806	6	40	60	
400807	7	40	60	
400808	8	40	60	
400809	9	60	80	
400810	10	60	80	
400811	11	60	80	
400812	12	80	100	
400813	13	80	100	
400814	14	80	100	
400815	15	105	120	
400816	16	105	120	
400817	17	105	120	
400818	18	130	140	
400819	19	130	140	
400820	20	130	160	
400821	21	160	160	
400822	22	160	180	
400823	23	160	180	
400824	24	195	200	
400825	25	195	200	
400826	26	195	220	
400827	27	235	220	
400828	28	235	240	
400829	29	235	240	
400830	30	280	260	
400831	31	280	260	
400832	32	280	280	
400833	33	310	280	
400834	34	310	300	
400835	35	345	300	
400836	36	345	320	
400837	37	385	320	
400838	38	385	340	
400839	39	430	340	
400840	40	430	360	
400841	41	480	360	
400842	42	480	380	
400843	43	535	380	
400844	44	535	400	
400900	0	10	30	
400901	1	10	30	
400902	2	10	30	
400903	3	25	30	
400904	4	25	30	
400905	5	25	30	
400906	6	40	60	
400907	7	40	60	
400908	8	40	60	
400909	9	60	80	
400910	10	60	80	
400911	11	60	80	
400912	12	80	100	
400913	13	80	100	
400914	14	80	100	
400915	15	105	120	
400916	16	105	120	
400917	17	105	120	
400918	18	130	140	
400919	19	130	140	
400920	20	130	160	
400921	21	160	160	
400922	22	160	180	
400923	23	160	180	
400924	24	195	200	
400925	25	195	200	
400926	26	195	220	
400927	27	235	220	
400928	28	235	240	
400929	29	235	240	
400930	30	280	260	
400931	31	280	260	
400932	32	280	280	
400933	33	310	280	
400934	34	310	300	
400935	35	345	300	
400936	36	345	320	
400937	37	385	320	
400938	38	385	340	
400939	39	430	340	
400940	40	430	360	
400941	41	480	360	
400942	42	480	380	
400943	43	535	380	
400944	44	535	400	
401000	0	10	30	
401001	1	10	30	
401002	2	10	30	
401003	3	25	30	
401004	4	25	30	
401005	5	25	30	
401006	6	40	60	
401007	7	40	60	
401008	8	40	60	
401009	9	60	80	
401010	10	60	80	
401011	11	60	80	
401012	12	80	100	
401013	13	80	100	
401014	14	80	100	
401015	15	105	120	
401016	16	105	120	
401017	17	105	120	
401018	18	130	140	
401019	19	130	140	
401020	20	130	160	
401021	21	160	160	
401022	22	160	180	
401023	23	160	180	
401024	24	195	200	
401025	25	195	200	
401026	26	195	220	
401027	27	235	220	
401028	28	235	240	
401029	29	235	240	
401030	30	280	260	
401031	31	280	260	
401032	32	280	280	
401033	33	310	280	
401034	34	310	300	
401035	35	345	300	
401036	36	345	320	
401037	37	385	320	
401038	38	385	340	
401039	39	430	340	
401040	40	430	360	
401041	41	480	360	
401042	42	480	380	
401043	43	535	380	
401044	44	535	400	
401100	0	10	30	
401101	1	10	30	
401102	2	10	30	
401103	3	25	30	
401104	4	25	30	
401105	5	25	30	
401106	6	40	60	
401107	7	40	60	
401108	8	40	60	
401109	9	60	80	
401110	10	60	80	
401111	11	60	80	
401112	12	80	100	
401113	13	80	100	
401114	14	80	100	
401115	15	105	120	
401116	16	105	120	
401117	17	105	120	
401118	18	130	140	
401119	19	130	140	
401120	20	130	160	
401121	21	160	160	
401122	22	160	180	
401123	23	160	180	
401124	24	195	200	
401125	25	195	200	
401126	26	195	220	
401127	27	235	220	
401128	28	235	240	
401129	29	235	240	
401130	30	280	260	
401131	31	280	260	
401132	32	280	280	
401133	33	310	280	
401134	34	310	300	
401135	35	345	300	
401136	36	345	320	
401137	37	385	320	
401138	38	385	340	
401139	39	430	340	
401140	40	430	360	
401141	41	480	360	
401142	42	480	380	
401143	43	535	380	
401144	44	535	400	
401200	0	10	30	
401201	1	10	30	
401202	2	10	30	
401203	3	25	30	
401204	4	25	30	
401205	5	25	30	
401206	6	40	60	
401207	7	40	60	
401208	8	40	60	
401209	9	60	80	
401210	10	60	80	
401211	11	60	80	
401212	12	80	100	
401213	13	80	100	
401214	14	80	100	
401215	15	105	120	
401216	16	105	120	
401217	17	105	120	
401218	18	130	140	
401219	19	130	140	
401220	20	130	160	
401221	21	160	160	
401222	22	160	180	
401223	23	160	180	
401224	24	195	200	
401225	25	195	200	
401226	26	195	220	
401227	27	235	220	
401228	28	235	240	
401229	29	235	240	
401230	30	280	260	
401231	31	280	260	
401232	32	280	280	
401233	33	310	280	
401234	34	310	300	
401235	35	345	300	
401236	36	345	320	
401237	37	385	320	
401238	38	385	340	
401239	39	430	340	
401240	40	430	360	
401241	41	480	360	
401242	42	480	380	
401243	43	535	380	
401244	44	535	400	
401300	0	10	30	
401301	1	10	30	
401302	2	10	30	
401303	3	25	30	
401304	4	25	30	
401305	5	25	30	
401306	6	40	60	
401307	7	40	60	
401308	8	40	60	
401309	9	60	80	
401310	10	60	80	
401311	11	60	80	
401312	12	80	100	
401313	13	80	100	
401314	14	80	100	
401315	15	105	120	
401316	16	105	120	
401317	17	105	120	
401318	18	130	140	
401319	19	130	140	
401320	20	130	160	
401321	21	160	160	
401322	22	160	180	
401323	23	160	180	
401324	24	195	200	
401325	25	195	200	
401326	26	195	220	
401327	27	235	220	
401328	28	235	240	
401329	29	235	240	
401330	30	280	260	
401331	31	280	260	
401332	32	280	280	
401333	33	310	280	
401334	34	310	300	
401335	35	345	300	
401336	36	345	320	
401337	37	385	320	
401338	38	385	340	
401339	39	430	340	
401340	40	430	360	
401341	41	480	360	
401342	42	480	380	
401343	43	535	380	
401344	44	535	400	
401400	0	10	30	
401401	1	10	30	
401402	2	10	30	
401403	3	25	30	
401404	4	25	30	
401405	5	25	30	
401406	6	40	60	
401407	7	40	60	
401408	8	40	60	
401409	9	60	80	
401410	10	60	80	
401411	11	60	80	
401412	12	80	100	
401413	13	80	100	
401414	14	80	100	
401415	15	105	120	
401416	16	105	120	
401417	17	105	120	
401418	18	130	140	
401419	19	130	140	
401420	20	130	160	
401421	21	160	160	
401422	22	160	180	
401423	23	160	180	
401424	24	195	200	
401425	25	195	200	
401426	26	195	220	
401427	27	235	220	
401428	28	235	240	
401429	29	235	240	
401430	30	280	260	
401431	31	280	260	
401432	32	280	280	
401433	33	310	280	
401434	34	310	300	
401435	35	345	300	
401436	36	345	320	
401437	37	385	320	
401438	38	385	340	
401439	39	430	340	
401440	40	430	360	
401441	41	480	360	
401442	42	480	380	
401443	43	535	380	
401444	44	535	400	
401500	0	10	30	
401501	1	10	30	
401502	2	10	30	
401503	3	25	30	
401504	4	25	30	
401505	5	25	30	
401506	6	40	60	
401507	7	40	60	
401508	8	40	60	
401509	9	60	80	
401510	10	60	80	
401511	11	60	80	
401512	12	80	100	
401513	13	80	100	
401514	14	80	100	
401515	15	105	120	
401516	16	105	120	
401517	17	105	120	
401518	18	130	140	
401519	19	130	140	
401520	20	130	160	
401521	21	160	160	
401522	22	160	180	
401523	23	160	180	
401524	24	195	200	
401525	25	195	200	
401526	26	195	220	
401527	27	235	220	
401528	28	235	240	
401529	29	235	240	
401530	30	280	260	
401531	31	280	260	
401532	32	280	280	
401533	33	310	280	
401534	34	310	300	
401535	35	345	300	
401536	36	345	320	
401537	37	385	320	
401538	38	385	340	
401539	39	430	340	
401540	40	430	360	
401541	41	480	360	
401542	42	480	380	
401543	43	535	380	
401544	44	535	400	
401600	0	10	30	
401601	1	10	30	
401602	2	10	30	
401603	3	25	30	
401604	4	25	30	
401605	5	25	30	
401606	6	40	60	
401607	7	40	60	
401608	8	40	60	
401609	9	60	80	
401610	10	60	80	
401611	11	60	80	
401612	12	80	100	
401613	13	80	100	
401614	14	80	100	
401615	15	105	120	
401616	16	105	120	
401617	17	105	120	
401618	18	130	140	
401619	19	130	140	
401620	20	130	160	
401621	21	160	160	
401622	22	160	180	
401623	23	160	180	
401624	24	195	200	
401625	25	195	200	
401626	26	195	220	
401627	27	235	220	
401628	28	235	240	
401629	29	235	240	
401630	30	280	260	
401631	31	280	260	
401632	32	280	280	
401633	33	310	280	
401634	34	310	300	
401635	35	345	300	
401636	36	345	320	
401637	37	385	320	
401638	38	385	340	
401639	39	430	340	
401640	40	430	360	
401641	41	480	360	
401642	42	480	380	
401643	43	535	380	
401644	44	535	400	
401700	0	10	30	
401701	1	10	30	
401702	2	10	30	
401703	3	25	30	
401704	4	25	30	
401705	5	25	30	
401706	6	40	60	
401707	7	40	60	
401708	8	40	60	
401709	9	60	80	
401710	10	60	80	
401711	11	60	80	
401712	12	80	100	
401713	13	80	100	
401714	14	80	100	
401715	15	105	120	
401716	16	105	120	
401717	17	105	120	
401718	18	130	140	
401719	19	130	140	
401720	20	130	160	
401721	21	160	160	
401722	22	160	180	
401723	23	160	180	
401724	24	195	200	
401725	25	195	200	
401726	26	195	220	
401727	27	235	220	
401728	28	235	240	
401729	29	235	240	
401730	30	280	260	
401731	31	280	260	
401732	32	280	280	
401733	33	310	280	
401734	34	310	300	
401735	35	345	300	
401736	36	345	320	
401737	37	385	320	
401738	38	385	340	
401739	39	430	340	
401740	40	430	360	
401741	41	480	360	
401742	42	480	380	
401743	43	535	380	
401744	44	535	400	
401800	0	10	30	
401801	1	10	30	
401802	2	10	30	
401803	3	25	30	
401804	4	25	30	
401805	5	25	30	
401806	6	40	60	
401807	7	40	60	
401808	8	40	60	
401809	9	60	80	
401810	10	60	80	
401811	11	60	80	
401812	12	80	100	
401813	13	80	100	
401814	14	80	100	
401815	15	105	120	
401816	16	105	120	
401817	17	105	120	
401818	18	130	140	
401819	19	130	140	
401820	20	130	160	
401821	21	160	160	
401822	22	160	180	
401823	23	160	180	
401824	24	195	200	
401825	25	195	200	
401826	26	195	220	
401827	27	235	220	
401828	28	235	240	
401829	29	235	240	
401830	30	280	260	
401831	31	280	260	
401832	32	280	280	
401833	33	310	280	
401834	34	310	300	
401835	35	345	300	
401836	36	345	320	
401837	37	385	320	
401838	38	385	340	
401839	39	430	340	
401840	40	430	360	
401841	41	480	360	
401842	42	480	380	
401843	43	535	380	
401844	44	535	400	
401900	0	10	30	
401901	1	10	30	
401902	2	10	30	
401903	3	25	30	
401904	4	25	30	
401905	5	25	30	
401906	6	40	60	
401907	7	40	60	
401908	8	40	60	
401909	9	60	80	
401910	10	60	80	
401911	11	60	80	
401912	12	80	100	
401913	13	80	100	
401914	14	80	100	
401915	15	105	120	
401916	16	105	120	
401917	17	105	120	
401918	18	130	140	
401919	19	130	140	
401920	20	130	160	
401921	21	160	160	
401922	22	160	180	
401923	23	160	180	
401924	24	195	200	
401925	25	195	200	
401926	26	195	220	
401927	27	235	220	
401928	28	235	240	
401929	29	235	240	
401930	30	280	260	
401931	31	280	260	
401932	32	280	280	
401933	33	310	280	
401934	34	310	300	
401935	35	345	300	
401936	36	345	320	
401937	37	385	320	
401938	38	385	340	
401939	39	430	340	
401940	40	430	360	
401941	41	480	360	
401942	42	480	380	
401943	43	535	380	
401944	44	535	400	
402000	0	10	30	
402001	1	10	30	
402002	2	10	30	
402003	3	25	30	
402004	4	25	30	
402005	5	25	30	
402006	6	40	60	
402007	7	40	60	
402008	8	40	60	
402009	9	60	80	
402010	10	60	80	
402011	11	60	80	
402012	12	80	100	
402013	13	80	100	
402014	14	80	100	
402015	15	105	120	
402016	16	105	120	
402017	17	105	120	
402018	18	130	140	
402019	19	130	140	
402020	20	130	160	
402021	21	160	160	
402022	22	160	180	
402023	23	160	180	
402024	24	195	200	
402025	25	195	200	
402026	26	195	220	
402027	27	235	220	
402028	28	235	240	
402029	29	235	240	
402030	30	280	260	
402031	31	280	260	
402032	32	280	280	
402033	33	310	280	
402034	34	310	300	
402035	35	345	300	
402036	36	345	320	
402037	37	385	320	
402038	38	385	340	
402039	39	430	340	
402040	40	430	360	
402041	41	480	360	
402042	42	480	380	
402043	43	535	380	
402044	44	535	400	
402100	0	10	30	
402101	1	10	30	
402102	2	10	30	
402103	3	25	30	
402104	4	25	30	
402105	5	25	30	
402106	6	40	60	
402107	7	40	60	
402108	8	40	60	
402109	9	60	80	
402110	10	60	80	
402111	11	60	80	
402112	12	80	100	
402113	13	80	100	
402114	14	80	100	
402115	15	105	120	
402116	16	105	120	
402117	17	105	120	
402118	18	130	140	
402119	19	130	140	
402120	20	130	160	
402121	21	160	160	
402122	22	160	180	
402123	23	160	180	
402124	24	195	200	
402125	25	195	200	
402126	26	195	220	
402127	27	235	220	
402128	28	235	240	
402129	29	235	240	
402130	30	280	260	
402131	31	280	260	
402132	32	280	280	
402133	33	310	280	
402134	34	310	300	
402135	35	345	300	
402136	36	345	320	
402137	37	385	320	
402138	38	385	340	
402139	39	430	340	
402140	40	430	360	
402141	41	480	360	
402142	42	480	380	
402143	43	535	380	
402144	44	535	400	
402200	0	10	30	
402201	1	10	30	
402202	2	10	30	
402203	3	25	30	
402204	4	25	30	
402205	5	25	30	
402206	6	40	60	
402207	7	40	60	
402208	8	40	60	
402209	9	60	80	
402210	10	60	80	
402211	11	60	80	
402212	12	80	100	
402213	13	80	100	
402214	14	80	100	
402215	15	105	120	
402216	16	105	120	
402217	17	105	120	
402218	18	130	140	
402219	19	130	140	
402220	20	130	160	
402221	21	160	160	
402222	22	160	180	
402223	23	160	180	
402224	24	195	200	
402225	25	195	200	
402226	26	195	220	
402227	27	235	220	
402228	28	235	240	
402229	29	235	240	
402230	30	280	260	
402231	31	280	260	
402232	32	280	280	
402233	33	310	280	
402234	34	310	300	
402235	35	345	300	
402236	36	345	320	
402237	37	385	320	
402238	38	385	340	
402239	39	430	340	
402240	40	430	360	
402241	41	480	360	
402242	42	480	380	
402243	43	535	380	
402244	44	535	400	
402300	0	10	30	
402301	1	10	30	
402302	2	10	30	
402303	3	25	30	
402304	4	25	30	
402305	5	25	30	
402306	6	40	60	
402307	7	40	60	
402308	8	40	60	
402309	9	60	80	
402310	10	60	80	
402311	11	60	80	
402312	12	80	100	
402313	13	80	100	
402314	14	80	100	
402315	15	105	120	
402316	16	105	120	
402317	17	105	120	
402318	18	130	140	
402319	19	130	140	
402320	20	130	160	
402321	21	160	160	
402322	22	160	180	
402323	23	160	180	
402324	24	195	200	
402325	25	195	200	
402326	26	195	220	
402327	27	235	220	
402328	28	235	240	
402329	29	235	240	
402330	30	280	260	
402331	31	280	260	
402332	32	280	280	
402333	33	310	280	
402334	34	310	300	
402335	35	345	300	
402336	36	345	320	
402337	37	385	320	
402338	38	385	340	
402339	39	430	340	
402340	40	430	360	
402341	41	480	360	
402342	42	480	380	
402343	43	535	380	
402344	44	535	400	
402400	0	10	30	
