int	int	DTItemNum	DTItemNum[]	int[]	int	int	int	int	int	int	int	int	int	int	DTItemNum	DTItemNum	DTItemNum	int	int	int	int
184	7730700	0:0	2:93600;1:10	100;50;25;12	2	1	23	0	21	0	42	0	47	900	3:281880	3:1000	3:1001	728800	1093200	1457600	5830400
185	7871500	0:0	2:95000;1:10	100;50;25;12	2	0	23	0	21	1	43	1	48	900	3:285940	3:1000	3:1001	742400	1113600	1484800	5939200
186	8012300	0:0	2:96400;1:10	100;50;25;12	2	0	23	0	21	0	43	0	48	900	3:290000	3:1000	3:1001	756200	1134300	1512400	6049600
187	8153100	0:0	2:97800;1:10	100;50;25;12	2	0	23	0	21	0	43	0	48	900	3:294060	3:1000	3:1001	770200	1155300	1540400	6161600
188	8293900	0:0	2:99200;1:10	100;50;25;12	2	0	23	0	21	0	43	0	48	900	3:298120	3:1000	3:1001	784400	1176600	1568800	6275200
189	8434700	0:0	2:100600;1:10	100;50;25;12	2	0	23	0	21	0	43	0	48	900	3:302180	3:1000	3:1001	798800	1198200	1597600	6390400
190	8575500	0:0	2:102000;1:10	75;60;40;25	6	0	23	1	22	1	44	1	49	900	3:306240	3:1000	3:1001	813400	1220100	1626800	6507200
191	8729100	0:0	2:103400;1:10	100;50;25;12	2	0	23	0	22	0	44	0	49	900	3:310300	3:1000	3:1001	828400	1242600	1656800	6627200
192	8882700	0:0	2:104800;1:10	100;50;25;12	2	1	24	0	22	0	44	0	49	900	3:314360	3:1000	3:1001	843400	1265100	1686800	6747200
193	9036300	0:0	2:106200;1:10	100;50;25;12	2	0	24	0	22	0	44	0	49	900	3:318420	3:1000	3:1001	858800	1288200	1717600	6870400
194	9189900	0:0	2:107600;1:10	100;50;25;12	2	0	24	0	22	0	44	0	49	900	3:322480	3:1000	3:1001	874200	1311300	1748400	6993600
195	9343500	0:0	2:109000;1:10	100;50;25;12	2	0	24	0	22	1	45	1	50	900	3:326540	3:1000	3:1001	890000	1335000	1780000	7120000
196	9497100	0:0	2:110400;1:10	100;50;25;12	2	0	24	0	22	0	45	0	50	900	3:330600	3:1000	3:1001	906000	1359000	1812000	7248000
197	9650700	0:0	2:111800;1:10	100;50;25;12	2	0	24	0	22	0	45	0	50	900	3:334660	3:1000	3:1001	922200	1383300	1844400	7377600
198	9804300	0:0	2:113200;1:10	100;50;25;12	2	0	24	0	22	0	45	0	50	900	3:338720	3:1000	3:1001	938600	1407900	1877200	7508800
199	9957900	0:0	2:114600;1:10	100;50;25;12	2	0	24	0	22	0	45	0	50	900	3:342780	3:1000	3:1001	955200	1432800	1910400	7641600
200	10111500	0:0	2:116000;1:10	75;60;40;25	6	1	25	1	23	1	46	1	51	900	3:346840	3:1000	3:1001	972000	1458000	1944000	7776000
201	10277900	0:0	2:117600;1:10	100;50;25;12	2	0	25	0	23	0	46	0	51	900	3:351480	3:1000	3:1001	989200	1483800	1978400	7913600
202	10444300	0:0	2:119200;1:10	100;50;25;12	2	0	25	0	23	0	46	0	51	900	3:356120	3:1000	3:1001	1006600	1509900	2013200	8052800
203	10610700	0:0	2:120800;1:10	100;50;25;12	2	0	25	0	23	0	46	0	51	900	3:360760	3:1000	3:1001	1024200	1536300	2048400	8193600
204	10777100	0:0	2:122400;1:10	100;50;25;12	2	0	25	0	23	0	46	0	51	900	3:365400	3:1000	3:1001	1042000	1563000	2084000	8336000
205	10943500	0:0	2:124000;1:10	100;50;25;12	2	0	25	0	23	1	47	0	51	900	3:370040	3:1000	3:1001	1060200	1590300	2120400	8481600
206	11109900	0:0	2:125600;1:10	100;50;25;12	2	0	25	0	23	0	47	0	51	900	3:374680	3:1000	3:1001	1078600	1617900	2157200	8628800
207	11276300	0:0	2:127200;1:10	100;50;25;12	2	0	25	0	23	0	47	0	51	900	3:379320	3:1000	3:1001	1097200	1645800	2194400	8777600
208	11442700	0:0	2:128800;1:10	100;50;25;12	2	1	26	0	23	0	47	0	51	900	3:383960	3:1000	3:1001	1116000	1674000	2232000	8928000
209	11609100	0:0	2:130400;1:10	100;50;25;12	2	0	26	0	23	0	47	0	51	900	3:388600	3:1000	3:1001	1135200	1702800	2270400	9081600
210	11775500	0:0	2:132000;1:10	75;60;40;25	6	0	26	1	24	1	48	0	51	900	3:393240	3:1000	3:1001	1154600	1731900	2309200	9236800
211	11954700	0:0	2:133600;1:10	100;50;25;12	2	0	26	0	24	0	48	0	51	900	3:397880	3:1000	3:1001	1174200	1761300	2348400	9393600
212	12133900	0:0	2:135200;1:10	100;50;25;12	2	0	26	0	24	0	48	0	51	900	3:402520	3:1000	3:1001	1194000	1791000	2388000	9552000
213	12313100	0:0	2:136800;1:10	100;50;25;12	2	0	26	0	24	0	48	0	51	900	3:407160	3:1000	3:1001	1214200	1821300	2428400	9713600
214	12492300	0:0	2:138400;1:10	100;50;25;12	2	0	26	0	24	0	48	0	51	900	3:411800	3:1000	3:1001	1234600	1851900	2469200	9876800
215	12671500	0:0	2:140000;1:10	100;50;25;12	2	0	26	0	24	1	49	0	51	900	3:416440	3:1000	3:1001	1255400	1883100	2510800	10043200
216	12850700	0:0	2:141600;1:10	100;50;25;12	2	1	27	0	24	0	49	0	51	900	3:421080	3:1000	3:1001	1276400	1914600	2552800	10211200
217	13029900	0:0	2:143200;1:10	100;50;25;12	2	0	27	0	24	0	49	0	51	900	3:425720	3:1000	3:1001	1297600	1946400	2595200	10380800
218	13209100	0:0	2:144800;1:10	100;50;25;12	2	0	27	0	24	0	49	0	51	900	3:430360	3:1000	3:1001	1319200	1978800	2638400	10553600
219	13388300	0:0	2:146400;1:10	100;50;25;12	2	0	27	0	24	0	49	0	51	900	3:435000	3:1000	3:1001	1341200	2011800	2682400	10729600
220	13567500	0:0	2:148000;1:10	75;60;40;25	6	0	27	1	25	1	50	0	51	900	3:439640	3:1000	3:1001	1363200	2044800	2726400	10905600
221	13759500	0:0	2:149800;1:10	100;50;25;12	2	0	27	0	25	0	50	0	51	900	3:444860	3:1000	3:1001	1385600	2078400	2771200	11084800
222	13951500	0:0	2:151600;1:10	100;50;25;12	2	0	27	0	25	0	50	0	51	900	3:450080	3:1000	3:1001	1408400	2112600	2816800	11267200
223	14143500	0:0	2:153400;1:10	100;50;25;12	2	0	27	0	25	0	50	0	51	900	3:455300	3:1000	3:1001	1431400	2147100	2862800	11451200
224	14335500	0:0	2:155200;1:10	100;50;25;12	2	1	28	0	25	0	50	0	51	900	3:460520	3:1000	3:1001	1454800	2182200	2909600	11638400
225	14527500	0:0	2:157000;1:10	100;50;25;12	2	0	28	0	25	1	51	0	51	900	3:465740	3:1000	3:1001	1478400	2217600	2956800	11827200
226	14719500	0:0	2:158800;1:10	100;50;25;12	2	0	28	0	25	0	51	0	51	900	3:470960	3:1000	3:1001	1502200	2253300	3004400	12017600
227	14911500	0:0	2:160600;1:10	100;50;25;12	2	0	28	0	25	0	51	0	51	900	3:476180	3:1000	3:1001	1526600	2289900	3053200	12212800
228	15103500	0:0	2:162400;1:10	100;50;25;12	2	0	28	0	25	0	51	0	51	900	3:481400	3:1000	3:1001	1551000	2326500	3102000	12408000
229	15295500	0:0	2:164200;1:10	100;50;25;12	2	0	28	0	25	0	51	0	51	900	3:486620	3:1000	3:1001	1576000	2364000	3152000	12608000
230	15487500	0:0	2:166000;1:10	75;60;40;25	6	0	28	1	26	1	52	0	51	900	3:491840	3:1000	3:1001	1601000	2401500	3202000	12808000
231	15692300	0:0	2:167800;1:10	100;50;25;12	2	0	28	0	26	0	52	0	51	900	3:497060	3:1000	3:1001	1626600	2439900	3253200	13012800
232	15897100	0:0	2:169600;1:10	100;50;25;12	2	1	29	0	26	0	52	0	51	900	3:502280	3:1000	3:1001	1652400	2478600	3304800	13219200
233	16101900	0:0	2:171400;1:10	100;50;25;12	2	0	29	0	26	0	52	0	51	900	3:507500	3:1000	3:1001	1678600	2517900	3357200	13428800
234	16306700	0:0	2:173200;1:10	100;50;25;12	2	0	29	0	26	0	52	0	51	900	3:512720	3:1000	3:1001	1705000	2557500	3410000	13640000
235	16511500	0:0	2:175000;1:10	100;50;25;12	2	0	29	0	26	1	53	0	51	900	3:517940	3:1000	3:1001	1731800	2597700	3463600	13854400
236	16716300	0:0	2:176800;1:10	100;50;25;12	2	0	29	0	26	0	53	0	51	900	3:523160	3:1000	3:1001	1759000	2638500	3518000	14072000
237	16921100	0:0	2:178600;1:10	100;50;25;12	2	0	29	0	26	0	53	0	51	900	3:528380	3:1000	3:1001	1786400	2679600	3572800	14291200
238	17125900	0:0	2:180400;1:10	100;50;25;12	2	0	29	0	26	0	53	0	51	900	3:533600	3:1000	3:1001	1814200	2721300	3628400	14513600
239	17330700	0:0	2:182200;1:10	100;50;25;12	2	0	29	0	26	0	53	0	51	900	3:538820	3:1000	3:1001	1842400	2763600	3684800	14739200
240	17535500	0:0	2:184000;1:10	75;60;40;25	6	1	30	1	27	1	54	0	51	900	3:544040	3:1000	3:1001	1871000	2806500	3742000	14968000
241	17753100	0:0	2:186000;1:10	100;50;25;12	2	0	30	0	27	0	54	0	51	900	3:549840	3:1000	3:1001	1899800	2849700	3799600	15198400
242	17970700	0:0	2:188000;1:10	100;50;25;12	2	0	30	0	27	0	54	0	51	900	3:555640	3:1000	3:1001	1929000	2893500	3858000	15432000
243	18188300	0:0	2:190000;1:10	100;50;25;12	2	0	30	0	27	0	54	0	51	900	3:561440	3:1000	3:1001	1958600	2937900	3917200	15668800
244	18405900	0:0	2:192000;1:10	100;50;25;12	2	0	30	0	27	0	54	0	51	900	3:567240	3:1000	3:1001	1988600	2982900	3977200	15908800
245	18623500	0:0	2:194000;1:10	100;50;25;12	2	0	30	0	27	1	55	0	51	900	3:573040	3:1000	3:1001	2018800	3028200	4037600	16150400
246	18841100	0:0	2:196000;1:10	100;50;25;12	2	0	30	0	27	0	55	0	51	900	3:578840	3:1000	3:1001	2049600	3074400	4099200	16396800
247	19058700	0:0	2:198000;1:10	100;50;25;12	2	0	30	0	27	0	55	0	51	900	3:584640	3:1000	3:1001	2080600	3120900	4161200	16644800
248	19276300	0:0	2:200000;1:10	100;50;25;12	2	1	31	0	27	0	55	0	51	900	3:590440	3:1000	3:1001	2112000	3168000	4224000	16896000
249	19493900	0:0	2:202000;1:10	100;50;25;12	2	0	31	0	27	0	55	0	51	900	3:596240	3:1000	3:1001	2143800	3215700	4287600	17150400
250	19711500	0:0	2:204000;1:10	75;60;40;25	6	0	31	1	28	1	56	0	51	900	3:602040	3:1000	3:1001	2176000	3264000	4352000	17408000
251	19941900	0:0	2:206000;1:10	100;50;25;12	2	0	31	0	28	0	56	0	51	900	3:607840	3:1000	3:1001	2208600	3312900	4417200	17668800
252	20172300	0:0	2:208000;1:10	100;50;25;12	2	0	31	0	28	0	56	0	51	900	3:613640	3:1000	3:1001	2241600	3362400	4483200	17932800
253	20402700	0:0	2:210000;1:10	100;50;25;12	2	0	31	0	28	0	56	0	51	900	3:619440	3:1000	3:1001	2274800	3412200	4549600	18198400
254	20633100	0:0	2:212000;1:10	100;50;25;12	2	0	31	0	28	0	56	0	51	900	3:625240	3:1000	3:1001	2308600	3462900	4617200	18468800
255	20863500	0:0	2:214000;1:10	100;50;25;12	2	0	31	0	28	1	57	0	51	900	3:631040	3:1000	3:1001	2342800	3514200	4685600	18742400
256	21093900	0:0	2:216000;1:10	100;50;25;12	2	1	32	0	28	0	57	0	51	900	3:636840	3:1000	3:1001	2377200	3565800	4754400	19017600
257	21324300	0:0	2:218000;1:10	100;50;25;12	2	0	32	0	28	0	57	0	51	900	3:642640	3:1000	3:1001	2412200	3618300	4824400	19297600
258	21554700	0:0	2:220000;1:10	100;50;25;12	2	0	32	0	28	0	57	0	51	900	3:648440	3:1000	3:1001	2447600	3671400	4895200	19580800
259	21785100	0:0	2:222000;1:10	100;50;25;12	2	0	32	0	28	0	57	0	51	900	3:654240	3:1000	3:1001	2483400	3725100	4966800	19867200
260	22015500	0:0	2:224000;1:10	75;60;40;25	6	0	32	1	29	1	58	0	51	900	3:660040	3:1000	3:1001	2519600	3779400	5039200	20156800
261	22258700	0:0	2:226200;1:10	100;50;25;12	2	0	32	0	29	0	58	0	51	900	3:666420	3:1000	3:1001	2556200	3834300	5112400	20449600
262	22501900	0:0	2:228400;1:10	100;50;25;12	2	0	32	0	29	0	58	0	51	900	3:672800	3:1000	3:1001	2593200	3889800	5186400	20745600
263	22745100	0:0	2:230600;1:10	100;50;25;12	2	0	32	0	29	0	58	0	51	900	3:679180	3:1000	3:1001	2630600	3945900	5261200	21044800
264	22988300	0:0	2:232800;1:10	100;50;25;12	2	1	33	0	29	0	58	0	51	900	3:685560	3:1000	3:1001	2668400	4002600	5336800	21347200
265	23231500	0:0	2:235000;1:10	100;50;25;12	2	0	33	0	29	1	59	0	51	900	3:691940	3:1000	3:1001	2706800	4060200	5413600	21654400
266	23474700	0:0	2:237200;1:10	100;50;25;12	2	0	33	0	29	0	59	0	51	900	3:698320	3:1000	3:1001	2745600	4118400	5491200	21964800
267	23717900	0:0	2:239400;1:10	100;50;25;12	2	0	33	0	29	0	59	0	51	900	3:704700	3:1000	3:1001	2784800	4177200	5569600	22278400
268	23961100	0:0	2:241600;1:10	100;50;25;12	2	0	33	0	29	0	59	0	51	900	3:711080	3:1000	3:1001	2824400	4236600	5648800	22595200
269	24204300	0:0	2:243800;1:10	100;50;25;12	2	0	33	0	29	0	59	0	51	900	3:717460	3:1000	3:1001	2864600	4296900	5729200	22916800
270	24447500	0:0	2:246000;1:10	75;60;40;25	6	0	33	1	30	1	60	0	51	900	3:723840	3:1000	3:1001	2905000	4357500	5810000	23240000
271	24703500	0:0	2:248200;1:10	100;50;25;12	2	0	33	0	30	0	60	0	51	900	3:730220	3:1000	3:1001	2946000	4419000	5892000	23568000
272	24959500	0:0	2:250400;1:10	100;50;25;12	2	1	34	0	30	0	60	0	51	900	3:736600	3:1000	3:1001	2987600	4481400	5975200	23900800
273	25215500	0:0	2:252600;1:10	100;50;25;12	2	0	34	0	30	0	60	0	51	900	3:742980	3:1000	3:1001	3029400	4544100	6058800	24235200
274	25471500	0:0	2:254800;1:10	100;50;25;12	2	0	34	0	30	0	60	0	51	900	3:749360	3:1000	3:1001	3071800	4607700	6143600	24574400
275	25727500	0:0	2:257000;1:10	100;50;25;12	2	0	34	0	30	1	61	0	51	900	3:755740	3:1000	3:1001	3114800	4672200	6229600	24918400
276	25983500	0:0	2:259200;1:10	100;50;25;12	2	0	34	0	30	0	61	0	51	900	3:762120	3:1000	3:1001	3158000	4737000	6316000	25264000
277	26239500	0:0	2:261400;1:10	100;50;25;12	2	0	34	0	30	0	61	0	51	900	3:768500	3:1000	3:1001	3202000	4803000	6404000	25616000
278	26495500	0:0	2:263600;1:10	100;50;25;12	2	0	34	0	30	0	61	0	51	900	3:774880	3:1000	3:1001	3246200	4869300	6492400	25969600
279	26751500	0:0	2:265800;1:10	100;50;25;12	2	0	34	0	30	0	61	0	51	900	3:781260	3:1000	3:1001	3291000	4936500	6582000	26328000
280	27007500	0:0	2:268000;1:10	75;60;40;25	6	1	35	1	31	1	62	0	51	900	3:787640	3:1000	3:1001	3336400	5004600	6672800	26691200
281	27276300	0:0	2:270400;1:10	100;50;25;12	2	0	35	0	31	0	62	0	51	900	3:794600	3:1000	3:1001	3382200	5073300	6764400	27057600
282	27545100	0:0	2:272800;1:10	100;50;25;12	2	0	35	0	31	0	62	0	51	900	3:801560	3:1000	3:1001	3428400	5142600	6856800	27427200
283	27813900	0:0	2:275200;1:10	100;50;25;12	2	0	35	0	31	0	62	0	51	900	3:808520	3:1000	3:1001	3475200	5212800	6950400	27801600
284	28082700	0:0	2:277600;1:10	100;50;25;12	2	0	35	0	31	0	62	0	51	900	3:815480	3:1000	3:1001	3522600	5283900	7045200	28180800
285	28351500	0:0	2:280000;1:10	100;50;25;12	2	0	35	0	31	1	63	0	51	900	3:822440	3:1000	3:1001	3570400	5355600	7140800	28563200
286	28620300	0:0	2:282400;1:10	100;50;25;12	2	0	35	0	31	0	63	0	51	900	3:829400	3:1000	3:1001	3618600	5427900	7237200	28948800
287	28889100	0:0	2:284800;1:10	100;50;25;12	2	0	35	0	31	0	63	0	51	900	3:836360	3:1000	3:1001	3667600	5501400	7335200	29340800
288	29157900	0:0	2:287200;1:10	100;50;25;12	2	1	36	0	31	0	63	0	51	900	3:843320	3:1000	3:1001	3717000	5575500	7434000	29736000
289	29426700	0:0	2:289600;1:10	100;50;25;12	2	0	36	0	31	0	63	0	51	900	3:850280	3:1000	3:1001	3766800	5650200	7533600	30134400
290	29695500	0:0	2:292000;1:10	75;60;40;25	6	0	36	1	32	1	64	0	51	900	3:857240	3:1000	3:1001	3817200	5725800	7634400	30537600
291	29977100	0:0	2:294400;1:10	100;50;25;12	2	0	36	0	32	0	64	0	51	900	3:864200	3:1000	3:1001	3868200	5802300	7736400	30945600
292	30258700	0:0	2:296800;1:10	100;50;25;12	2	0	36	0	32	0	64	0	51	900	3:871160	3:1000	3:1001	3919800	5879700	7839600	31358400
293	30540300	0:0	2:299200;1:10	100;50;25;12	2	0	36	0	32	0	64	0	51	900	3:878120	3:1000	3:1001	3971800	5957700	7943600	31774400
294	30821900	0:0	2:301600;1:10	100;50;25;12	2	0	36	0	32	0	64	0	51	900	3:885080	3:1000	3:1001	4024600	6036900	8049200	32196800
295	31103500	0:0	2:304000;1:10	100;50;25;12	2	0	36	0	32	1	65	0	51	900	3:892040	3:1000	3:1001	4077600	6116400	8155200	32620800
296	31385100	0:0	2:306400;1:10	100;50;25;12	2	1	37	0	32	0	65	0	51	900	3:899000	3:1000	3:1001	4131400	6197100	8262800	33051200
297	31666700	0:0	2:308800;1:10	100;50;25;12	2	0	37	0	32	0	65	0	51	900	3:905960	3:1000	3:1001	4185800	6278700	8371600	33486400
298	31948300	0:0	2:311200;1:10	100;50;25;12	2	0	37	0	32	0	65	0	51	900	3:912920	3:1000	3:1001	4240600	6360900	8481200	33924800
299	32229900	0:0	2:313600;1:10	100;50;25;12	2	0	37	0	32	0	65	0	51	900	3:919880	3:1000	3:1001	4296000	6444000	8592000	34368000
300	32511500	0:0	2:316000;1:10	75;60;40;25	6	0	37	1	33	1	66	0	51	900	3:926840	3:1000	3:1001	4352000	6528000	8704000	34816000
301	32805900	0:0	2:318600;1:10	100;50;25;12	2	0	37	0	33	0	66	0	51	900	3:963380	3:1000	3:1001	4408800	6613200	8817600	35270400
302	33100300	0:0	2:321200;1:10	100;50;25;12	2	0	37	0	33	0	66	0	51	900	3:999920	3:1000	3:1001	4466000	6699000	8932000	35728000
303	33394700	0:0	2:323800;1:10	100;50;25;12	2	0	37	0	33	0	66	0	51	900	3:1036460	3:1000	3:1001	4523800	6785700	9047600	36190400
304	33689100	0:0	2:326400;1:10	100;50;25;12	2	1	38	0	33	0	66	0	51	900	3:1073000	3:1000	3:1001	4582000	6873000	9164000	36656000
305	33983500	0:0	2:329000;1:10	100;50;25;12	2	0	38	0	33	1	67	0	51	900	3:1109540	3:1000	3:1001	4641000	6961500	9282000	37128000
306	34277900	0:0	2:331600;1:10	100;50;25;12	2	0	38	0	33	0	67	0	51	900	3:1146080	3:1000	3:1001	4700600	7050900	9401200	37604800
307	34572300	0:0	2:334200;1:10	100;50;25;12	2	0	38	0	33	0	67	0	51	900	3:1182620	3:1000	3:1001	4760800	7141200	9521600	38086400
308	34866700	0:0	2:336800;1:10	100;50;25;12	2	0	38	0	33	0	67	0	51	900	3:1219160	3:1000	3:1001	4821600	7232400	9643200	38572800
309	35161100	0:0	2:339400;1:10	100;50;25;12	2	0	38	0	33	0	67	0	51	900	3:1255700	3:1000	3:1001	4883200	7324800	9766400	39065600
310	35455500	0:0	2:342000;1:10	75;60;40;25	6	0	38	1	34	1	68	0	51	900	3:1292240	3:1000	3:1001	4945200	7417800	9890400	39561600
311	35762700	0:0	2:344600;1:10	100;50;25;12	2	0	38	0	34	0	68	0	51	900	3:1328780	3:1000	3:1001	5007800	7511700	10015600	40062400
312	36069900	0:0	2:347200;1:10	100;50;25;12	2	1	39	0	34	0	68	0	51	900	3:1365320	3:1000	3:1001	5071200	7606800	10142400	40569600
313	36377100	0:0	2:349800;1:10	100;50;25;12	2	0	39	0	34	0	68	0	51	900	3:1401860	3:1000	3:1001	5135200	7702800	10270400	41081600
314	36684300	0:0	2:352400;1:10	100;50;25;12	2	0	39	0	34	0	68	0	51	900	3:1438400	3:1000	3:1001	5199800	7799700	10399600	41598400
315	36991500	0:0	2:355000;1:10	100;50;25;12	2	0	39	0	34	1	69	0	51	900	3:1474940	3:1000	3:1001	5265000	7897500	10530000	42120000
316	37298700	0:0	2:357600;1:10	100;50;25;12	2	0	39	0	34	0	69	0	51	900	3:1511480	3:1000	3:1001	5331000	7996500	10662000	42648000
317	37605900	0:0	2:360200;1:10	100;50;25;12	2	0	39	0	34	0	69	0	51	900	3:1548020	3:1000	3:1001	5397400	8096100	10794800	43179200
318	37913100	0:0	2:362800;1:10	100;50;25;12	2	0	39	0	34	0	69	0	51	900	3:1584560	3:1000	3:1001	5464600	8196900	10929200	43716800
319	38220300	0:0	2:365400;1:10	100;50;25;12	2	0	39	0	34	0	69	0	51	900	3:1621100	3:1000	3:1001	5532600	8298900	11065200	44260800
320	38527500	0:0	2:368000;1:10	75;60;40;25	6	1	40	1	35	1	70	0	51	900	3:1657640	3:1000	3:1001	5601200	8401800	11202400	44809600
321	38847500	0:0	2:370800;1:10	100;50;25;12	2	0	40	0	35	0	70	0	51	900	3:1665760	3:1000	3:1001	5670400	8505600	11340800	45363200
322	39167500	0:0	2:373600;1:10	100;50;25;12	2	0	40	0	35	0	70	0	51	900	3:1673880	3:1000	3:1001	5740400	8610600	11480800	45923200
323	39487500	0:0	2:376400;1:10	100;50;25;12	2	0	40	0	35	0	70	0	51	900	3:1682000	3:1000	3:1001	5811000	8716500	11622000	46488000
324	39807500	0:0	2:379200;1:10	100;50;25;12	2	0	40	0	35	0	70	0	51	900	3:1690120	3:1000	3:1001	5882200	8823300	11764400	47057600
325	40127500	0:0	2:382000;1:10	100;50;25;12	2	0	40	0	35	1	71	0	51	900	3:1698240	3:1000	3:1001	5954200	8931300	11908400	47633600
326	40447500	0:0	2:384800;1:10	100;50;25;12	2	0	40	0	35	0	71	0	51	900	3:1706360	3:1000	3:1001	6027000	9040500	12054000	48216000
327	40767500	0:0	2:387600;1:10	100;50;25;12	2	0	40	0	35	0	71	0	51	900	3:1714480	3:1000	3:1001	6100400	9150600	12200800	48803200
328	41087500	0:0	2:390400;1:10	100;50;25;12	2	1	41	0	35	0	71	0	51	900	3:1722600	3:1000	3:1001	6174400	9261600	12348800	49395200
329	41407500	0:0	2:393200;1:10	100;50;25;12	2	0	41	0	35	0	71	0	51	900	3:1730720	3:1000	3:1001	6249400	9374100	12498800	49995200
330	41727500	0:0	2:396000;1:10	75;60;40;25	6	0	41	1	36	1	72	0	51	900	3:1738840	3:1000	3:1001	6324800	9487200	12649600	50598400
331	42060300	0:0	2:398800;1:10	100;50;25;12	2	0	41	0	36	0	72	0	51	900	3:1746960	3:1000	3:1001	6401200	9601800	12802400	51209600
332	42393100	0:0	2:401600;1:10	100;50;25;12	2	0	41	0	36	0	72	0	51	900	3:1755080	3:1000	3:1001	6478200	9717300	12956400	51825600
333	42725900	0:0	2:404400;1:10	100;50;25;12	2	0	41	0	36	0	72	0	51	900	3:1763200	3:1000	3:1001	6556000	9834000	13112000	52448000
334	43058700	0:0	2:407200;1:10	100;50;25;12	2	0	41	0	36	0	72	0	51	900	3:1771320	3:1000	3:1001	6634400	9951600	13268800	53075200
335	43391500	0:0	2:410000;1:10	100;50;25;12	2	0	41	0	36	1	73	0	51	900	3:1779440	3:1000	3:1001	6713800	10070700	13427600	53710400
336	43724300	0:0	2:412800;1:10	100;50;25;12	2	1	42	0	36	0	73	0	51	900	3:1787560	3:1000	3:1001	6793800	10190700	13587600	54350400
337	44057100	0:0	2:415600;1:10	100;50;25;12	2	0	42	0	36	0	73	0	51	900	3:1795680	3:1000	3:1001	6874600	10311900	13749200	54996800
338	44389900	0:0	2:418400;1:10	100;50;25;12	2	0	42	0	36	0	73	0	51	900	3:1803800	3:1000	3:1001	6956000	10434000	13912000	55648000
339	44722700	0:0	2:421200;1:10	100;50;25;12	2	0	42	0	36	0	73	0	51	900	3:1811920	3:1000	3:1001	7038400	10557600	14076800	56307200
340	45055500	0:0	2:424000;1:10	75;60;40;25	6	0	42	1	37	1	74	0	51	900	3:1820040	3:1000	3:1001	7121400	10682100	14242800	56971200
341	45401100	0:0	2:437000;1:10	100;50;25;12	2	0	42	0	37	0	74	0	51	900	3:1828740	3:1000	3:1001	7205400	10808100	14410800	57643200
342	45746700	0:0	2:450000;1:10	100;50;25;12	2	0	42	0	37	0	74	0	51	900	3:1837440	3:1000	3:1001	7290000	10935000	14580000	58320000
343	46092300	0:0	2:463000;1:10	100;50;25;12	2	0	42	0	37	0	74	0	51	900	3:1846140	3:1000	3:1001	7375400	11063100	14750800	59003200
344	46437900	0:0	2:476000;1:10	100;50;25;12	2	1	43	0	37	0	74	0	51	900	3:1854840	3:1000	3:1001	7461800	11192700	14923600	59694400
345	46783500	0:0	2:489000;1:10	100;50;25;12	2	0	43	0	37	1	75	0	51	900	3:1863540	3:1000	3:1001	7548800	11323200	15097600	60390400
346	47129100	0:0	2:502000;1:10	100;50;25;12	2	0	43	0	37	0	75	0	51	900	3:1872240	3:1000	3:1001	7636600	11454900	15273200	61092800
347	47474700	0:0	2:515000;1:10	100;50;25;12	2	0	43	0	37	0	75	0	51	900	3:1880940	3:1000	3:1001	7725400	11588100	15450800	61803200
348	47820300	0:0	2:528000;1:10	100;50;25;12	2	0	43	0	37	0	75	0	51	900	3:1889640	3:1000	3:1001	7814800	11722200	15629600	62518400
349	48165900	0:0	2:541000;1:10	100;50;25;12	2	0	43	0	37	0	75	0	51	900	3:1898340	3:1000	3:1001	7905200	11857800	15810400	63241600
350	48511500	0:0	2:554000;1:10	75;60;40;25	6	0	43	1	38	1	76	0	51	900	3:1907040	3:1000	3:1001	7996400	11994600	15992800	63971200
351	48869900	0:0	2:567000;1:10	100;50;25;12	2	0	43	0	38	0	76	0	51	900	3:1915740	3:1000	3:1001	8088400	12132600	16176800	64707200
352	49228300	0:0	2:580000;1:10	100;50;25;12	2	1	44	0	38	0	76	0	51	900	3:1924440	3:1000	3:1001	8181200	12271800	16362400	65449600
353	49586700	0:0	2:593000;1:10	100;50;25;12	2	0	44	0	38	0	76	0	51	900	3:1933140	3:1000	3:1001	8274800	12412200	16549600	66198400
354	49945100	0:0	2:606000;1:10	100;50;25;12	2	0	44	0	38	0	76	0	51	900	3:1941840	3:1000	3:1001	8369400	12554100	16738800	66955200
355	50303500	0:0	2:619000;1:10	100;50;25;12	2	0	44	0	38	1	77	0	51	900	3:1950540	3:1000	3:1001	8464800	12697200	16929600	67718400
356	50661900	0:0	2:632000;1:10	100;50;25;12	2	0	44	0	38	0	77	0	51	900	3:1959240	3:1000	3:1001	8561200	12841800	17122400	68489600
357	51020300	0:0	2:645000;1:10	100;50;25;12	2	0	44	0	38	0	77	0	51	900	3:1967940	3:1000	3:1001	8658200	12987300	17316400	69265600
358	51378700	0:0	2:658000;1:10	100;50;25;12	2	0	44	0	38	0	77	0	51	900	3:1976640	3:1000	3:1001	8756200	13134300	17512400	70049600
359	51737100	0:0	2:671000;1:10	100;50;25;12	2	0	44	0	38	0	77	0	51	900	3:1985340	3:1000	3:1001	8855200	13282800	17710400	70841600
360	52095500	0:0	2:684000;1:10	75;60;40;25	6	1	45	1	39	1	78	0	51	900	3:1994040	3:1000	3:1001	8955000	13432500	17910000	71640000
361	52466700	0:0	2:687200;1:10	100;50;25;12	2	0	45	0	39	0	78	0	51	900	3:2003320	3:1000	3:1001	9055800	13583700	18111600	72446400
